SIG_ALG,KEM_ALG,Read Bytes,Written Bytes
secp384r1,P-384,1149,652
secp384r1,X448,1110,611
secp384r1,p384_mlkem768,2238,1828
secp384r1,x448_mlkem768,2195,1787
secp384r1,mlkem768,2139,1731
secp384r1,X448,1110,611
secp384r1,P-384,1149,652
secp384r1,mlkem768,2139,1731
secp384r1,x448_mlkem768,2195,1787
secp384r1,p384_mlkem768,2238,1828
secp384r1,p384_hqc192,10128,5166
secp384r1,x448_hqc192,10086,5125
secp384r1,hqc192,10031,5069
