rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
2666,"2,53","1053,75",2567,"2,73","940,29",1912,"1,59","1202,52",7779,"6,69","1162,78",5932,"6,56","904,27",5136,"4,64","1106,90",6166,"4,77","1292,66",5337,"4,83","1104,97",5127,"4,16","1232,45",611,"2,31","264,50",382,"1,73","220,81",588,"2,41","243,98",42,"0,10","420,00",32,"0,08","400,00",39,"0,09","433,33"
1694,"1,67","1014,37",2689,"2,88","933,68",2885,"2,49","1158,63",6918,"6,30","1098,10",6466,"6,95","930,36",7941,"7,19","1104,45",4514,"3,56","1267,98",5589,"5,27","1060,53",5924,"4,90","1208,98",620,"2,49","249,00",658,"2,70","243,70",557,"2,20","253,18",44,"0,10","440,00",41,"0,09","455,56",44,"0,10","440,00"
2812,"2,56","1098,44",1817,"1,88","966,49",2914,"2,56","1138,28",7988,"7,17","1114,09",4868,"5,62","866,19",7978,"7,31","1091,38",6232,"4,93","1264,10",4671,"4,54","1028,85",6326,"5,18","1221,24",440,"1,72","255,81",657,"2,63","249,81",653,"2,39","273,22",32,"0,08","400,00",43,"0,12","358,33",32,"0,07","457,14"
3000,"2,43","1234,57",2763,"2,77","997,47",2021,"1,70","1188,82",8337,"7,16","1164,39",5693,"6,31","902,22",5433,"5,01","1084,43",6653,"5,21","1276,97",5210,"4,76","1094,54",6232,"5,45","1143,49",648,"2,59","250,19",439,"1,93","227,46",637,"2,56","248,83",40,"0,09","444,44",41,"0,10","410,00",43,"0,10","430,00"
2296,"1,99","1153,77",2675,"2,78","962,23",2847,"2,48","1147,98",7731,"6,76","1143,64",6581,"6,87","957,93",8003,"7,42","1078,57",6313,"4,95","1275,35",5561,"5,30","1049,25",4296,"3,56","1206,74",664,"2,56","259,38",642,"2,62","245,04",617,"2,44","252,87",43,"0,11","390,91",43,"0,11","390,91",44,"0,09","488,89"
2406,"2,36","1019,49",1853,"1,82","1018,13",2964,"2,64","1122,73",7450,"6,70","1111,94",6467,"7,01","922,54",7873,"7,31","1077,02",6492,"5,06","1283,00",5646,"5,29","1067,30",6488,"5,36","1210,45",428,"1,72","248,84",662,"2,66","248,87",597,"2,39","249,79",43,"0,10","430,00",42,"0,11","381,82",40,"0,09","444,44"
2692,"2,55","1055,69",2704,"2,86","945,45",2561,"2,13","1202,35",7981,"7,12","1120,93",6629,"6,63","999,85",5684,"5,20","1093,08",6484,"5,12","1266,41",3867,"3,49","1108,02",6319,"5,18","1219,88",652,"2,61","249,81",593,"2,60","228,08",643,"2,58","249,22",41,"0,09","455,56",42,"0,11","381,82",41,"0,10","410,00"
2650,"2,60","1019,23",2875,"2,74","1049,27",2951,"2,62","1126,34",8214,"7,06","1163,46",6871,"7,05","974,61",7752,"7,04","1101,14",6197,"4,87","1272,48",5498,"5,27","1043,26",4378,"3,66","1196,17",662,"2,57","257,59",652,"2,68","243,28",650,"2,54","255,91",44,"0,10","440,00",43,"0,11","390,91",44,"0,10","440,00"
2550,"2,50","1020,00",1862,"1,79","1040,22",2974,"2,48","1199,19",5631,"4,87","1156,26",6471,"6,89","939,19",7739,"7,53","1027,76",5972,"4,75","1257,26",5646,"5,35","1055,33",6295,"5,36","1174,44",431,"1,82","236,81",657,"2,61","251,72",444,"1,70","261,18",42,"0,09","466,67",43,"0,12","358,33",42,"0,11","381,82"
