secp521r1,P-521,,secp521r1,mlkem1024,,mldsa87,P-521,,mldsa87,mlkem1024,,falcon1024,P-521,,falcon1024,mlkem1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
436,"6,19","70,44",1206,"7,12","169,38",107,"1,16","92,24",1349,"1,36","991,91",665,"5,93","112,14",4923,"4,90","1004,69",132,"1,84","71,74",253,"1,28","197,66",28,"0,35","80,00",29,"0,10","290,00"
474,"6,49","73,04",801,"4,76","168,28",113,"1,12","100,89",1432,"1,35","1060,74",614,"5,51","111,43",4893,"4,87","1004,72",199,"2,58","77,13",194,"0,98","197,96",26,"0,31","83,87",29,"0,11","263,64"
474,"6,49","73,04",1230,"7,22","170,36",107,"1,14","93,86",1413,"1,39","1016,55",646,"5,82","111,00",3378,"3,35","1008,36",203,"2,71","74,91",247,"1,26","196,03",29,"0,33","87,88",27,"0,10","270,00"
431,"6,12","70,42",1260,"7,15","176,22",105,"1,12","93,75",1315,"1,35","974,07",663,"5,85","113,33",5005,"4,90","1021,43",141,"1,72","81,98",253,"1,32","191,67",28,"0,34","82,35",29,"0,10","290,00"
441,"6,02","73,26",825,"4,76","173,32",99,"1,15","86,09",1289,"1,37","940,88",595,"5,38","110,59",4872,"4,85","1004,54",202,"2,72","74,26",240,"1,15","208,70",24,"0,29","82,76",29,"0,09","322,22"
471,"6,49","72,57",1168,"7,16","163,13",116,"1,11","104,50",1305,"1,31","996,18",595,"5,45","109,17",3419,"3,24","1055,25",199,"2,67","74,53",250,"1,23","203,25",27,"0,32","84,38",28,"0,10","280,00"
472,"6,55","72,06",1248,"7,10","175,77",53,"0,50","106,00",1305,"1,33","981,20",662,"5,85","113,16",4895,"4,92","994,92",160,"2,07","77,29",259,"1,28","202,34",27,"0,31","87,10",29,"0,10","290,00"
314,"4,39","71,53",823,"4,81","171,10",91,"0,81","112,35",1331,"1,38","964,49",642,"5,89","109,00",4831,"4,80","1006,46",199,"2,70","73,70",228,"1,23","185,37",28,"0,35","80,00",28,"0,11","254,55"
481,"6,50","74,00",1232,"7,18","171,59",101,"1,14","88,60",1434,"1,35","1062,22",428,"3,97","107,81",3322,"3,33","997,60",198,"2,57","77,04",227,"1,16","195,69",27,"0,31","87,10",28,"0,10","280,00"
470,"6,48","72,53",1213,"7,12","170,37",112,"1,11","100,90",1398,"1,43","977,62",634,"5,74","110,45",5019,"4,87","1030,60",192,"2,51","76,49",252,"1,31","192,37",28,"0,34","82,35",29,"0,09","322,22"
310,"4,30","72,09",968,"5,68","170,42",119,"1,12","106,25",1390,"1,35","1029,63",644,"5,72","112,59",4869,"4,84","1005,99",198,"2,69","73,61",237,"1,32","179,55",28,"0,32","87,50",27,"0,11","245,45"
477,"6,47","73,72",1198,"6,94","172,62",123,"1,14","107,89",835,"0,78","1070,51",429,"4,02","106,72",3790,"3,93","964,38",206,"2,67","77,15",169,"0,87","194,25",27,"0,30","90,00",28,"0,10","280,00"
469,"6,50","72,15",1227,"7,21","170,18",118,"1,10","107,27",990,"0,90","1100,00",643,"5,86","109,73",4860,"4,75","1023,16",181,"2,41","75,10",253,"1,37","184,67",27,"0,34","79,41",30,"0,12","250,00"
306,"4,39","69,70",1177,"6,88","171,08",114,"1,12","101,79",1492,"1,37","1089,05",655,"5,80","112,93",4909,"4,68","1048,93",185,"2,48","74,60",249,"1,26","197,62",27,"0,33","81,82",27,"0,10","270,00"
471,"6,48","72,69",1219,"7,12","171,21",102,"1,13","90,27",1253,"1,36","921,32",447,"3,85","116,10",4664,"4,57","1020,57",200,"2,59","77,22",167,"0,89","187,64",28,"0,32","87,50",27,"0,11","245,45"
471,"6,55","71,91",1215,"7,14","170,17",123,"1,15","106,96",1351,"1,32","1023,48",632,"5,81","108,78",4943,"4,91","1006,72",209,"2,76","75,72",251,"1,33","188,72",28,"0,33","84,85",27,"0,10","270,00"
365,"5,17","70,60",1138,"6,74","168,84",121,"1,11","109,01",1418,"1,38","1027,54",664,"5,86","113,31",4995,"4,86","1027,78",138,"1,73","79,77",255,"1,20","212,50",26,"0,32","81,25",29,"0,10","290,00"
452,"6,36","71,07",1128,"6,53","172,74",99,"1,06","93,40",1438,"1,35","1065,19",494,"4,54","108,81",4655,"4,61","1009,76",198,"2,67","74,16",161,"0,89","180,90",29,"0,32","90,62",27,"0,09","300,00"
471,"6,49","72,57",1237,"7,22","171,33",116,"1,12","103,57",1297,"1,33","975,19",619,"5,76","107,47",4467,"4,56","979,61",200,"2,86","69,93",252,"1,23","204,88",26,"0,33","78,79",29,"0,10","290,00"
447,"6,20","72,10",1192,"7,14","166,95",117,"1,13","103,54",1335,"1,31","1019,08",642,"5,76","111,46",4966,"4,81","1032,43",139,"1,88","73,94",251,"1,27","197,64",27,"0,30","90,00",29,"0,11","263,64"
463,"6,45","71,78",837,"4,78","175,10",121,"1,15","105,22",1387,"1,39","997,84",602,"5,64","106,74",4935,"4,82","1023,86",202,"2,73","73,99",192,"1,04","184,62",29,"0,32","90,62",27,"0,10","270,00"
480,"6,50","73,85",1231,"7,11","173,14",122,"1,13","107,96",1414,"1,38","1024,64",635,"5,99","106,01",3357,"3,23","1039,32",205,"2,72","75,37",246,"1,19","206,72",27,"0,32","84,38",27,"0,10","270,00"
445,"6,16","72,24",1207,"7,14","169,05",117,"1,09","107,34",1500,"1,32","1136,36",645,"5,87","109,88",4862,"4,91","990,22",136,"1,82","74,73",254,"1,28","198,44",26,"0,31","83,87",29,"0,10","290,00"
437,"5,93","73,69",847,"4,83","175,36",43,"0,38","113,16",1450,"1,41","1028,37",600,"5,42","110,70",4893,"4,79","1021,50",203,"2,67","76,03",233,"1,26","184,92",27,"0,33","81,82",27,"0,11","245,45"
468,"6,47","72,33",1238,"7,18","172,42",102,"0,97","105,15",1232,"1,40","880,00",592,"5,52","107,25",3371,"3,31","1018,43",204,"2,64","77,27",254,"1,27","200,00",27,"0,33","81,82",29,"0,11","263,64"
476,"6,51","73,12",1235,"7,18","172,01",120,"1,14","105,26",1333,"1,38","965,94",663,"5,84","113,53",4904,"4,85","1011,13",161,"2,04","78,92",254,"1,22","208,20",29,"0,33","87,88",28,"0,10","280,00"
311,"4,33","71,82",798,"4,85","164,54",120,"1,14","105,26",1309,"1,37","955,47",642,"5,88","109,18",4912,"4,92","998,37",195,"2,60","75,00",227,"1,22","186,07",27,"0,30","90,00",28,"0,10","280,00"
478,"6,41","74,57",1217,"7,17","169,74",122,"1,15","106,09",1420,"1,38","1028,99",424,"3,96","107,07",3372,"3,20","1053,75",207,"2,71","76,38",231,"1,17","197,44",28,"0,34","82,35",28,"0,11","254,55"
474,"6,48","73,15",1222,"7,17","170,43",126,"1,14","110,53",615,"0,65","946,15",645,"5,81","111,02",4915,"4,85","1013,40",197,"2,60","75,77",252,"1,33","189,47",27,"0,32","84,38",28,"0,11","254,55"
325,"4,38","74,20",970,"5,64","171,99",123,"1,11","110,81",996,"1,01","986,14",646,"5,82","111,00",4924,"4,92","1000,81",185,"2,43","76,13",251,"1,32","190,15",28,"0,33","84,85",29,"0,10","290,00"
455,"6,44","70,65",1180,"6,90","171,01",123,"1,11","110,81",1410,"1,32","1068,18",423,"4,03","104,96",3961,"3,83","1034,20",209,"2,70","77,41",173,"0,87","198,85",28,"0,33","84,85",28,"0,10","280,00"
464,"6,56","70,73",1242,"7,18","172,98",112,"1,12","100,00",1492,"1,32","1130,30",639,"5,78","110,55",4814,"4,87","988,50",188,"2,59","72,59",252,"1,27","198,43",27,"0,32","84,38",27,"0,09","300,00"
319,"4,27","74,71",1156,"6,91","167,29",103,"1,12","91,96",1364,"1,35","1010,37",654,"5,79","112,95",4888,"4,90","997,55",173,"2,25","76,89",248,"1,28","193,75",28,"0,34","82,35",29,"0,10","290,00"
