ecdsa-secp521 - P-521;ecdsa-secp521 - mlkem1024;mldsa87 - P-521;mldsa87 - mlkem1024;falcon1024 - P-521;falcon1024 - mlkem1024;sphincssha2256fsimple - P-521;sphincssha2256fsimple - mlkem1024;sphincssha2256ssimple - P-521;sphincssha2256ssimple - mlkem1024
72,92;167,92;107,89;976,84;113,16;1004,11;77,60;186,82;80,00;250,00
71,51;168,07;104,50;960,90;113,64;1022,87;78,89;196,88;85,29;280,00
70,91;171,97;107,96;921,64;105,84;1018,63;74,33;204,17;81,82;254,55
72,35;171,01;104,50;973,72;112,96;1001,45;73,88;188,46;84,38;241,67
72,84;166,06;106,31;972,06;111,19;990,24;74,87;193,13;84,85;300,00
71,30;171,63;87,07;1065,22;104,20;1027,52;70,63;198,32;80,00;263,64
72,13;173,19;96,55;871,22;111,62;977,22;73,45;197,44;80,65;270,00
72,24;175,82;108,00;960,43;109,25;1031,48;73,31;193,80;90,32;241,67
68,09;164,67;104,46;1034,78;109,01;999,79;76,92;192,37;84,38;245,45
74,03;176,83;105,45;1005,80;114,95;978,04;76,63;187,78;87,50;254,55
71,85;175,71;102,63;1014,08;108,24;1035,17;73,66;196,15;84,38;280,00
73,00;164,71;98,23;914,12;106,72;1020,79;75,40;193,02;84,85;263,64
71,89;173,26;107,14;1029,11;107,30;1008,15;73,31;197,62;90,32;245,45
73,08;174,12;95,50;1043,48;111,69;1021,74;76,58;196,88;87,10;337,50
67,32;173,28;102,65;1045,32;110,48;1017,33;76,34;199,21;79,41;280,00
71,21;168,88;109,01;1056,39;110,60;1002,64;71,38;192,94;87,10;263,64
72,32;171,55;85,59;1000,00;109,52;1001,12;76,32;196,90;90,32;270,00
70,44;169,38;92,24;991,91;112,14;1004,69;71,74;197,66;80,00;290,00
73,04;168,28;100,89;1060,74;111,43;1004,72;77,13;197,96;83,87;263,64
73,04;170,36;93,86;1016,55;111,00;1008,36;74,91;196,03;87,88;270,00
70,42;176,22;93,75;974,07;113,33;1021,43;81,98;191,67;82,35;290,00
73,26;173,32;86,09;940,88;110,59;1004,54;74,26;208,70;82,76;322,22
72,57;163,13;104,50;996,18;109,17;1055,25;74,53;203,25;84,38;280,00
72,06;175,77;106,00;981,20;113,16;994,92;77,29;202,34;87,10;290,00
71,53;171,10;112,35;964,49;109,00;1006,46;73,70;185,37;80,00;254,55
74,00;171,59;88,60;1062,22;107,81;997,60;77,04;195,69;87,10;280,00
72,53;170,37;100,90;977,62;110,45;1030,60;76,49;192,37;82,35;322,22
72,09;170,42;106,25;1029,63;112,59;1005,99;73,61;179,55;87,50;245,45
73,72;172,62;107,89;1070,51;106,72;964,38;77,15;194,25;90,00;280,00
72,15;170,18;107,27;1100,00;109,73;1023,16;75,10;184,67;79,41;250,00
69,70;171,08;101,79;1089,05;112,93;1048,93;74,60;197,62;81,82;270,00
72,69;171,21;90,27;921,32;116,10;1020,57;77,22;187,64;87,50;245,45
71,91;170,17;106,96;1023,48;108,78;1006,72;75,72;188,72;84,85;270,00
70,60;168,84;109,01;1027,54;113,31;1027,78;79,77;212,50;81,25;290,00
71,07;172,74;93,40;1065,19;108,81;1009,76;74,16;180,90;90,62;300,00
72,57;171,33;103,57;975,19;107,47;979,61;69,93;204,88;78,79;290,00
72,10;166,95;103,54;1019,08;111,46;1032,43;73,94;197,64;90,00;263,64
71,78;175,10;105,22;997,84;106,74;1023,86;73,99;184,62;90,62;270,00
73,85;173,14;107,96;1024,64;106,01;1039,32;75,37;206,72;84,38;270,00
72,24;169,05;107,34;1136,36;109,88;990,22;74,73;198,44;83,87;290,00
73,69;175,36;113,16;1028,37;110,70;1021,50;76,03;184,92;81,82;245,45
72,33;172,42;105,15;880,00;107,25;1018,43;77,27;200,00;81,82;263,64
73,12;172,01;105,26;965,94;113,53;1011,13;78,92;208,20;87,88;280,00
71,82;164,54;105,26;955,47;109,18;998,37;75,00;186,07;90,00;280,00
74,57;169,74;106,09;1028,99;107,07;1053,75;76,38;197,44;82,35;254,55
73,15;170,43;110,53;946,15;111,02;1013,40;75,77;189,47;84,38;254,55
74,20;171,99;110,81;986,14;111,00;1000,81;76,13;190,15;84,85;290,00
70,65;171,01;110,81;1068,18;104,96;1034,20;77,41;198,85;84,85;280,00
70,73;172,98;100,00;1130,30;110,55;988,50;72,59;198,43;84,38;300,00
74,71;167,29;91,96;1010,37;112,95;997,55;76,89;193,75;82,35;290,00
72,03;173,79;105,26;1008,03;111,62;1017,24;75,09;195,35;84,38;254,55
74,49;177,04;110,91;1048,57;112,80;973,23;73,57;196,88;81,82;300,00
67,56;172,02;100,89;1065,96;110,88;1008,64;75,28;196,85;90,32;270,00
73,26;167,80;100,00;1060,74;107,92;1029,23;73,85;181,52;81,82;263,64
69,03;178,00;104,55;1058,52;112,22;976,05;73,31;194,49;83,87;254,55
74,88;170,38;108,93;1057,66;105,79;1012,45;72,68;196,09;83,87;270,00
71,07;166,67;112,50;1044,78;105,71;1004,13;76,43;190,10;77,78;290,00
69,95;173,43;106,45;1030,43;109,62;974,01;76,67;193,65;82,35;290,00
70,99;168,73;106,80;930,83;111,34;975,20;73,26;200,00;82,61;270,00
69,27;169,92;102,63;943,80;107,52;1005,12;74,62;194,92;84,85;225,00
70,15;171,79;100,89;1047,79;114,18;1015,43;78,41;196,83;93,55;322,22
71,69;168,92;106,25;1055,47;116,29;981,82;73,54;195,20;78,26;254,55
70,87;176,40;105,45;1098,00;108,93;1003,10;74,81;194,07;84,85;263,64
71,39;168,92;95,54;1014,04;109,34;1053,75;73,93;196,64;82,35;270,00
70,44;172,32;105,31;952,45;110,79;1004,16;73,41;188,55;86,36;312,50
69,13;171,73;109,73;1034,88;109,37;1000,61;75,47;187,79;84,85;263,64
72,49;166,91;106,14;1068,61;110,97;1031,71;76,60;192,22;80,00;272,73
