ed25519,P-256,,ed25519,X25519,,ed25519,p256_mlkem512,,ed25519,x25519_mlkem512,,ed25519,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
191,"0,23","830,43",292,"0,26","1123,08",209,"0,89","234,83",545,"0,59","923,73",487,"0,60","811,67"
132,"0,13","1015,38",227,"0,30","756,67",275,"1,08","254,63",368,"0,43","855,81",256,"0,33","775,76"
367,"0,52","705,77",297,"0,37","802,70",443,"1,84","240,76",392,"0,44","890,91",372,"0,35","1062,86"
352,"0,36","977,78",356,"0,36","988,89",230,"0,82","280,49",428,"0,68","629,41",725,"0,67","1082,09"
488,"0,54","903,70",264,"0,34","776,47",258,"1,20","215,00",336,"0,52","646,15",247,"0,32","771,88"
296,"0,32","925,00",199,"0,25","796,00",262,"1,16","225,86",337,"0,36","936,11",489,"0,51","958,82"
352,"0,38","926,32",463,"0,40","1157,50",298,"1,29","231,01",132,"0,21","628,57",376,"0,36","1044,44"
470,"0,46","1021,74",584,"0,52","1123,08",393,"1,85","212,43",319,"0,51","625,49",251,"0,24","1045,83"
342,"0,36","950,00",317,"0,41","773,17",234,"1,09","214,68",285,"0,39","730,77",246,"0,23","1069,57"
433,"0,48","902,08",333,"0,29","1148,28",266,"0,95","280,00",411,"0,63","652,38",235,"0,23","1021,74"
403,"0,62","650,00",249,"0,31","803,23",376,"1,75","214,86",273,"0,33","827,27",243,"0,29","837,93"
325,"0,50","650,00",280,"0,26","1076,92",240,"1,13","212,39",364,"0,55","661,82",391,"0,47","831,91"
630,"0,75","840,00",592,"0,52","1138,46",379,"1,68","225,60",264,"0,32","825,00",435,"0,54","805,56"
340,"0,52","653,85",263,"0,23","1143,48",423,"1,50","282,00",472,"0,74","637,84",172,"0,16","1075,00"
195,"0,24","812,50",174,"0,17","1023,53",431,"2,04","211,27",317,"0,37","856,76",482,"0,49","983,67"
285,"0,29","982,76",451,"0,43","1048,84",384,"1,25","307,20",420,"0,61","688,52",292,"0,33","884,85"
242,"0,33","733,33",258,"0,24","1075,00",241,"0,96","251,04",504,"0,80","630,00",393,"0,45","873,33"
322,"0,48","670,83",368,"0,46","800,00",318,"1,21","262,81",343,"0,55","623,64",362,"0,36","1005,56"
555,"0,71","781,69",256,"0,23","1113,04",434,"2,06","210,68",626,"0,99","632,32",437,"0,47","929,79"
271,"0,42","645,24",347,"0,33","1051,52",271,"1,23","220,33",350,"0,42","833,33",308,"0,40","770,00"
256,"0,39","656,41",278,"0,28","992,86",372,"1,22","304,92",520,"0,60","866,67",360,"0,38","947,37"
227,"0,36","630,56",393,"0,49","802,04",259,"1,21","214,05",455,"0,71","640,85",243,"0,32","759,38"
359,"0,46","780,43",230,"0,35","657,14",394,"1,86","211,83",297,"0,47","631,91",437,"0,55","794,55"
209,"0,24","870,83",558,"0,57","978,95",494,"2,11","234,12",721,"0,80","901,25",419,"0,51","821,57"
330,"0,37","891,89",395,"0,60","658,33",189,"0,89","212,36",303,"0,39","776,92",507,"0,50","1014,00"
373,"0,57","654,39",367,"0,35","1048,57",325,"1,45","224,14",344,"0,51","674,51",316,"0,33","957,58"
