ecdsa-secp384,P-384,,ecdsa-secp384,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
573,"3,92","146,17",1396,"4,31","323,90",1204,"5,50","218,91",3002,"2,49","1205,62",330,"2,83","116,61",293,"1,54","190,26",20,"0,14","142,86",24,"0,07","342,86"
760,"5,64","134,75",951,"3,28","289,94",647,"3,08","210,06",3352,"2,73","1227,84",249,"2,24","111,16",382,"1,86","205,38",25,"0,17","147,06",16,"0,04","400,00"
674,"4,75","141,89",1771,"5,88","301,19",773,"3,70","208,92",1276,"1,07","1192,52",310,"2,59","119,69",371,"1,94","191,24",24,"0,17","141,18",27,"0,08","337,50"
528,"3,51","150,43",1342,"4,52","296,90",1091,"4,96","219,96",2405,"1,97","1220,81",364,"3,05","119,34",374,"1,79","208,94",23,"0,17","135,29",26,"0,08","325,00"
741,"5,24","141,41",1608,"5,06","317,79",783,"3,58","218,72",2465,"2,07","1190,82",260,"2,24","116,07",318,"1,50","212,00",25,"0,16","156,25",23,"0,06","383,33"
743,"5,07","146,55",1354,"4,61","293,71",1083,"5,01","216,17",2331,"2,08","1120,67",300,"2,61","114,94",349,"1,76","198,30",25,"0,16","156,25",27,"0,08","337,50"
779,"5,34","145,88",1861,"6,06","307,10",939,"4,41","212,93",2647,"2,10","1260,48",269,"2,33","115,45",398,"2,01","198,01",25,"0,18","138,89",24,"0,07","342,86"
740,"5,24","141,22",1346,"4,21","319,71",729,"3,52","207,10",2338,"2,00","1169,00",257,"2,19","117,35",368,"1,91","192,67",23,"0,15","153,33",23,"0,06","383,33"
744,"5,01","148,50",1191,"3,86","308,55",812,"3,78","214,81",2275,"1,90","1197,37",370,"3,25","113,85",393,"1,94","202,58",26,"0,16","162,50",25,"0,07","357,14"
837,"5,83","143,57",1021,"3,25","314,15",840,"3,92","214,29",2919,"2,35","1242,13",360,"3,18","113,21",393,"2,01","195,52",25,"0,15","166,67",26,"0,08","325,00"
851,"5,77","147,49",1419,"4,61","307,81",1066,"4,92","216,67",2505,"2,07","1210,14",318,"2,80","113,57",407,"2,07","196,62",24,"0,16","150,00",24,"0,07","342,86"
826,"5,36","154,10",1543,"5,16","299,03",625,"2,92","214,04",2519,"2,07","1216,91",352,"3,04","115,79",350,"1,76","198,86",26,"0,16","162,50",26,"0,07","371,43"
834,"5,76","144,79",1466,"4,66","314,59",881,"4,29","205,36",3540,"2,83","1250,88",361,"3,07","117,59",405,"1,95","207,69",22,"0,14","157,14",25,"0,08","312,50"
685,"4,75","144,21",1254,"4,06","308,87",1154,"5,60","206,07",2611,"2,19","1192,24",322,"2,82","114,18",250,"1,28","195,31",25,"0,18","138,89",26,"0,07","371,43"
696,"4,67","149,04",1279,"4,31","296,75",769,"3,67","209,54",3171,"2,40","1321,25",363,"3,11","116,72",440,"2,16","203,70",22,"0,15","146,67",26,"0,08","325,00"
825,"5,70","144,74",1318,"4,18","315,31",1067,"5,06","210,87",2863,"2,32","1234,05",332,"2,77","119,86",401,"1,98","202,53",24,"0,15","160,00",13,"0,04","325,00"
839,"5,49","152,82",1452,"4,56","318,42",1251,"5,75","217,57",3496,"2,97","1177,10",353,"3,15","112,06",268,"1,41","190,07",24,"0,15","160,00",23,"0,06","383,33"
836,"5,64","148,23",1575,"4,87","323,41",784,"3,93","199,49",3487,"2,96","1178,04",331,"2,83","116,96",334,"1,75","190,86",25,"0,18","138,89",26,"0,07","371,43"
567,"4,11","137,96",1758,"5,71","307,88",1247,"5,94","209,93",4854,"4,07","1192,63",367,"3,25","112,92",410,"1,94","211,34",21,"0,15","140,00",17,"0,05","340,00"
915,"6,53","140,12",1324,"4,41","300,23",1007,"5,08","198,23",1590,"1,30","1223,08",341,"2,94","115,99",300,"1,44","208,33",23,"0,16","143,75",27,"0,08","337,50"
550,"4,11","133,82",1419,"5,04","281,55",986,"4,67","211,13",2254,"1,89","1192,59",334,"2,86","116,78",361,"1,93","187,05",23,"0,16","143,75",25,"0,07","357,14"
657,"5,02","130,88",1121,"3,80","295,00",1154,"5,34","216,10",2031,"1,59","1277,36",375,"3,20","117,19",396,"1,99","198,99",24,"0,19","126,32",24,"0,07","342,86"
719,"5,05","142,38",1654,"5,46","302,93",1127,"5,24","215,08",2372,"1,90","1248,42",359,"2,99","120,07",335,"1,69","198,22",23,"0,17","135,29",25,"0,08","312,50"
707,"5,00","141,40",1079,"3,45","312,75",1014,"4,78","212,13",3576,"2,92","1224,66",313,"2,70","115,93",437,"2,14","204,21",26,"0,16","162,50",24,"0,07","342,86"
825,"5,46","151,10",1701,"5,77","294,80",813,"3,69","220,33",4418,"3,45","1280,58",361,"3,17","113,88",352,"1,79","196,65",24,"0,19","126,32",22,"0,07","314,29"
730,"5,00","146,00",1578,"5,13","307,60",1318,"6,18","213,27",2461,"2,07","1188,89",378,"3,11","121,54",378,"1,76","214,77",24,"0,17","141,18",25,"0,08","312,50"
815,"5,53","147,38",916,"2,92","313,70",1073,"5,19","206,74",2859,"2,32","1232,33",227,"1,97","115,23",403,"2,18","184,86",25,"0,17","147,06",26,"0,08","325,00"
782,"5,38","145,35",1504,"4,77","315,30",1069,"4,95","215,96",2555,"2,06","1240,29",356,"3,11","114,47",413,"2,09","197,61",22,"0,16","137,50",26,"0,07","371,43"
863,"5,81","148,54",1785,"5,61","318,18",1131,"5,28","214,20",2987,"2,57","1162,26",360,"3,11","115,76",372,"1,89","196,83",23,"0,16","143,75",25,"0,08","312,50"
696,"4,98","139,76",1119,"3,73","300,00",1254,"6,05","207,27",2862,"2,26","1266,37",213,"1,83","116,39",407,"2,02","201,49",25,"0,15","166,67",26,"0,08","325,00"
868,"5,85","148,38",1227,"3,92","313,01",634,"3,07","206,51",2358,"2,00","1179,00",305,"2,60","117,31",396,"1,96","202,04",25,"0,17","147,06",25,"0,08","312,50"
836,"5,75","145,39",1604,"4,92","326,02",953,"4,37","218,08",2927,"2,54","1152,36",360,"3,27","110,09",420,"2,18","192,66",25,"0,15","166,67",25,"0,06","416,67"
860,"5,83","147,51",960,"3,15","304,76",920,"4,39","209,57",2533,"1,98","1279,29",255,"2,23","114,35",290,"1,43","202,80",26,"0,16","162,50",26,"0,07","371,43"
811,"5,68","142,78",1692,"5,58","303,23",614,"2,99","205,35",2648,"2,23","1187,44",334,"2,91","114,78",448,"2,22","201,80",24,"0,17","141,18",26,"0,06","433,33"
829,"6,21","133,49",1174,"3,75","313,07",1038,"4,58","226,64",2979,"2,48","1201,21",354,"3,05","116,07",331,"1,69","195,86",22,"0,14","157,14",25,"0,07","357,14"
817,"5,90","138,47",1509,"4,71","320,38",1158,"5,43","213,26",1757,"1,49","1179,19",289,"2,50","115,60",304,"1,48","205,41",26,"0,17","152,94",27,"0,08","337,50"
549,"4,03","136,23",1075,"3,53","304,53",841,"3,87","217,31",2784,"2,29","1215,72",351,"3,21","109,35",388,"1,98","195,96",21,"0,15","140,00",23,"0,08","287,50"
791,"5,47","144,61",1755,"5,51","318,51",1087,"4,87","223,20",2309,"1,89","1221,69",369,"3,28","112,50",419,"2,15","194,88",23,"0,17","135,29",26,"0,09","288,89"
803,"5,75","139,65",1851,"6,05","305,95",1173,"5,56","210,97",2887,"2,30","1255,22",365,"3,02","120,86",226,"1,10","205,45",26,"0,17","152,94",27,"0,08","337,50"
555,"4,07","136,36",1470,"4,72","311,44",811,"3,70","219,19",1388,"1,19","1166,39",335,"2,96","113,18",295,"1,48","199,32",25,"0,16","156,25",22,"0,07","314,29"
651,"4,67","139,40",1762,"5,92","297,64",813,"3,72","218,55",3267,"2,67","1223,60",376,"3,20","117,50",440,"2,17","202,76",24,"0,15","160,00",25,"0,08","312,50"
823,"5,88","139,97",1547,"5,52","280,25",1019,"5,04","202,18",2826,"2,32","1218,10",308,"2,64","116,67",314,"1,64","191,46",23,"0,15","153,33",27,"0,07","385,71"
