ecdsa-secp384,P-521,,ecdsa-secp384,mlkem1024,,mldsa87,P-521,,mldsa87,mlkem1024,,falcon1024,P-521,,falcon1024,mlkem1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
166,"2,35","70,64",348,"2,30","151,30",296,"2,74","108,03",494,"0,66","748,48",290,"2,75","105,45",320,"0,45","711,11",104,"1,35","77,04",155,"0,84","184,52",24,"0,29","82,76",26,"0,10","260,00"
244,"3,61","67,59",353,"2,45","144,08",205,"1,83","112,02",461,"0,65","709,23",290,"2,73","106,23",476,"0,66","721,21",132,"1,71","77,19",105,"0,57","184,21",25,"0,27","92,59",27,"0,11","245,45"
244,"3,60","67,78",351,"2,51","139,84",296,"2,78","106,47",451,"0,62","727,42",198,"1,79","110,61",475,"0,70","678,57",134,"1,79","74,86",154,"0,82","187,80",27,"0,32","84,38",27,"0,10","270,00"
167,"2,38","70,17",340,"2,27","149,78",299,"2,76","108,33",492,"0,68","723,53",289,"2,67","108,24",320,"0,43","744,19",127,"1,64","77,44",152,"0,81","187,65",25,"0,32","78,12",26,"0,11","236,36"
246,"3,59","68,52",328,"2,22","147,75",197,"1,87","105,35",493,"0,67","735,82",293,"2,73","107,33",479,"0,65","736,92",133,"1,83","72,68",102,"0,54","188,89",25,"0,31","80,65",26,"0,12","216,67"
249,"3,49","71,35",353,"2,57","137,35",294,"2,82","104,26",331,"0,46","719,57",227,"2,04","111,27",477,"0,67","711,94",131,"1,83","71,58",152,"0,82","185,37",26,"0,33","78,79",25,"0,09","277,78"
162,"2,41","67,22",355,"2,51","141,43",298,"2,77","107,58",495,"0,69","717,39",291,"2,64","110,23",321,"0,46","697,83",123,"1,71","71,93",156,"0,83","187,95",25,"0,31","80,65",28,"0,12","233,33"
244,"3,61","67,59",239,"1,71","139,77",234,"2,24","104,46",493,"0,67","735,82",289,"2,74","105,47",475,"0,65","730,77",124,"1,67","74,25",120,"0,72","166,67",26,"0,31","83,87",27,"0,12","225,00"
235,"3,67","64,03",362,"2,43","148,97",289,"2,79","103,58",331,"0,48","689,58",273,"2,61","104,60",477,"0,67","711,94",133,"1,87","71,12",149,"0,82","181,71",26,"0,30","86,67",25,"0,10","250,00"
190,"2,86","66,43",364,"2,38","152,94",298,"2,79","106,81",493,"0,68","725,00",290,"2,73","106,23",379,"0,52","728,85",132,"1,81","72,93",155,"0,86","180,23",25,"0,28","89,29",26,"0,10","260,00"
249,"3,40","73,24",248,"1,58","156,96",289,"2,64","109,47",491,"0,68","722,06",295,"2,65","111,32",467,"0,63","741,27",92,"1,17","78,63",145,"0,79","183,54",26,"0,31","83,87",27,"0,10","270,00"
