ecdsa-secp384,P-384,,ecdsa-secp384,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
336,"2,32","144,83",416,"1,45","286,90",362,"1,79","202,23",307,"0,34","902,94",192,"1,65","116,36",196,"0,93","210,75",25,"0,17","147,06",24,"0,09","266,67"
344,"2,39","143,93",426,"1,56","273,08",383,"1,93","198,45",496,"0,59","840,68",211,"1,74","121,26",238,"1,29","184,50",16,"0,10","160,00",24,"0,08","300,00"
270,"1,87","144,39",345,"1,27","271,65",320,"1,57","203,82",496,"0,61","813,11",223,"1,82","122,53",249,"1,20","207,50",24,"0,17","141,18",19,"0,06","316,67"
341,"2,33","146,35",408,"1,49","273,83",354,"1,68","210,71",343,"0,40","857,50",226,"1,92","117,71",232,"1,10","210,91",25,"0,18","138,89",25,"0,08","312,50"
339,"2,42","140,08",429,"1,50","286,00",388,"1,78","217,98",486,"0,59","823,73",214,"1,80","118,89",224,"1,10","203,64",16,"0,10","160,00",25,"0,06","416,67"
329,"2,23","147,53",418,"1,53","273,20",383,"1,86","205,91",494,"0,66","748,48",224,"1,96","114,29",245,"1,23","199,19",24,"0,16","150,00",21,"0,07","300,00"
346,"2,38","145,38",415,"1,42","292,25",258,"1,28","201,56",475,"0,52","913,46",212,"2,06","102,91",241,"1,26","191,27",25,"0,17","147,06",24,"0,06","400,00"
341,"2,40","142,08",427,"1,54","277,27",376,"1,87","201,07",499,"0,52","959,62",216,"1,76","122,73",162,"0,83","195,18",19,"0,13","146,15",24,"0,07","342,86"
320,"2,23","143,50",414,"1,47","281,63",384,"1,85","207,57",496,"0,54","918,52",226,"1,91","118,32",250,"1,21","206,61",23,"0,18","127,78",24,"0,07","342,86"
312,"2,24","139,29",418,"1,46","286,30",255,"1,28","199,22",467,"0,53","881,13",215,"1,86","115,59",249,"1,21","205,79",25,"0,16","156,25",25,"0,09","277,78"
345,"2,39","144,35",429,"1,48","289,86",379,"1,93","196,37",457,"0,57","801,75",216,"1,89","114,29",165,"0,77","214,29",22,"0,14","157,14",24,"0,06","400,00"
340,"2,39","142,26",403,"1,47","274,15",382,"1,85","206,49",495,"0,60","825,00",228,"1,89","120,63",245,"1,20","204,17",23,"0,14","164,29",23,"0,07","328,57"
234,"1,59","147,17",426,"1,49","285,91",249,"1,35","184,44",498,"0,62","803,23",215,"1,82","118,13",242,"1,25","193,60",25,"0,16","156,25",24,"0,07","342,86"
345,"2,37","145,57",425,"1,58","268,99",386,"1,85","208,65",334,"0,42","795,24",224,"1,98","113,13",167,"0,80","208,75",24,"0,17","141,18",25,"0,07","357,14"
348,"2,36","147,46",402,"1,42","283,10",383,"1,88","203,72",497,"0,54","920,37",231,"1,83","126,23",239,"1,23","194,31",24,"0,17","141,18",23,"0,07","328,57"
234,"1,59","147,17",395,"1,34","294,78",301,"1,46","206,16",495,"0,63","785,71",208,"1,83","113,66",237,"1,23","192,68",24,"0,17","141,18",25,"0,06","416,67"
346,"2,35","147,23",431,"1,51","285,43",381,"1,80","211,67",334,"0,37","902,70",206,"1,80","114,44",191,"1,00","191,00",24,"0,17","141,18",25,"0,04","625,00"
340,"2,37","143,46",431,"1,50","287,33",388,"1,79","216,76",494,"0,62","796,77",229,"1,84","124,46",237,"1,19","199,16",23,"0,16","143,75",23,"0,06","383,33"
232,"1,63","142,33",284,"1,08","262,96",357,"1,85","192,97",496,"0,59","840,68",225,"1,91","117,80",239,"1,32","181,06",24,"0,16","150,00",25,"0,07","357,14"
346,"2,37","145,99",427,"1,54","277,27",379,"1,89","200,53",332,"0,43","772,09",153,"1,26","121,43",233,"1,18","197,46",25,"0,16","156,25",25,"0,08","312,50"
345,"2,37","145,57",428,"1,52","281,58",388,"1,81","214,36",495,"0,65","761,54",221,"2,00","110,50",246,"1,25","196,80",24,"0,16","150,00",23,"0,07","328,57"
270,"1,85","145,95",288,"1,00","288,00",356,"1,75","203,43",495,"0,64","773,44",225,"1,85","121,62",243,"1,25","194,40",24,"0,15","160,00",24,"0,07","342,86"
334,"2,40","139,17",427,"1,55","275,48",355,"1,67","212,57",386,"0,47","821,28",148,"1,32","112,12",234,"1,12","208,93",25,"0,16","156,25",25,"0,08","312,50"
