rsassa-pss-256 - X25519;rsassa-pss-256 - P-256;rsassa-pss-256 - mlkem512;ed25519 - X25519;ed25519 - P-256;ed25519 - mlkem512;falcon512 - X25519;falcon512 - P-256;falcon512 - mlkem512;sphincssha2128fsimple - X25519;sphincssha2128fsimple - P-256;sphincssha2128fsimple - mlkem512;sphincssha2128ssimple - X25519;sphincssha2128ssimple - P-256;sphincssha2128ssimple - mlkem512
330;331;309;349;331;222;284;338;340;227;146;234;35;27;35
246;256;337;365;358;362;329;248;357;238;239;239;36;36;30
315;331;224;301;310;364;358;346;243;202;237;197;28;38;36
338;332;334;341;357;245;358;354;357;214;168;224;39;36;38
333;311;333;365;359;362;242;338;359;238;232;236;37;38;38
318;309;231;361;337;361;359;352;242;239;235;234;35;38;37
337;330;326;344;329;251;359;356;359;161;230;228;36;35;39
325;333;333;364;360;352;242;332;357;238;237;242;37;39;37
324;225;319;356;360;363;359;324;250;240;240;236;35;38;37
338;335;334;352;242;347;357;356;350;161;224;236;36;35;39
323;334;338;363;359;359;243;355;358;242;217;238;38;35;36
331;226;313;351;359;363;359;239;340;241;238;229;37;38;38
335;332;308;355;242;341;359;357;356;160;240;236;37;37;39
320;332;335;362;359;332;282;355;359;239;161;238;37;35;36
335;223;336;345;359;363;352;240;337;240;239;228;38;39;35
337;332;226;362;243;364;358;354;328;191;239;218;36;38;40
311;330;336;362;359;244;341;354;359;236;162;238;39;36;38
312;261;334;340;361;363;357;239;358;241;241;236;35;38;36
335;329;228;334;281;363;358;355;242;231;242;162;37;37;37
335;333;332;363;353;244;337;355;360;241;163;239;38;37;38
227;318;336;363;359;361;330;280;358;237;242;241;35;38;36
337;332;226;244;342;362;358;348;241;227;237;163;37;36;36
338;331;333;362;359;243;357;355;360;220;189;241;38;38;37
226;311;333;364;359;362;241;338;359;240;237;237;34;38;37
337;307;264;245;336;363;359;352;242;241;242;160;38;35;38
334;333;328;362;330;284;358;356;358;161;228;238;38;39;35
225;335;336;361;359;353;242;334;359;240;232;238;34;38;36
335;224;318;244;359;364;358;325;283;241;238;191;34;35;38
336;333;333;363;243;345;358;355;351;158;224;236;36;36;35
263;335;334;362;359;359;242;355;356;237;241;239;36;38;38
331;223;313;285;359;364;360;237;342;238;240;228;36;36;37
337;333;310;356;243;340;359;354;355;162;221;239;37;35;34
317;333;336;363;358;333;281;355;357;235;222;240;36;37;36
335;227;339;344;360;362;351;237;338;239;242;226;37;38;39
337;331;224;363;242;362;358;355;328;190;239;241;39;36;38
313;336;334;362;360;244;342;355;359;231;227;239;35;38;35
311;260;336;339;358;361;354;240;359;239;239;222;36;37;39
335;329;225;334;280;362;357;354;242;225;236;221;38;36;38
335;329;336;363;352;244;336;355;356;229;228;237;35;38;34
228;318;338;363;359;362;329;279;357;238;240;236;38;37;38
336;331;224;245;342;363;357;347;241;221;231;160;38;37;37
335;330;339;364;357;244;358;353;358;213;234;238;36;37;37
226;311;336;365;359;361;242;338;359;236;237;241;38;36;38
338;304;261;245;337;362;359;353;241;236;228;159;37;39;36
335;333;331;363;330;287;358;355;359;164;239;238;35;38;36
224;332;334;363;360;355;241;334;358;237;240;242;36;35;38
336;226;318;244;358;363;357;324;283;238;223;161;39;37;35
336;329;331;363;242;345;359;356;349;162;218;240;38;39;39
261;330;338;361;360;361;241;354;358;239;235;237;37;34;39
331;226;311;286;358;362;359;240;344;239;238;183;38;36;34
