ed25519,P-256,,ed25519,X25519,,ed25519,p256_mlkem512,,ed25519,x25519_mlkem512,,ed25519,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
52,"0,08","650,00",42,"0,06","700,00",51,"0,19","268,42",50,"0,08","625,00",52,"0,07","742,86"
54,"0,08","675,00",53,"0,07","757,14",43,"0,14","307,14",54,"0,09","600,00",46,"0,07","657,14"
46,"0,06","766,67",54,"0,07","771,43",51,"0,16","318,75",44,"0,07","628,57",54,"0,07","771,43"
54,"0,08","675,00",52,"0,07","742,86",54,"0,18","300,00",52,"0,08","650,00",55,"0,07","785,71"
55,"0,08","687,50",54,"0,07","771,43",51,"0,18","283,33",54,"0,08","675,00",50,"0,06","833,33"
50,"0,07","714,29",54,"0,07","771,43",52,"0,19","273,68",53,"0,10","530,00",50,"0,07","714,29"
50,"0,08","625,00",51,"0,07","728,57",54,"0,18","300,00",52,"0,08","650,00",55,"0,08","687,50"
55,"0,09","611,11",55,"0,07","785,71",51,"0,19","268,42",54,"0,09","600,00",54,"0,07","771,43"
54,"0,08","675,00",54,"0,07","771,43",53,"0,18","294,44",53,"0,08","662,50",51,"0,07","728,57"
51,"0,07","728,57",50,"0,07","714,29",53,"0,19","278,95",53,"0,08","662,50",55,"0,08","687,50"
54,"0,09","600,00",51,"0,06","850,00",50,"0,17","294,12",54,"0,09","600,00",53,"0,09","588,89"
54,"0,08","675,00",54,"0,07","771,43",54,"0,18","300,00",52,"0,08","650,00",52,"0,07","742,86"
52,"0,07","742,86",54,"0,07","771,43",53,"0,19","278,95",53,"0,09","588,89",55,"0,06","916,67"
54,"0,08","675,00",52,"0,06","866,67",49,"0,18","272,22",54,"0,08","675,00",53,"0,08","662,50"
53,"0,09","588,89",54,"0,07","771,43",50,"0,17","294,12",51,"0,08","637,50",52,"0,08","650,00"
53,"0,08","662,50",54,"0,06","900,00",53,"0,18","294,44",50,"0,08","625,00",55,"0,08","687,50"
54,"0,07","771,43",52,"0,08","650,00",54,"0,21","257,14",54,"0,09","600,00",52,"0,06","866,67"
52,"0,08","650,00",54,"0,06","900,00",50,"0,17","294,12",54,"0,10","540,00",53,"0,06","883,33"
53,"0,08","662,50",53,"0,07","757,14",53,"0,19","278,95",37,"0,05","740,00",55,"0,07","785,71"
55,"0,10","550,00",53,"0,07","757,14",53,"0,17","311,76",54,"0,08","675,00",51,"0,06","850,00"
51,"0,07","728,57",54,"0,07","771,43",51,"0,17","300,00",54,"0,09","600,00",54,"0,08","675,00"
54,"0,08","675,00",52,"0,06","866,67",54,"0,18","300,00",36,"0,06","600,00",55,"0,08","687,50"
54,"0,07","771,43",54,"0,06","900,00",51,"0,16","318,75",55,"0,08","687,50",50,"0,07","714,29"
51,"0,07","728,57",54,"0,08","675,00",53,"0,18","294,44",54,"0,09","600,00",51,"0,07","728,57"
50,"0,08","625,00",51,"0,06","850,00",53,"0,20","265,00",36,"0,05","720,00",54,"0,07","771,43"
54,"0,08","675,00",50,"0,06","833,33",51,"0,17","300,00",54,"0,09","600,00",54,"0,08","675,00"
55,"0,09","611,11",54,"0,08","675,00",53,"0,17","311,76",55,"0,09","611,11",52,"0,07","742,86"
51,"0,08","637,50",55,"0,08","687,50",53,"0,18","294,44",42,"0,07","600,00",54,"0,07","771,43"
54,"0,08","675,00",51,"0,07","728,57",50,"0,19","263,16",53,"0,08","662,50",54,"0,06","900,00"
54,"0,07","771,43",54,"0,07","771,43",54,"0,19","284,21",54,"0,08","675,00",52,"0,07","742,86"
52,"0,08","650,00",55,"0,08","687,50",53,"0,18","294,44",52,"0,07","742,86",54,"0,07","771,43"
54,"0,09","600,00",51,"0,07","728,57",50,"0,16","312,50",54,"0,08","675,00",53,"0,07","757,14"
52,"0,08","650,00",54,"0,06","900,00",49,"0,18","272,22",54,"0,09","600,00",53,"0,08","662,50"
53,"0,07","757,14",54,"0,07","771,43",54,"0,18","300,00",51,"0,08","637,50",54,"0,07","771,43"
55,"0,09","611,11",52,"0,06","866,67",53,"0,19","278,95",54,"0,09","600,00",52,"0,07","742,86"
51,"0,08","637,50",54,"0,08","675,00",50,"0,18","277,78",54,"0,08","675,00",54,"0,07","771,43"
54,"0,08","675,00",53,"0,07","757,14",54,"0,20","270,00",50,"0,09","555,56",54,"0,07","771,43"
54,"0,08","675,00",53,"0,06","883,33",52,"0,16","325,00",51,"0,07","728,57",51,"0,07","728,57"
51,"0,08","637,50",55,"0,08","687,50",52,"0,18","288,89",54,"0,09","600,00",50,"0,07","714,29"
55,"0,09","611,11",51,"0,06","850,00",53,"0,19","278,95",54,"0,08","675,00",54,"0,07","771,43"
54,"0,09","600,00",54,"0,07","771,43",52,"0,18","288,89",51,"0,08","637,50",55,"0,08","687,50"
50,"0,07","714,29",55,"0,07","785,71",52,"0,17","305,88",55,"0,09","611,11",36,"0,05","720,00"
51,"0,07","728,57",51,"0,07","728,57",53,"0,17","311,76",53,"0,08","662,50",55,"0,07","785,71"
54,"0,08","675,00",54,"0,06","900,00",52,"0,16","325,00",52,"0,09","577,78",54,"0,07","771,43"
54,"0,08","675,00",55,"0,08","687,50",52,"0,17","305,88",54,"0,08","675,00",36,"0,05","720,00"
51,"0,08","637,50",50,"0,06","833,33",54,"0,18","300,00",53,"0,08","662,50",55,"0,08","687,50"
55,"0,09","611,11",50,"0,07","714,29",50,"0,18","277,78",52,"0,07","742,86",54,"0,07","771,43"
53,"0,08","662,50",55,"0,08","687,50",53,"0,17","311,76",55,"0,08","687,50",37,"0,05","740,00"
52,"0,07","742,86",54,"0,08","675,00",54,"0,21","257,14",51,"0,09","566,67",54,"0,08","675,00"
54,"0,09","600,00",52,"0,07","742,86",49,"0,18","272,22",54,"0,08","675,00",54,"0,07","771,43"
