secp521r1,P-521,,secp521r1,p521_mlkem1024,,secp521r1,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec
47,"0,64","73,44",34,"0,58","58,62",49,"0,34","144,12"
44,"0,60","73,33",45,"0,70","64,29",53,"0,31","170,97"
47,"0,63","74,60",48,"0,72","66,67",40,"0,24","166,67"
50,"0,69","72,46",48,"0,77","62,34",52,"0,34","152,94"
48,"0,68","70,59",46,"0,70","65,71",53,"0,31","170,97"
47,"0,65","72,31",48,"0,73","65,75",49,"0,29","168,97"
50,"0,69","72,46",47,"0,76","61,84",53,"0,32","165,62"
47,"0,61","77,05",46,"0,72","63,89",53,"0,31","170,97"
49,"0,66","74,24",48,"0,71","67,61",48,"0,28","171,43"
49,"0,64","76,56",47,"0,75","62,67",49,"0,29","168,97"
47,"0,62","75,81",47,"0,70","67,14",53,"0,31","170,97"
49,"0,67","73,13",48,"0,72","66,67",52,"0,31","167,74"
49,"0,72","68,06",46,"0,69","66,67",50,"0,32","156,25"
46,"0,66","69,70",48,"0,71","67,61",52,"0,31","167,74"
46,"0,63","73,02",48,"0,72","66,67",52,"0,31","167,74"
49,"0,64","76,56",45,"0,68","66,18",50,"0,29","172,41"
49,"0,67","73,13",48,"0,71","67,61",53,"0,31","170,97"
34,"0,45","75,56",48,"0,72","66,67",51,"0,31","164,52"
49,"0,68","72,06",45,"0,68","66,18",51,"0,33","154,55"
49,"0,67","73,13",45,"0,68","66,18",53,"0,32","165,62"
33,"0,43","76,74",48,"0,72","66,67",49,"0,29","168,97"
49,"0,69","71,01",48,"0,74","64,86",53,"0,31","170,97"
50,"0,67","74,63",45,"0,68","66,18",52,"0,34","152,94"
33,"0,45","73,33",49,"0,73","67,12",49,"0,32","153,12"
49,"0,68","72,06",47,"0,70","67,14",48,"0,28","171,43"
50,"0,68","73,53",46,"0,68","67,65",53,"0,33","160,61"
38,"0,50","76,00",48,"0,70","68,57",52,"0,30","173,33"
49,"0,67","73,13",47,"0,72","65,28",36,"0,22","163,64"
49,"0,64","76,56",47,"0,74","63,51",52,"0,31","167,74"
47,"0,62","75,81",48,"0,71","67,61",53,"0,31","170,97"
49,"0,69","71,01",46,"0,74","62,16",35,"0,23","152,17"
49,"0,64","76,56",47,"0,73","64,38",53,"0,31","170,97"
46,"0,64","71,88",48,"0,72","66,67",52,"0,32","162,50"
46,"0,60","76,67",45,"0,66","68,18",35,"0,20","175,00"
49,"0,64","76,56",48,"0,75","64,00",53,"0,32","165,62"
50,"0,67","74,63",48,"0,72","66,67",52,"0,33","157,58"
46,"0,66","69,70",45,"0,67","67,16",41,"0,25","164,00"
49,"0,66","74,24",44,"0,67","65,67",52,"0,34","152,94"
49,"0,67","73,13",48,"0,72","66,67",52,"0,32","162,50"
47,"0,63","74,60",48,"0,73","65,75",50,"0,31","161,29"
50,"0,66","75,76",33,"0,49","67,35",52,"0,31","167,74"
48,"0,65","73,85",47,"0,75","62,67",53,"0,32","165,62"
48,"0,62","77,42",48,"0,76","63,16",49,"0,32","153,12"
49,"0,65","75,38",33,"0,50","66,00",53,"0,31","170,97"
48,"0,62","77,42",48,"0,76","63,16",52,"0,34","152,94"
48,"0,64","75,00",47,"0,73","64,38",48,"0,31","154,84"
50,"0,66","75,76",33,"0,48","68,75",49,"0,32","153,12"
46,"0,62","74,19",48,"0,72","66,67",53,"0,34","155,88"
50,"0,70","71,43",48,"0,71","67,61",52,"0,34","152,94"
49,"0,70","70,00",37,"0,61","60,66",50,"0,30","166,67"
