secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
33,"0,23","143,48",36,"0,15","240,00",50,"0,43","116,28",50,"0,24","208,33",41,"0,13","315,38"
53,"0,35","151,43",53,"0,20","265,00",38,"0,34","111,76",53,"0,25","212,00",52,"0,18","288,89"
52,"0,33","157,58",53,"0,21","252,38",47,"0,41","114,63",40,"0,17","235,29",53,"0,20","265,00"
44,"0,33","133,33",36,"0,14","257,14",51,"0,44","115,91",53,"0,23","230,43",52,"0,18","288,89"
52,"0,38","136,84",54,"0,20","270,00",51,"0,45","113,33",53,"0,22","240,91",52,"0,18","288,89"
52,"0,35","148,57",53,"0,20","265,00",48,"0,42","114,29",50,"0,21","238,10",54,"0,18","300,00"
49,"0,33","148,48",36,"0,15","240,00",51,"0,46","110,87",53,"0,24","220,83",51,"0,17","300,00"
52,"0,34","152,94",53,"0,20","265,00",50,"0,43","116,28",53,"0,24","220,83",53,"0,18","294,44"
52,"0,35","148,57",53,"0,22","240,91",49,"0,44","111,36",49,"0,24","204,17",53,"0,20","265,00"
48,"0,32","150,00",46,"0,17","270,59",51,"0,45","113,33",49,"0,22","222,73",50,"0,17","294,12"
49,"0,32","153,12",53,"0,22","240,91",49,"0,43","113,95",53,"0,23","230,43",50,"0,18","277,78"
52,"0,36","144,44",53,"0,19","278,95",50,"0,46","108,70",53,"0,22","240,91",53,"0,17","311,76"
51,"0,37","137,84",50,"0,19","263,16",51,"0,43","118,60",50,"0,23","217,39",54,"0,18","300,00"
35,"0,23","152,17",54,"0,22","245,45",49,"0,41","119,51",53,"0,21","252,38",50,"0,16","312,50"
53,"0,35","151,43",53,"0,20","265,00",50,"0,44","113,64",52,"0,25","208,00",54,"0,19","284,21"
52,"0,34","152,94",49,"0,21","233,33",51,"0,46","110,87",51,"0,21","242,86",53,"0,18","294,44"
35,"0,24","145,83",50,"0,20","250,00",48,"0,42","114,29",53,"0,26","203,85",51,"0,18","283,33"
52,"0,36","144,44",53,"0,21","252,38",51,"0,45","113,33",51,"0,23","221,74",53,"0,19","278,95"
52,"0,34","152,94",53,"0,22","240,91",51,"0,44","115,91",52,"0,26","200,00",53,"0,17","311,76"
35,"0,24","145,83",50,"0,20","250,00",47,"0,43","109,30",53,"0,23","230,43",51,"0,19","268,42"
52,"0,35","148,57",53,"0,19","278,95",48,"0,39","123,08",50,"0,22","227,27",54,"0,20","270,00"
52,"0,35","148,57",53,"0,22","240,91",51,"0,43","118,60",53,"0,24","220,83",51,"0,17","300,00"
40,"0,25","160,00",51,"0,21","242,86",51,"0,45","113,33",53,"0,22","240,91",53,"0,18","294,44"
52,"0,35","148,57",53,"0,20","265,00",48,"0,43","111,63",49,"0,23","213,04",53,"0,17","311,76"
