secp521r1 - P-521;secp521r1 - p521_mlkem1024;secp521r1 - mlkem1024
47;34;49
44;45;53
47;48;40
50;48;52
48;46;53
47;48;49
50;47;53
47;46;53
49;48;48
49;47;49
47;47;53
49;48;52
49;46;50
46;48;52
46;48;52
49;45;50
49;48;53
34;48;51
49;45;51
49;45;53
33;48;49
49;48;53
50;45;52
33;49;49
49;47;48
50;46;53
38;48;52
49;47;36
49;47;52
47;48;53
49;46;35
49;47;53
46;48;52
46;45;35
49;48;53
50;48;52
46;45;41
49;44;52
49;48;52
47;48;50
50;33;52
48;47;53
48;48;49
49;33;53
48;48;52
48;47;48
50;33;49
46;48;53
50;48;52
49;37;50
