ed25519 - P-256;ed25519 - X25519;ed25519 - p256_mlkem512;ed25519 - x25519_mlkem512;ed25519 - mlkem512
52;42;51;50;52
54;53;43;54;46
46;54;51;44;54
54;52;54;52;55
55;54;51;54;50
50;54;52;53;50
50;51;54;52;55
55;55;51;54;54
54;54;53;53;51
51;50;53;53;55
54;51;50;54;53
54;54;54;52;52
52;54;53;53;55
54;52;49;54;53
53;54;50;51;52
53;54;53;50;55
54;52;54;54;52
52;54;50;54;53
53;53;53;37;55
55;53;53;54;51
51;54;51;54;54
54;52;54;36;55
54;54;51;55;50
51;54;53;54;51
50;51;53;36;54
54;50;51;54;54
55;54;53;55;52
51;55;53;42;54
54;51;50;53;54
54;54;54;54;52
52;55;53;52;54
54;51;50;54;53
52;54;49;54;53
53;54;54;51;54
55;52;53;54;52
51;54;50;54;54
54;53;54;50;54
54;53;52;51;51
51;55;52;54;50
55;51;53;54;54
54;54;52;51;55
50;55;52;55;36
51;51;53;53;55
54;54;52;52;54
54;55;52;54;36
51;50;54;53;55
55;50;50;52;54
53;55;53;55;37
52;54;54;51;54
54;52;49;54;54
