secp384r1 - P-384;secp384r1 - x448;secp384r1 - p384_mlkem768;secp384r1 - x448_mlkem768;secp384r1 - mlkem768
33;36;50;50;41
53;53;38;53;52
52;53;47;40;53
44;36;51;53;52
52;54;51;53;52
52;53;48;50;54
49;36;51;53;51
52;53;50;53;53
52;53;49;49;53
48;46;51;49;50
49;53;49;53;50
52;53;50;53;53
51;50;51;50;54
35;54;49;53;50
53;53;50;52;54
52;49;51;51;53
35;50;48;53;51
52;53;51;51;53
52;53;51;52;53
35;50;47;53;51
52;53;48;50;54
52;53;51;53;51
40;51;51;53;53
52;53;48;49;53
52;52;51;49;51
49;52;50;53;54
52;53;49;53;53
52;51;51;50;50
48;52;50;53;49
48;54;49;52;54
52;50;51;51;53
52;53;49;53;51
50;53;50;51;53
51;50;51;52;53
52;49;49;53;52
50;53;51;50;53
52;54;51;53;52
50;50;47;52;52
51;53;47;51;54
52;53;51;52;51
50;51;51;53;53
51;53;48;50;53
52;52;51;53;51
49;51;51;53;53
48;54;48;49;54
52;51;51;49;50
52;52;50;53;49
35;53;50;53;54
52;51;51;50;53
52;53;49;53;51
