ecdsa-secp384 - P-384;ecdsa-secp384 - mlkem768;mldsa65 - P-384;mldsa65 - mlkem768;sphincssha2192fsimple - P-384;sphincssha2192fsimple - mlkem768;sphincssha2192ssimple - P-384;sphincssha2192ssimple - mlkem768
49;49;44;39;34;28;16;17
39;54;51;51;30;35;12;17
48;45;53;54;33;37;17;11
51;54;50;54;36;34;17;18
52;53;52;52;35;36;16;17
49;49;52;54;24;36;15;16
51;50;50;53;36;34;17;16
52;53;53;53;36;37;17;17
49;53;52;54;24;36;17;17
52;51;49;52;35;33;17;17
50;53;48;54;36;34;16;17
50;53;53;54;24;36;17;16
51;51;52;51;35;36;17;17
50;53;36;54;36;34;15;17
51;52;52;55;28;36;17;16
52;52;53;50;35;36;17;18
49;53;35;50;35;35;16;17
51;51;53;55;34;36;16;16
52;53;52;54;36;35;17;18
48;53;35;51;35;35;17;17
48;50;53;54;34;36;16;16
52;54;52;54;36;35;17;16
51;53;41;52;35;36;16;17
49;50;52;54;33;36;17;17
52;54;52;53;33;34;17;16
51;53;50;53;36;36;16;17
49;48;53;54;35;36;17;16
52;51;52;52;34;34;17;17
50;53;49;54;36;37;16;18
51;53;49;54;35;36;17;16
51;51;52;51;34;32;17;18
50;53;52;54;36;35;15;17
51;52;36;55;34;36;16;17
51;51;52;50;35;35;18;18
49;54;53;50;36;35;16;17
52;51;35;54;34;37;16;17
51;52;52;55;35;34;17;17
49;54;53;51;36;36;16;17
52;50;35;54;33;36;16;16
52;53;53;54;36;34;17;16
47;54;52;52;36;36;16;18
49;49;41;54;32;36;17;17
51;49;52;53;34;34;17;17
52;54;52;53;35;34;16;16
49;53;50;54;36;36;18;17
52;50;52;52;34;36;16;17
50;54;53;53;35;34;16;17
50;52;49;55;35;36;17;17
51;51;53;51;35;36;17;17
50;53;52;54;35;35;15;17
