secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
81,"0,57","142,11",119,"0,52","228,85",110,"0,98","112,24",125,"0,54","231,48",119,"0,41","290,24"
121,"0,77","157,14",85,"0,36","236,11",86,"0,77","111,69",126,"0,53","237,74",129,"0,42","307,14"
121,"0,78","155,13",127,"0,53","239,62",104,"1,00","104,00",85,"0,36","236,11",105,"0,38","276,32"
103,"0,69","149,28",127,"0,52","244,23",113,"1,12","100,89",125,"0,58","215,52",122,"0,45","271,11"
121,"0,77","157,14",85,"0,31","274,19",113,"1,07","105,61",126,"0,60","210,00",129,"0,42","307,14"
121,"0,78","155,13",128,"0,50","256,00",78,"0,66","118,18",108,"0,46","234,78",126,"0,42","300,00"
112,"0,79","141,77",126,"0,52","242,31",114,"0,96","118,75",126,"0,53","237,74",124,"0,41","302,44"
112,"0,70","160,00",88,"0,36","244,44",115,"1,00","115,00",125,"0,60","208,33",129,"0,48","268,75"
121,"0,79","153,16",124,"0,52","238,46",77,"0,69","111,59",117,"0,55","212,73",124,"0,44","281,82"
120,"0,78","153,85",127,"0,51","249,02",114,"1,01","112,87",116,"0,55","210,91",126,"0,43","293,02"
81,"0,55","147,27",120,"0,49","244,90",115,"0,96","119,79",126,"0,55","229,09",128,"0,46","278,26"
121,"0,78","155,13",127,"0,51","249,02",78,"0,63","123,81",125,"0,60","208,33",123,"0,41","300,00"
121,"0,78","155,13",127,"0,48","264,58",114,"1,01","112,87",85,"0,37","229,73",128,"0,47","272,34"
81,"0,55","147,27",119,"0,44","270,45",115,"0,95","121,05",125,"0,59","211,86",128,"0,42","304,76"
121,"0,77","157,14",117,"0,47","248,94",89,"0,79","112,66",126,"0,55","229,09",120,"0,44","272,73"
121,"0,78","155,13",126,"0,51","247,06",113,"0,95","118,95",85,"0,37","229,73",119,"0,40","297,50"
82,"0,53","154,72",127,"0,52","244,23",115,"0,93","123,66",126,"0,55","229,09",129,"0,42","307,14"
120,"0,87","137,93",86,"0,37","232,43",109,"0,91","119,78",125,"0,60","208,33",128,"0,43","297,67"
120,"0,84","142,86",126,"0,53","237,74",114,"1,02","111,76",85,"0,37","229,73",87,"0,28","310,71"
93,"0,66","140,91",128,"0,48","266,67",114,"0,99","115,15",125,"0,59","211,86",129,"0,46","280,43"
119,"0,82","145,12",85,"0,31","274,19",107,"0,91","117,58",126,"0,59","213,56",128,"0,44","290,91"
120,"0,77","155,84",128,"0,47","272,34",106,"0,93","113,98",98,"0,41","239,02",87,"0,32","271,88"
114,"0,77","148,05",127,"0,51","249,02",114,"1,01","112,87",124,"0,54","229,63",127,"0,50","254,00"
120,"0,84","142,86",85,"0,34","250,00",115,"0,97","118,56",126,"0,57","221,05",127,"0,44","288,64"
120,"0,88","136,36",127,"0,52","244,23",77,"0,65","118,46",119,"0,52","228,85",86,"0,35","245,71"
112,"0,80","140,00",127,"0,50","254,00",115,"0,99","116,16",126,"0,54","233,33",126,"0,51","247,06"
112,"0,72","155,56",98,"0,40","245,00",115,"0,94","122,34",125,"0,54","231,48",127,"0,51","249,02"
121,"0,78","155,13",125,"0,52","240,38",77,"0,64","120,31",116,"0,61","190,16",100,"0,39","256,41"
120,"0,82","146,34",126,"0,53","237,74",114,"1,03","110,68",115,"0,56","205,36",124,"0,50","248,00"
82,"0,52","157,69",121,"0,49","246,94",115,"0,99","116,16",124,"0,59","210,17",127,"0,48","264,58"
119,"0,84","141,67",126,"0,54","233,33",78,"0,65","120,00",125,"0,59","211,86",121,"0,47","257,45"
121,"0,83","145,78",126,"0,52","242,31",115,"0,94","122,34",84,"0,40","210,00",127,"0,49","259,18"
81,"0,51","158,82",118,"0,50","236,00",115,"0,95","121,05",124,"0,63","196,83",127,"0,49","259,18"
120,"0,84","142,86",117,"0,48","243,75",90,"0,76","118,42",124,"0,62","200,00",120,"0,40","300,00"
121,"0,83","145,78",127,"0,55","230,91",113,"0,98","115,31",84,"0,41","204,88",117,"0,40","292,50"
81,"0,56","144,64",127,"0,47","270,21",115,"0,96","119,79",124,"0,62","200,00",128,"0,45","284,44"
120,"0,83","144,58",86,"0,32","268,75",109,"0,90","121,11",124,"0,61","203,28",128,"0,45","284,44"
121,"0,76","159,21",127,"0,48","264,58",114,"1,02","111,76",83,"0,41","202,44",86,"0,29","296,55"
94,"0,61","154,10",127,"0,47","270,21",116,"0,95","122,11",125,"0,61","204,92",128,"0,42","304,76"
119,"0,76","156,58",86,"0,33","260,61",106,"0,92","115,22",125,"0,56","223,21",127,"0,48","264,58"
120,"0,85","141,18",126,"0,50","252,00",106,"0,90","117,78",98,"0,43","227,91",87,"0,30","290,00"
114,"0,72","158,33",127,"0,52","244,23",114,"1,03","110,68",123,"0,52","236,54",127,"0,47","270,21"
122,"0,76","160,53",86,"0,32","268,75",115,"0,96","119,79",125,"0,59","211,86",128,"0,46","278,26"
120,"0,82","146,34",127,"0,47","270,21",76,"0,71","107,04",118,"0,56","210,71",86,"0,32","268,75"
111,"0,83","133,73",127,"0,48","264,58",116,"0,97","119,59",124,"0,61","203,28",127,"0,46","276,09"
112,"0,75","149,33",100,"0,37","270,27",114,"0,96","118,75",125,"0,60","208,33",128,"0,45","284,44"
121,"0,75","161,33",125,"0,46","271,74",77,"0,71","108,45",116,"0,56","207,14",100,"0,38","263,16"
121,"0,76","159,21",126,"0,54","233,33",114,"0,99","115,15",116,"0,51","227,45",125,"0,47","265,96"
82,"0,52","157,69",121,"0,44","275,00",113,"1,09","103,67",125,"0,53","235,85",128,"0,45","284,44"
121,"0,76","159,21",127,"0,47","270,21",76,"0,64","118,75",126,"0,54","233,33",121,"0,45","268,89"
