ed25519 - P-256;ed25519 - X25519;ed25519 - p256_mlkem512;ed25519 - x25519_mlkem512;ed25519 - mlkem512
128;132;102;83;97
90;112;128;133;123
133;124;129;133;133
133;134;122;90;134
90;134;129;133;126
133;127;129;133;133
133;134;120;91;132
116;132;120;132;127
132;128;128;132;134
133;134;128;126;130
126;131;87;133;129
122;130;127;133;133
133;133;128;124;128
133;128;86;124;131
90;133;129;133;134
133;133;128;133;125
134;126;86;90;133
90;122;128;133;133
133;134;128;133;124
134;134;100;90;123
90;89;126;132;134
133;134;128;134;133
133;134;121;89;90
106;90;128;134;133
130;133;128;132;133
133;134;119;104;90
128;90;119;132;133
132;134;128;133;134
133;134;129;126;89
126;106;121;133;134
122;130;128;132;133
133;134;127;123;104
133;128;123;123;131
90;133;128;132;133
134;134;125;133;126
133;126;124;89;134
90;134;128;133;133
133;134;123;132;124
133;125;127;90;123
90;124;127;132;133
133;134;122;133;133
134;134;128;89;90
105;126;128;132;133
130;134;119;133;133
133;132;119;103;90
128;129;128;130;133
132;133;128;133;133
133;131;87;125;90
126;130;128;133;133
122;134;128;132;133
