secp384r1 - P-384;secp384r1 - x448;secp384r1 - p384_mlkem768;secp384r1 - x448_mlkem768;secp384r1 - mlkem768
81;119;110;125;119
121;85;86;126;129
121;127;104;85;105
103;127;113;125;122
121;85;113;126;129
121;128;78;108;126
112;126;114;126;124
112;88;115;125;129
121;124;77;117;124
120;127;114;116;126
81;120;115;126;128
121;127;78;125;123
121;127;114;85;128
81;119;115;125;128
121;117;89;126;120
121;126;113;85;119
82;127;115;126;129
120;86;109;125;128
120;126;114;85;87
93;128;114;125;129
119;85;107;126;128
120;128;106;98;87
114;127;114;124;127
120;85;115;126;127
120;127;77;119;86
112;127;115;126;126
112;98;115;125;127
121;125;77;116;100
120;126;114;115;124
82;121;115;124;127
119;126;78;125;121
121;126;115;84;127
81;118;115;124;127
120;117;90;124;120
121;127;113;84;117
81;127;115;124;128
120;86;109;124;128
121;127;114;83;86
94;127;116;125;128
119;86;106;125;127
120;126;106;98;87
114;127;114;123;127
122;86;115;125;128
120;127;76;118;86
111;127;116;124;127
112;100;114;125;128
121;125;77;116;100
121;126;114;116;125
82;121;113;125;128
121;127;76;126;121
