secp521r1,P-521,,secp521r1,p521_mlkem1024,,secp521r1,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec
309,"6,41","48,21",195,"4,15","46,99",485,"6,36","76,26"
353,"7,03","50,21",277,"6,50","42,62",459,"5,62","81,67"
229,"4,68","48,93",295,"6,63","44,49",493,"6,18","79,77"
341,"7,05","48,37",284,"6,36","44,65",553,"6,60","83,79"
344,"6,93","49,64",290,"6,76","42,90",546,"6,72","81,25"
240,"4,81","49,90",302,"6,67","45,28",358,"4,47","80,09"
332,"6,90","48,12",276,"6,20","44,52",545,"6,83","79,80"
340,"7,05","48,23",267,"6,21","43,00",541,"6,62","81,72"
321,"6,63","48,42",289,"6,57","43,99",345,"4,52","76,33"
340,"6,95","48,92",299,"6,63","45,10",535,"6,64","80,57"
343,"6,95","49,35",198,"4,53","43,71",543,"6,68","81,29"
329,"6,47","50,85",293,"6,69","43,80",357,"4,47","79,87"
319,"6,30","50,63",290,"6,71","43,22",536,"6,55","81,83"
342,"6,88","49,71",200,"4,41","45,35",541,"6,83","79,21"
350,"7,11","49,23",292,"6,72","43,45",414,"5,27","78,56"
232,"4,74","48,95",303,"6,71","45,16",522,"6,67","78,26"
350,"6,93","50,51",192,"4,47","42,95",551,"6,65","82,86"
345,"7,04","49,01",295,"6,54","45,11",514,"6,23","82,50"
231,"4,65","49,68",289,"6,42","45,02",526,"6,69","78,62"
333,"7,00","47,57",236,"5,29","44,61",546,"6,62","82,48"
346,"7,04","49,15",283,"6,43","44,01",509,"6,18","82,36"
228,"4,70","48,51",296,"6,57","45,05",488,"6,12","79,74"
336,"6,87","48,91",286,"6,25","45,76",554,"6,71","82,56"
362,"6,95","52,09",294,"6,66","44,14",532,"6,71","79,28"
264,"5,36","49,25",305,"6,60","46,21",360,"4,51","79,82"
344,"6,91","49,78",276,"6,29","43,88",550,"6,60","83,33"
338,"6,97","48,49",264,"6,11","43,21",544,"6,70","81,19"
323,"6,61","48,87",298,"6,82","43,70",361,"4,49","80,40"
340,"6,96","48,85",303,"6,69","45,29",537,"6,72","79,91"
339,"6,93","48,92",199,"4,57","43,54",550,"6,62","83,08"
332,"6,59","50,38",289,"6,77","42,69",373,"4,42","84,39"
303,"6,50","46,62",289,"6,67","43,33",535,"6,59","81,18"
338,"6,98","48,42",191,"4,43","43,12",543,"6,52","83,28"
349,"6,93","50,36",295,"6,64","44,43",421,"5,27","79,89"
214,"4,84","44,21",306,"6,61","46,29",539,"6,62","81,42"
345,"6,96","49,57",195,"4,40","44,32",559,"6,55","85,34"
360,"7,05","51,06",296,"6,65","44,51",514,"6,30","81,59"
214,"4,71","45,44",303,"6,66","45,50",541,"6,64","81,48"
345,"7,02","49,15",220,"5,29","41,59",535,"6,81","78,56"
350,"7,01","49,93",285,"6,67","42,73",484,"6,20","78,06"
228,"4,88","46,72",287,"6,78","42,33",496,"6,18","80,26"
333,"6,87","48,47",273,"6,25","43,68",546,"6,66","81,98"
347,"6,93","50,07",293,"6,60","44,39",532,"6,57","80,97"
281,"5,36","52,43",289,"6,75","42,81",355,"4,44","79,95"
333,"6,88","48,40",278,"6,23","44,62",545,"6,68","81,59"
350,"6,89","50,80",279,"6,20","45,00",532,"6,72","79,17"
338,"6,54","51,68",296,"6,69","44,25",367,"4,48","81,92"
301,"6,47","46,52",288,"6,67","43,18",527,"6,73","78,31"
350,"7,08","49,44",189,"4,47","42,28",545,"6,67","81,71"
354,"6,98","50,72",295,"6,50","45,38",361,"4,52","79,87"
223,"4,68","47,65",293,"6,53","44,87",557,"6,79","82,03"
346,"6,99","49,50",193,"4,42","43,67",551,"6,72","81,99"
346,"6,98","49,57",286,"6,85","41,75",423,"5,24","80,73"
236,"4,77","49,48",300,"6,81","44,05",543,"6,56","82,77"
340,"6,97","48,78",195,"4,44","43,92",554,"6,61","83,81"
343,"7,06","48,58",291,"6,71","43,37",519,"6,36","81,60"
227,"4,69","48,40",291,"6,78","42,92",526,"6,70","78,51"
336,"7,03","47,80",234,"5,22","44,83",530,"6,62","80,06"
352,"7,01","50,21",284,"6,53","43,49",507,"6,28","80,73"
280,"5,51","50,82",298,"6,79","43,89",488,"6,15","79,35"
330,"6,83","48,32",280,"6,35","44,09",536,"6,68","80,24"
343,"7,00","49,00",283,"6,77","41,80",535,"6,67","80,21"
336,"6,64","50,60",294,"6,63","44,34",373,"4,51","82,71"
343,"6,89","49,78",269,"6,22","43,25",528,"6,62","79,76"
349,"6,98","50,00",263,"6,20","42,42",545,"6,55","83,21"
330,"6,76","48,82",298,"6,64","44,88",378,"4,53","83,44"
334,"7,01","47,65",295,"6,60","44,70",541,"6,70","80,75"
354,"7,08","50,00",197,"4,41","44,67",551,"6,63","83,11"
334,"6,49","51,46",298,"6,52","45,71",360,"4,57","78,77"
306,"6,48","47,22",297,"6,63","44,80",542,"6,70","80,90"
338,"7,04","48,01",193,"4,44","43,47",538,"6,80","79,12"
338,"7,09","47,67",298,"6,61","45,08",422,"5,22","80,84"
230,"4,74","48,52",294,"6,56","44,82",538,"6,55","82,14"
350,"6,99","50,07",199,"4,45","44,72",552,"6,56","84,15"
344,"6,93","49,64",294,"6,58","44,68",513,"6,19","82,88"
229,"4,74","48,31",300,"6,84","43,86",535,"6,53","81,93"
338,"6,98","48,42",228,"5,34","42,70",566,"6,68","84,73"
350,"6,99","50,07",295,"6,57","44,90",509,"6,23","81,70"
235,"4,73","49,68",295,"6,78","43,51",498,"6,16","80,84"
336,"7,03","47,80",280,"6,11","45,83",549,"6,63","82,81"
331,"6,98","47,42",279,"6,45","43,26",532,"6,68","79,64"
268,"5,43","49,36",294,"6,59","44,61",370,"4,45","83,15"
322,"6,80","47,35",279,"6,27","44,50",551,"6,58","83,74"
337,"7,04","47,87",269,"6,23","43,18",551,"6,59","83,61"
335,"6,53","51,30",300,"6,41","46,80",365,"4,41","82,77"
333,"6,97","47,78",296,"6,64","44,58",540,"6,69","80,72"
355,"7,03","50,50",204,"4,46","45,74",559,"6,69","83,56"
317,"6,60","48,03",294,"6,63","44,34",366,"4,47","81,88"
315,"6,50","48,46",298,"6,71","44,41",540,"6,70","80,60"
340,"7,01","48,50",201,"4,41","45,58",548,"6,63","82,65"
342,"7,06","48,44",294,"6,84","42,98",425,"5,26","80,80"
228,"4,69","48,61",300,"6,74","44,51",519,"6,53","79,48"
349,"7,08","49,29",195,"4,54","42,95",556,"6,75","82,37"
348,"7,02","49,57",306,"6,68","45,81",524,"6,39","82,00"
232,"4,64","50,00",298,"6,75","44,15",547,"6,55","83,51"
325,"6,91","47,03",232,"5,20","44,62",537,"6,74","79,67"
342,"6,98","49,00",291,"6,53","44,56",511,"6,21","82,29"
232,"4,77","48,64",299,"6,64","45,03",500,"6,20","80,65"
335,"6,96","48,13",274,"6,25","43,84",545,"6,63","82,20"
348,"6,96","50,00",297,"6,78","43,81",536,"6,60","81,21"
