ed25519 - P-256;ed25519 - x25519;ed25519 - p256_mlkem512;ed25519 - x25519_mlkem512;ed25519 - mlkem512
4151;3818;2060;2650;4528
4475;4492;2125;4317;4205
3924;4751;1500;4303;4859
4421;4871;2232;2972;4944
4400;3185;2141;4240;4550
4136;4720;1502;4177;4446
4166;4765;2212;4069;4810
4334;3147;2237;4363;4917
4598;4764;1501;4120;3280
3042;4802;2152;4029;4937
4471;3272;2158;4036;4908
4444;4630;2222;4172;3321
3098;4829;2357;4376;4909
4513;3829;2204;2901;4948
4424;4696;2231;4132;3245
3159;4909;2171;4216;4960
4451;4513;2201;2926;4876
4372;4795;2343;4178;3869
3613;4760;1524;4302;4872
4439;4286;2316;2984;4888
4389;4604;2275;4202;4647
4367;4953;1568;4329;4610
4415;4983;2344;3404;4595
4387;3336;2266;4126;4477
4287;4790;1620;4341;4333
4235;4834;2368;4155;4538
4419;3347;2198;4125;4736
4580;4721;1731;4307;3220
3013;4822;2229;4118;4703
4346;3220;2168;3948;4678
4535;4875;2093;4320;3268
3159;4864;2201;4269;4525
4374;3895;2269;2981;4726
4462;4844;2095;4410;3289
3135;5004;2015;4315;4697
4413;4723;2227;2730;4737
4502;4895;2193;4188;3779
3578;5040;1509;4338;4589
4404;4645;2244;3002;4602
4478;4668;2142;4263;4572
4339;4972;1502;4318;4882
4486;4914;2212;3399;4866
4447;3426;2189;4268;4530
4294;4892;1557;4176;4472
4199;4913;2236;4138;4887
4446;3396;2230;4285;4916
4580;4987;1761;4210;3266
3061;4831;2210;4083;4643
4493;3409;2201;3895;4972
4357;4960;2136;4348;3413
3053;5029;2166;4357;4819
4494;3974;2187;2975;4822
4407;4912;2067;4259;3267
3060;4991;2060;4333;4979
4517;4754;2166;2971;4844
4469;5031;2180;4247;3862
3508;4870;1543;4341;4766
4444;4649;2187;3004;4631
4394;4716;2184;4240;4548
4239;4911;1524;4188;4726
4536;4978;2263;3229;4657
4405;3421;2139;4132;4567
4192;4801;1527;4215;4277
4076;5026;2186;3832;4746
4397;3402;2150;4159;4708
4422;4956;1740;4174;3214
3056;5068;2193;3901;4823
4360;3492;2157;3805;4702
4489;4848;2078;4078;3228
2988;5046;2178;4196;4738
4470;3881;2121;2947;4591
4421;4953;1988;4307;3209
2902;5036;1978;4146;4843
4528;4779;2181;2929;4616
4418;4930;2199;4323;3707
3570;4998;1483;4328;4694
4351;4720;2136;2898;4627
4324;4622;2220;4335;4571
4024;4948;1481;4180;4722
4508;5028;1892;3460;4841
4491;3378;2099;4299;4530
4164;4969;1506;4177;4342
4184;4851;1950;4178;4832
4473;3217;2330;4319;4766
4532;4747;1861;4191;3317
3080;5029;2063;3981;4837
4486;3402;2143;4085;4774
4429;4948;2117;4189;3273
2999;5076;2324;4255;4875
4467;3972;2239;2952;4729
4427;4896;2220;4230;3286
3109;5044;2114;4233;4995
4556;4754;2262;2974;4788
4403;5116;2285;4281;3876
3594;5033;1628;4172;4768
4561;4630;2322;2975;4784
4434;4728;2359;4364;4662
4321;4918;1624;4247;4876
4509;4978;2227;3485;4726
4400;3428;2195;4241;4554
