ecdsa-secp384 - P-384;ecdsa-secp384 - mlkem768;mldsa65 - P-384;mldsa65 - mlkem768;sphincssha2192fsimple - P-384;sphincssha2192fsimple - mlkem768;sphincssha2192ssimple - P-384;sphincssha2192ssimple - mlkem768
196;225;214;245;99;166;23;17
195;210;226;260;159;170;23;24
195;238;150;218;158;137;15;23
212;241;224;241;107;161;23;22
210;226;225;260;157;171;23;24
202;219;149;260;158;165;21;24
211;242;226;176;150;163;22;21
206;241;225;259;158;167;23;23
203;162;154;260;158;160;23;23
211;240;224;174;148;165;22;23
204;240;222;260;147;169;24;25
203;162;213;260;161;160;23;23
210;238;224;175;162;168;22;22
203;240;226;259;150;169;24;23
210;163;207;260;160;156;23;23
210;239;206;202;157;157;22;23
199;240;225;256;150;169;22;24
194;190;224;259;156;170;22;24
209;233;151;246;154;112;23;23
210;239;225;261;151;169;22;23
139;229;223;259;160;170;22;24
211;237;150;241;153;113;22;21
209;239;225;241;158;169;23;25
142;228;222;259;159;169;20;24
211;241;153;260;147;115;22;22
211;239;224;175;158;166;22;24
142;223;223;260;158;167;23;24
213;223;174;260;145;132;21;23
207;240;221;175;145;166;23;24
167;241;226;261;155;164;23;24
206;160;212;260;156;159;22;22
210;241;205;175;106;168;23;22
200;240;226;259;158;170;22;25
209;161;223;260;154;158;23;23
211;238;151;203;108;157;24;23
200;240;224;256;158;168;22;24
193;161;226;260;158;171;22;24
209;239;152;246;105;114;23;23
210;240;224;260;160;169;22;24
143;187;225;260;160;171;23;23
210;237;152;242;123;114;24;23
210;240;226;241;156;170;21;23
142;227;225;260;156;170;21;22
211;238;180;260;149;114;23;25
211;239;218;176;157;166;23;24
142;221;221;260;158;170;21;22
213;222;215;260;146;131;23;23
212;241;222;175;147;167;22;24
167;240;223;259;155;169;22;24
202;162;212;260;159;159;22;23
