ecdsa-secp384,P-384,,ecdsa-secp384,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
200,"1,45","137,93",240,"0,84","285,71",226,"1,12","201,79",259,"0,35","740,00",158,"1,36","116,18",170,"0,87","195,40",22,"0,14","157,14",25,"0,09","277,78"
209,"1,49","140,27",161,"0,60","268,33",223,"1,12","199,11",260,"0,33","787,88",154,"1,40","110,00",158,"0,81","195,06",23,"0,15","153,33",23,"0,07","328,57"
211,"1,52","138,82",238,"0,90","264,44",151,"0,79","191,14",203,"0,25","812,00",108,"0,94","114,89",157,"0,83","189,16",24,"0,17","141,18",23,"0,07","328,57"
200,"1,38","144,93",240,"0,87","275,86",224,"1,13","198,23",256,"0,34","752,94",158,"1,36","116,18",168,"0,91","184,62",22,"0,16","137,50",24,"0,08","300,00"
193,"1,35","142,96",161,"0,58","277,59",226,"1,08","209,26",260,"0,30","866,67",158,"1,38","114,49",171,"0,84","203,57",22,"0,15","146,67",24,"0,06","400,00"
209,"1,53","136,60",239,"0,85","281,18",152,"0,73","208,22",246,"0,33","745,45",105,"0,91","115,38",114,"0,55","207,27",23,"0,14","164,29",23,"0,08","287,50"
210,"1,50","140,00",240,"0,87","275,86",224,"1,11","201,80",260,"0,33","787,88",160,"1,32","121,21",169,"0,84","201,19",22,"0,16","137,50",24,"0,08","300,00"
143,"0,94","152,13",187,"0,66","283,33",225,"1,09","206,42",260,"0,34","764,71",160,"1,31","122,14",171,"0,84","203,57",23,"0,16","143,75",23,"0,07","328,57"
210,"1,50","140,00",237,"0,88","269,32",152,"0,75","202,67",242,"0,32","756,25",123,"1,10","111,82",114,"0,60","190,00",24,"0,16","150,00",23,"0,06","383,33"
210,"1,46","143,84",240,"0,81","296,30",226,"1,06","213,21",241,"0,27","892,59",156,"1,34","116,42",170,"0,81","209,88",21,"0,14","150,00",23,"0,07","328,57"
142,"1,02","139,22",227,"0,82","276,83",225,"1,09","206,42",260,"0,33","787,88",156,"1,34","116,42",170,"0,85","200,00",21,"0,16","131,25",22,"0,06","366,67"
211,"1,42","148,59",238,"0,96","247,92",180,"0,87","206,90",260,"0,33","787,88",149,"1,32","112,88",114,"0,63","180,95",23,"0,14","164,29",25,"0,06","416,67"
211,"1,53","137,91",239,"0,86","277,91",218,"1,08","201,85",176,"0,22","800,00",157,"1,49","105,37",166,"0,94","176,60",23,"0,16","143,75",24,"0,08","300,00"
142,"0,99","143,43",221,"0,85","260,00",221,"1,18","187,29",260,"0,36","722,22",158,"1,34","117,91",170,"0,86","197,67",21,"0,12","175,00",22,"0,07","314,29"
213,"1,40","152,14",222,"0,83","267,47",215,"1,14","188,60",260,"0,31","838,71",146,"1,33","109,77",131,"0,64","204,69",23,"0,15","153,33",23,"0,08","287,50"
212,"1,42","149,30",241,"0,80","301,25",222,"1,07","207,48",175,"0,22","795,45",147,"1,30","113,08",167,"0,81","206,17",22,"0,16","137,50",24,"0,08","300,00"
167,"1,23","135,77",240,"0,87","275,86",223,"1,13","197,35",259,"0,32","809,38",155,"1,40","110,71",169,"0,85","198,82",22,"0,14","157,14",24,"0,08","300,00"
202,"1,50","134,67",162,"0,56","289,29",212,"1,04","203,85",260,"0,34","764,71",159,"1,35","117,78",159,"0,85","187,06",22,"0,15","146,67",23,"0,08","287,50"
