ed25519,P-256,,ed25519,X25519,,ed25519,p256_mlkem512,,ed25519,x25519_mlkem512,,ed25519,mlkem512,
798,"0,79","1010,13",1433,"1,24","1155,65",1229,"3,12","393,91",1387,"1,48","937,16",1117,"0,97","1151,55"
1551,"1,54","1007,14",2096,"1,79","1170,95",1480,"3,86","383,42",1867,"2,05","910,73",1159,"1,02","1136,27"
2443,"2,40","1017,92",1080,"0,97","1113,40",954,"2,59","368,34",1502,"1,64","915,85",1228,"1,12","1096,43"
2772,"2,70","1026,67",1009,"0,83","1215,66",1367,"3,62","377,62",1562,"1,65","946,67",2030,"1,81","1121,55"
2758,"2,72","1013,97",1043,"0,92","1133,70",1268,"3,53","359,21",1338,"1,45","922,76",1643,"1,42","1157,04"
1084,"1,13","959,29",1728,"1,47","1175,51",1107,"3,06","361,76",1666,"1,87","890,91",2494,"2,29","1089,08"
1559,"1,55","1005,81",1886,"1,58","1193,67",1540,"4,11","374,70",783,"0,86","910,47",767,"0,69","1111,59"
2290,"2,24","1022,32",1856,"1,61","1152,80",1280,"3,25","393,85",1817,"1,95","931,79",1315,"1,17","1123,93"
1686,"1,67","1009,58",1581,"1,35","1171,11",1319,"3,31","398,49",2424,"2,64","918,18",1806,"1,64","1101,22"
1994,"1,97","1012,18",1105,"0,96","1151,04",1084,"2,96","366,22",1090,"1,18","923,73",1532,"1,39","1102,16"
1946,"1,89","1029,63",1899,"1,65","1150,91",1306,"3,35","389,85",1452,"1,65","880,00",1749,"1,62","1079,63"
1691,"1,67","1012,57",1556,"1,32","1178,79",1281,"3,49","367,05",1348,"1,52","886,84",1780,"1,59","1119,50"
1982,"1,95","1016,41",1071,"0,87","1231,03",1096,"2,81","390,04",1782,"1,93","923,32",1914,"1,69","1132,54"
1783,"1,79","996,09",1368,"1,26","1085,71",1662,"4,27","389,23",1776,"1,90","934,74",2406,"2,09","1151,20"
1151,"1,12","1027,68",1558,"1,42","1097,18",1182,"3,16","374,05",1655,"1,83","904,37",1648,"1,45","1136,55"
2145,"2,18","983,94",1064,"0,91","1169,23",975,"2,53","385,38",1308,"1,41","927,66",1219,"1,07","1139,25"
1720,"1,68","1023,81",1000,"0,86","1162,79",907,"2,36","384,32",1223,"1,33","919,55",1779,"1,59","1118,87"
1945,"1,98","982,32",2337,"2,06","1134,47",1280,"3,32","385,54",973,"1,05","926,67",1290,"1,12","1151,79"
1200,"1,23","975,61",1596,"1,38","1156,52",1163,"3,03","383,83",1136,"1,27","894,49",1349,"1,19","1133,61"
2229,"2,20","1013,18",1130,"0,98","1153,06",1052,"2,70","389,63",675,"0,76","888,16",1805,"1,52","1187,50"
1302,"1,26","1033,33",2349,"2,07","1134,78",1448,"3,75","386,13",2040,"2,23","914,80",1474,"1,32","1116,67"
1333,"1,36","980,15",1102,"0,98","1124,49",1672,"4,29","389,74",1306,"1,45","900,69",1532,"1,37","1118,25"
