ed25519,P-256,,ed25519,X25519,,ed25519,p256_mlkem512,,ed25519,x25519_mlkem512,,ed25519,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
1127,"1,11","1015,32",1717,"1,44","1192,36",855,"2,22","385,14",1048,"1,18","888,14",1207,"1,05","1149,52"
1762,"1,77","995,48",1114,"0,99","1125,25",923,"2,48","372,18",1235,"1,35","914,81",2101,"1,87","1123,53"
1308,"1,28","1021,88",2079,"1,82","1142,31",1247,"3,38","368,93",1246,"1,35","922,96",2156,"1,98","1088,89"
1864,"1,84","1013,04",1660,"1,42","1169,01",837,"2,14","391,12",1778,"1,92","926,04",991,"0,91","1089,01"
1415,"1,45","975,86",1285,"1,19","1079,83",1013,"2,65","382,26",1591,"1,78","893,82",2021,"1,78","1135,39"
1148,"1,21","948,76",2145,"1,79","1198,32",1259,"3,34","376,95",2247,"2,44","920,90",1534,"1,39","1103,60"
1499,"1,48","1012,84",1484,"1,22","1216,39",987,"2,59","381,08",2036,"2,17","938,25",1803,"1,58","1141,14"
1490,"1,45","1027,59",1674,"1,49","1123,49",1190,"3,16","376,58",1821,"2,04","892,65",1626,"1,42","1145,07"
1609,"1,64","981,10",1929,"1,63","1183,44",1827,"4,94","369,84",1488,"1,58","941,77",2718,"2,46","1104,88"
2106,"2,07","1017,39",2386,"2,10","1136,19",917,"2,39","383,68",1455,"1,57","926,75",1601,"1,43","1119,58"
1580,"1,59","993,71",1274,"1,11","1147,75",955,"2,55","374,51",1462,"1,62","902,47",879,"0,75","1172,00"
1779,"1,79","993,85",1514,"1,34","1129,85",1345,"3,61","372,58",1019,"1,09","934,86",1470,"1,33","1105,26"
831,"0,88","944,32",820,"0,74","1108,11",1179,"3,14","375,48",1321,"1,39","950,36",1427,"1,28","1114,84"
1833,"1,83","1001,64",1570,"1,30","1207,69",1115,"2,94","379,25",979,"1,07","914,95",1671,"1,46","1144,52"
1386,"1,38","1004,35",2261,"1,89","1196,30",1193,"3,23","369,35",600,"0,64","937,50",1571,"1,45","1083,45"
1206,"1,18","1022,03",1853,"1,56","1187,82",1135,"3,00","378,33",2331,"2,48","939,92",1391,"1,25","1112,80"
1403,"1,44","974,31",1421,"1,22","1164,75",960,"2,56","375,00",1583,"1,68","942,26",1433,"1,28","1119,53"
1811,"1,78","1017,42",1247,"1,11","1123,42",1294,"3,46","373,99",1328,"1,42","935,21",1830,"1,61","1136,65"
978,"0,98","997,96",1686,"1,44","1170,83",1428,"3,77","378,78",1425,"1,60","890,62",1659,"1,49","1113,42"
1637,"1,64","998,17",1810,"1,56","1160,26",1069,"2,89","369,90",1183,"1,30","910,00",1413,"1,19","1187,39"
1910,"1,85","1032,43",1290,"1,12","1151,79",886,"2,40","369,17",1418,"1,55","914,84",2520,"2,29","1100,44"
1543,"1,50","1028,67",1304,"1,11","1174,77",1190,"3,14","378,98",1781,"1,92","927,60",1653,"1,50","1102,00"
1692,"1,69","1001,18",1367,"1,16","1178,45",1195,"3,03","394,39",2705,"2,92","926,37",1800,"1,58","1139,24"
1418,"1,41","1005,67",1575,"1,31","1202,29",1485,"3,79","391,82",1185,"1,34","884,33",2155,"1,93","1116,58"
1723,"1,70","1013,53",1616,"1,40","1154,29",1029,"2,65","388,30",1634,"1,78","917,98",1653,"1,42","1164,08"
1843,"1,82","1012,64",1662,"1,42","1170,42",1216,"3,13","388,50",1826,"1,98","922,22",1498,"1,38","1085,51"
1633,"1,62","1008,02",572,"0,50","1144,00",760,"1,99","381,91",2113,"2,28","926,75",2130,"1,93","1103,63"
1939,"1,99","974,37",1571,"1,45","1083,45",1165,"3,18","366,35",1640,"1,82","901,10",1364,"1,21","1127,27"
