secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
744,"4,83","154,04",933,"3,05","305,90",555,"4,54","122,25",673,"2,70","249,26",1294,"3,86","335,23"
422,"2,67","158,05",890,"3,07","289,90",573,"4,73","121,14",1349,"5,46","247,07",1334,"4,09","326,16"
643,"4,06","158,37",741,"2,44","303,69",455,"3,76","121,01",1143,"4,44","257,43",665,"1,95","341,03"
621,"3,88","160,05",965,"3,29","293,31",381,"3,23","117,96",940,"3,77","249,34",968,"2,87","337,28"
726,"4,49","161,69",1502,"5,20","288,85",611,"4,88","125,20",711,"2,79","254,84",1320,"3,93","335,88"
955,"6,03","158,37",955,"3,35","285,07",578,"4,91","117,72",739,"2,89","255,71",918,"2,77","331,41"
707,"4,50","157,11",884,"3,08","287,01",398,"3,26","122,09",653,"2,66","245,49",1361,"4,02","338,56"
760,"4,87","156,06",1255,"4,21","298,10",428,"3,52","121,59",887,"3,59","247,08",1129,"3,29","343,16"
494,"3,10","159,35",489,"1,76","277,84",539,"4,53","118,98",754,"3,01","250,50",1429,"4,14","345,17"
864,"5,42","159,41",980,"3,39","289,09",484,"4,03","120,10",942,"3,81","247,24",872,"2,62","332,82"
647,"4,11","157,42",1079,"3,66","294,81",650,"5,34","121,72",888,"3,59","247,35",914,"2,65","344,91"
407,"2,54","160,24",563,"1,97","285,79",533,"4,43","120,32",1116,"4,43","251,92",935,"2,82","331,56"
591,"3,68","160,60",1176,"3,96","296,97",330,"2,73","120,88",760,"3,11","244,37",998,"2,84","351,41"
708,"4,33","163,51",910,"3,26","279,14",504,"4,18","120,57",928,"3,67","252,86",1409,"4,08","345,34"
553,"3,56","155,34",1042,"3,70","281,62",669,"5,38","124,35",957,"3,64","262,91",1370,"4,02","340,80"
706,"4,50","156,89",938,"3,06","306,54",409,"3,36","121,73",1251,"4,96","252,22",1414,"4,24","333,49"
711,"4,54","156,61",949,"3,43","276,68",633,"5,19","121,97",834,"3,34","249,70",1213,"3,53","343,63"
417,"2,72","153,31",1050,"3,45","304,35",591,"4,86","121,60",721,"2,91","247,77",910,"2,62","347,33"
629,"3,90","161,28",508,"1,69","300,59",508,"4,23","120,09",1015,"4,16","243,99",836,"2,42","345,45"
555,"3,55","156,34",940,"3,31","283,99",516,"4,15","124,34",858,"3,52","243,75",1200,"3,47","345,82"
572,"3,83","149,35",770,"2,55","301,96",376,"3,08","122,08",1161,"4,76","243,91",1067,"3,11","343,09"
874,"5,61","155,79",644,"2,16","298,15",450,"3,76","119,68",750,"3,15","238,10",1413,"4,07","347,17"
785,"5,09","154,22",1176,"4,00","294,00",299,"2,50","119,60",1257,"4,97","252,92",1419,"4,19","338,66"
395,"2,53","156,13",1017,"3,42","297,37",554,"4,66","118,88",1023,"3,98","257,04",735,"2,13","345,07"
447,"2,80","159,64",790,"2,67","295,88",637,"5,52","115,40",965,"3,92","246,17",1188,"3,43","346,36"
643,"4,10","156,83",1331,"4,61","288,72",422,"3,49","120,92",912,"3,61","252,63",1426,"4,11","346,96"
917,"5,91","155,16",969,"3,31","292,75",417,"3,48","119,83",1238,"4,70","263,40",801,"2,32","345,26"
497,"3,06","162,42",1033,"3,54","291,81",534,"4,46","119,73",960,"3,66","262,30",860,"2,46","349,59"
920,"5,72","160,84",1209,"4,05","298,52",489,"4,07","120,15",1491,"5,96","250,17",1475,"4,29","343,82"
575,"3,79","151,72",862,"2,98","289,26",506,"4,14","122,22",793,"3,17","250,16",880,"2,57","342,41"
573,"3,67","156,13",999,"3,32","300,90",483,"4,09","118,09",713,"2,85","250,18",970,"2,84","341,55"
640,"3,98","160,80",1068,"3,67","291,01",408,"3,32","122,89",1147,"4,48","256,03",1233,"3,57","345,38"
536,"3,40","157,65",1246,"4,27","291,80",510,"4,24","120,28",752,"3,02","249,01",1075,"3,10","346,77"
377,"2,33","161,80",1104,"3,80","290,53",555,"4,61","120,39",538,"2,28","235,96",1126,"3,24","347,53"
621,"3,92","158,42",790,"2,74","288,32",481,"3,94","122,08",948,"3,71","255,53",929,"2,70","344,07"
750,"4,95","151,52",1553,"5,29","293,57",563,"4,65","121,08",727,"2,84","255,99",749,"2,17","345,16"
548,"3,51","156,13",1139,"3,82","298,17",517,"4,28","120,79",537,"2,19","245,21",1249,"3,59","347,91"
568,"3,62","156,91",659,"2,28","289,04",486,"3,87","125,58",839,"3,26","257,36",1256,"3,58","350,84"
689,"4,43","155,53",1333,"4,50","296,22",587,"4,72","124,36",1046,"4,13","253,27",858,"2,45","350,20"
753,"4,77","157,86",931,"3,14","296,50",586,"4,84","121,07",655,"2,72","240,81",1101,"3,17","347,32"
810,"5,19","156,07",660,"2,24","294,64",513,"3,95","129,87",1046,"4,19","249,64",1293,"3,74","345,72"
448,"2,95","151,86",989,"3,30","299,70",557,"4,57","121,88",834,"3,31","251,96",537,"1,52","353,29"
504,"3,25","155,08",1209,"4,07","297,05",582,"4,74","122,78",923,"3,74","246,79",1180,"3,45","342,03"
529,"3,24","163,27",804,"2,76","291,30",612,"4,99","122,65",1316,"5,19","253,56",1066,"3,13","340,58"
594,"3,78","157,14",1332,"4,54","293,39",594,"4,96","119,76",1091,"4,27","255,50",835,"2,42","345,04"
801,"5,05","158,61",1347,"4,56","295,39",566,"4,65","121,72",747,"2,92","255,82",998,"2,88","346,53"
758,"4,82","157,26",1085,"3,66","296,45",637,"5,23","121,80",715,"2,85","250,88",1300,"3,72","349,46"
782,"4,93","158,62",733,"2,54","288,58",552,"4,59","120,26",1288,"5,13","251,07",1366,"3,91","349,36"
745,"4,64","160,56",1098,"3,84","285,94",414,"3,50","118,29",905,"3,59","252,09",1560,"4,50","346,67"
741,"4,71","157,32",883,"3,03","291,42",608,"4,99","121,84",741,"2,95","251,19",645,"1,87","344,92"
