secp384r1 - P-384;secp384r1 - x448;secp384r1 - p384_mlkem768;secp384r1 - x448_mlkem768;secp384r1 - mlkem768
744;933;555;673;1294
422;890;573;1349;1334
643;741;455;1143;665
621;965;381;940;968
726;1502;611;711;1320
955;955;578;739;918
707;884;398;653;1361
760;1255;428;887;1129
494;489;539;754;1429
864;980;484;942;872
647;1079;650;888;914
407;563;533;1116;935
591;1176;330;760;998
708;910;504;928;1409
553;1042;669;957;1370
706;938;409;1251;1414
711;949;633;834;1213
417;1050;591;721;910
629;508;508;1015;836
555;940;516;858;1200
572;770;376;1161;1067
874;644;450;750;1413
785;1176;299;1257;1419
395;1017;554;1023;735
447;790;637;965;1188
643;1331;422;912;1426
917;969;417;1238;801
497;1033;534;960;860
920;1209;489;1491;1475
575;862;506;793;880
573;999;483;713;970
640;1068;408;1147;1233
536;1246;510;752;1075
377;1104;555;538;1126
621;790;481;948;929
750;1553;563;727;749
548;1139;517;537;1249
568;659;486;839;1256
689;1333;587;1046;858
753;931;586;655;1101
810;660;513;1046;1293
448;989;557;834;537
504;1209;582;923;1180
529;804;612;1316;1066
594;1332;594;1091;835
801;1347;566;747;998
758;1085;637;715;1300
782;733;552;1288;1366
745;1098;414;905;1560
741;883;608;741;645
