secp521r1,P-521,,secp521r1,p521_mlkem1024,,secp521r1,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec
504,"6,56","76,83",281,"4,22","66,59",709,"3,97","178,59"
404,"5,23","77,25",327,"4,76","68,70",644,"3,59","179,39"
338,"4,45","75,96",171,"2,65","64,53",494,"2,71","182,29"
373,"4,76","78,36",369,"5,38","68,59",667,"3,74","178,34"
362,"4,70","77,02",371,"5,57","66,61",1116,"6,26","178,27"
399,"5,05","79,01",213,"3,42","62,28",989,"5,63","175,67"
479,"6,12","78,27",331,"5,08","65,16",733,"4,06","180,54"
406,"5,33","76,17",339,"5,01","67,66",687,"3,94","174,37"
411,"5,23","78,59",200,"3,15","63,49",695,"3,85","180,52"
445,"5,95","74,79",349,"5,31","65,73",577,"3,26","176,99"
418,"5,35","78,13",260,"4,01","64,84",912,"5,27","173,06"
333,"4,46","74,66",327,"5,14","63,62",748,"4,39","170,39"
387,"4,91","78,82",276,"4,12","66,99",595,"3,33","178,68"
464,"6,41","72,39",296,"4,35","68,05",746,"4,18","178,47"
325,"4,43","73,36",254,"3,69","68,83",935,"5,42","172,51"
388,"5,17","75,05",309,"4,49","68,82",727,"4,05","179,51"
288,"3,92","73,47",333,"4,80","69,38",873,"4,85","180,00"
408,"5,41","75,42",348,"5,13","67,84",876,"4,97","176,26"
356,"4,74","75,11",260,"3,77","68,97",707,"4,11","172,02"
356,"4,91","72,51",347,"5,06","68,58",755,"4,35","173,56"
409,"5,36","76,31",356,"5,20","68,46",1205,"6,68","180,39"
459,"6,13","74,88",216,"3,16","68,35",969,"5,47","177,15"
422,"5,88","71,77",321,"4,63","69,33",916,"5,32","172,18"
387,"5,22","74,14",390,"5,69","68,54",691,"3,91","176,73"
375,"4,99","75,15",230,"3,35","68,66",800,"4,53","176,60"
343,"4,50","76,22",331,"4,84","68,39",532,"2,98","178,52"
399,"5,23","76,29",320,"4,68","68,38",658,"3,87","170,03"
364,"4,77","76,31",266,"3,94","67,51",821,"4,81","170,69"
415,"5,57","74,51",335,"4,89","68,51",946,"5,46","173,26"
332,"4,57","72,65",367,"5,41","67,84",628,"3,56","176,40"
213,"2,80","76,07",291,"4,32","67,36",812,"4,65","174,62"
415,"5,65","73,45",245,"3,57","68,63",660,"3,81","173,23"
426,"5,60","76,07",323,"4,84","66,74",855,"5,07","168,64"
176,"2,28","77,19",279,"4,07","68,55",458,"2,69","170,26"
351,"4,58","76,64",358,"5,29","67,67",775,"4,49","172,61"
482,"6,49","74,27",343,"5,15","66,60",824,"4,73","174,21"
284,"3,64","78,02",409,"5,93","68,97",781,"4,50","173,56"
321,"4,32","74,31",213,"3,11","68,49",819,"4,69","174,63"
389,"5,16","75,39",352,"5,20","67,69",962,"5,55","173,33"
271,"3,54","76,55",303,"4,43","68,40",519,"3,03","171,29"
474,"6,14","77,20",175,"2,58","67,83",907,"5,06","179,25"
350,"4,53","77,26",294,"4,29","68,53",888,"5,10","174,12"
408,"5,37","75,98",380,"5,59","67,98",815,"4,62","176,41"
441,"5,67","77,78",220,"3,40","64,71",485,"2,69","180,30"
402,"5,16","77,91",387,"5,63","68,74",1043,"5,90","176,78"
395,"5,12","77,15",353,"5,18","68,15",828,"4,79","172,86"
361,"4,66","77,47",235,"3,46","67,92",597,"3,45","173,04"
448,"5,78","77,51",315,"4,62","68,18",781,"4,57","170,90"
453,"5,83","77,70",395,"5,81","67,99",854,"5,00","170,80"
233,"3,11","74,92",344,"5,07","67,85",746,"4,21","177,20"
