secp521r1,P-521,,secp521r1,p521_mlkem1024,,secp521r1,mlkem1024,,secp521r1,p521_hqc256,,secp521r1,hqc256,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
346,"5,75","60,17",309,"5,23","59,08",947,"6,33","149,61",78,"6,20","12,58",88,"6,45","13,64"
372,"5,76","64,58",311,"5,29","58,79",941,"6,33","148,66",70,"6,21","11,27",94,"6,47","14,53"
339,"5,80","58,45",307,"5,29","58,03",880,"6,33","139,02",72,"6,14","11,73",92,"6,37","14,44"
346,"5,75","60,17",326,"5,31","61,39",1025,"6,37","160,91",75,"6,12","12,25",95,"6,42","14,80"
343,"5,73","59,86",330,"5,26","62,74",986,"6,34","155,52",78,"6,19","12,60",95,"6,48","14,66"
371,"5,79","64,08",312,"5,30","58,87",996,"6,32","157,59",75,"6,15","12,20",95,"6,45","14,73"
323,"5,72","56,47",315,"5,28","59,66",962,"6,32","152,22",70,"6,00","11,67",95,"6,47","14,68"
334,"5,85","57,09",309,"5,25","58,86",969,"6,31","153,57",73,"6,27","11,64",90,"6,45","13,95"
333,"5,82","57,22",322,"5,26","61,22",1030,"6,36","161,95",76,"6,13","12,40",93,"6,44","14,44"
344,"5,85","58,80",328,"5,30","61,89",933,"6,39","146,01",77,"6,21","12,40",93,"6,34","14,67"
328,"5,75","57,04",313,"5,33","58,72",898,"6,35","141,42",74,"6,16","12,01",95,"6,51","14,59"
291,"5,86","49,66",318,"5,27","60,34",700,"6,23","112,36",75,"6,19","12,12",95,"6,46","14,71"
363,"5,81","62,48",327,"5,30","61,70",583,"6,22","93,73",75,"6,20","12,10",93,"6,52","14,26"
149,"5,89","25,30",311,"5,29","58,79",596,"6,07","98,19",71,"6,14","11,56",94,"6,40","14,69"
