ecdsa-secp384 - P-521;ecdsa-secp384 - mlkem1024;mldsa87 - P-521;mldsa87 - mlkem1024;falcon1024 - P-521;falcon1024 - mlkem1024;sphincssha2256fsimple - P-521;sphincssha2256fsimple - mlkem1024;sphincssha2256ssimple - P-521;sphincssha2256ssimple - mlkem1024
342;491;285;750;435;759;172;163;29;17
238;799;271;1202;283;1486;113;217;26;20
279;805;352;1145;515;898;160;199;18;27
352;463;435;695;500;1725;164;209;26;26
301;713;511;1031;357;1029;146;226;27;25
379;783;441;947;452;849;152;256;16;24
388;709;550;519;395;1462;148;183;26;25
404;644;469;1259;498;891;157;227;26;22
332;590;446;1431;609;1185;180;231;20;27
360;791;468;1690;307;1155;144;211;24;27
312;398;582;899;503;1235;155;239;27;25
327;582;416;1635;406;1574;178;254;26;27
344;865;348;1376;401;1680;151;238;25;26
363;458;496;1388;452;1279;160;157;26;25
336;788;512;1773;362;1281;170;248;21;27
397;699;362;2472;491;722;131;211;22;26
328;518;322;1296;397;1171;188;143;27;20
177;421;427;1181;241;1430;126;255;27;26
377;565;414;2087;570;663;192;230;24;24
316;458;269;1266;536;953;150;169;26;27
252;553;406;598;337;983;111;220;25;28
377;910;581;1536;441;1472;151;213;25;24
350;645;390;2005;598;795;175;126;26;26
212;631;354;1393;275;1521;125;158;25;27
282;511;403;1486;492;1155;155;231;25;26
335;655;439;988;407;1058;153;216;27;26
190;560;434;1067;516;1008;149;186;25;28
300;610;498;1299;334;1301;158;240;26;24
309;553;419;1454;494;1304;184;207;26;26
317;337;375;901;485;876;169;210;24;24
355;681;422;789;517;1289;161;261;24;27
289;590;374;1059;505;784;151;213;26;28
324;610;484;1646;413;659;169;125;25;25
369;573;569;631;446;903;161;230;22;27
374;400;513;2119;502;544;190;261;24;27
383;638;535;1666;363;948;176;173;24;25
206;775;533;474;521;2163;105;184;25;22
374;507;608;1530;320;816;168;256;27;27
340;404;320;786;418;852;174;149;27;26
246;736;445;971;432;954;133;251;25;26
403;670;456;888;494;1415;195;252;27;25
370;726;450;905;431;659;172;178;27;25
267;649;438;1196;372;1377;134;187;26;26
344;620;509;1679;592;524;193;194;26;23
374;664;452;1006;370;1574;161;188;26;26
333;804;372;1321;476;1274;139;261;26;25
405;571;480;605;409;1014;141;213;26;26
437;295;332;1093;442;1243;175;216;24;25
229;796;378;578;395;1305;155;212;25;26
335;489;449;1161;464;1243;158;185;25;24
