rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
1101,"1,00","1101,00",607,"0,67","905,97",1253,"1,22","1027,05",1118,"0,99","1129,29",1392,"1,38","1008,70",1073,"1,08","993,52",914,"0,68","1344,12",819,"0,79","1036,71",767,"0,60","1278,33",226,"1,02","221,57",321,"1,42","226,06",367,"1,63","225,15",25,"0,06","416,67",35,"0,08","437,50",41,"0,11","372,73"
735,"0,72","1020,83",1162,"1,26","922,22",856,"0,83","1031,33",1517,"1,55","978,71",946,"0,99","955,56",1223,"1,27","962,99",595,"0,49","1214,29",788,"0,83","949,40",1104,"0,84","1314,29",352,"1,42","247,89",520,"2,20","236,36",540,"2,08","259,62",37,"0,09","411,11",33,"0,09","366,67",43,"0,10","430,00"
630,"0,59","1067,80",801,"0,83","965,06",608,"0,55","1105,45",1247,"1,18","1056,78",832,"0,85","978,82",960,"0,92","1043,48",1250,"0,93","1344,09",1189,"1,23","966,67",733,"0,58","1263,79",358,"1,52","235,53",394,"1,71","230,41",538,"2,17","247,93",42,"0,11","381,82",41,"0,11","372,73",28,"0,08","350,00"
691,"0,65","1063,08",882,"0,93","948,39",684,"0,70","977,14",978,"0,96","1018,75",1442,"1,51","954,97",1678,"1,52","1103,95",1516,"1,17","1295,73",890,"0,87","1022,99",1094,"0,86","1272,09",370,"1,50","246,67",513,"2,18","235,32",511,"2,04","250,49",36,"0,08","450,00",41,"0,11","372,73",42,"0,10","420,00"
753,"0,78","965,38",954,"1,03","926,21",866,"0,81","1069,14",1128,"1,06","1064,15",990,"1,12","883,93",1369,"1,34","1021,64",866,"0,71","1219,72",1329,"1,34","991,79",1085,"0,85","1276,47",578,"2,28","253,51",350,"1,51","231,79",327,"1,44","227,08",40,"0,10","400,00",42,"0,11","381,82",41,"0,10","410,00"
947,"0,91","1040,66",831,"0,89","933,71",722,"0,71","1016,90",651,"0,60","1085,00",1279,"1,33","961,65",1334,"1,23","1084,55",1260,"0,93","1354,84",957,"1,03","929,13",925,"0,80","1156,25",328,"1,32","248,48",412,"1,79","230,17",468,"1,90","246,32",35,"0,09","388,89",41,"0,10","410,00",38,"0,09","422,22"
1238,"1,09","1135,78",825,"0,92","896,74",868,"0,81","1071,60",750,"0,70","1071,43",2078,"2,19","948,86",1325,"1,26","1051,59",1410,"1,14","1236,84",1380,"1,39","992,81",1487,"1,17","1270,94",434,"1,82","238,46",350,"1,51","231,79",423,"1,68","251,79",40,"0,10","400,00",41,"0,10","410,00",40,"0,10","400,00"
798,"0,77","1036,36",755,"0,84","898,81",841,"0,80","1051,25",1599,"1,37","1167,15",1931,"2,06","937,38",1708,"1,66","1028,92",1117,"0,83","1345,78",1403,"1,49","941,61",851,"0,67","1270,15",455,"1,85","245,95",432,"1,88","229,79",306,"1,26","242,86",42,"0,10","420,00",40,"0,10","400,00",39,"0,10","390,00"
851,"0,74","1150,00",919,"1,00","919,00",579,"0,55","1052,73",1111,"1,02","1089,22",1641,"1,81","906,63",838,"0,80","1047,50",1152,"0,92","1252,17",1112,"1,10","1010,91",647,"0,53","1220,75",514,"2,14","240,19",388,"1,69","229,59",384,"1,56","246,15",44,"0,10","440,00",39,"0,10","390,00",38,"0,11","345,45"
1317,"1,22","1079,51",843,"0,95","887,37",1239,"1,18","1050,00",1010,"1,01","1000,00",1150,"1,25","920,00",1540,"1,57","980,89",756,"0,64","1181,25",1130,"1,11","1018,02",653,"0,50","1306,00",426,"1,70","250,59",385,"1,76","218,75",385,"1,62","237,65",40,"0,09","444,44",40,"0,11","363,64",38,"0,10","380,00"
806,"0,70","1151,43",1114,"1,23","905,69",722,"0,75","962,67",1719,"1,51","1138,41",992,"1,02","972,55",859,"0,86","998,84",988,"0,83","1190,36",849,"0,81","1048,15",1396,"1,09","1280,73",325,"1,43","227,27",515,"2,27","226,87",396,"1,60","247,50",41,"0,10","410,00",36,"0,10","360,00",42,"0,10","420,00"
916,"0,77","1189,61",1048,"1,25","838,40",757,"0,72","1051,39",1429,"1,32","1082,58",1677,"1,64","1022,56",1632,"1,51","1080,79",1399,"1,01","1385,15",1078,"1,22","883,61",966,"0,76","1271,05",340,"1,55","219,35",309,"1,33","232,33",425,"1,71","248,54",44,"0,10","440,00",36,"0,08","450,00",41,"0,11","372,73"
