secp384r1 - P-384;secp384r1 - x448;secp384r1 - p384_mlkem768;secp384r1 - x448_mlkem768;secp384r1 - mlkem768
751;1107;355;846;950
700;1201;596;919;1287
468;1007;603;979;1290
761;1098;416;979;1123
773;1199;575;936;1155
515;1181;606;1047;1297
705;803;527;972;1271
705;1193;596;938;868
509;1174;601;958;1206
766;752;515;937;1182
774;1100;547;971;818
661;1090;593;1059;1193
757;747;605;1006;1275
711;1108;408;1046;861
676;1177;602;1051;1265
691;913;603;989;1259
707;1153;402;966;960
718;1103;600;1047;1160
507;1042;608;967;1174
764;1175;400;695;1130
770;1164;604;970;1265
516;1020;602;998;1203
765;1012;466;701;1117
765;1094;588;1040;1098
500;1113;605;973;1189
699;794;566;704;1202
769;1140;602;979;815
559;1160;606;975;1200
695;793;561;826;1206
764;1163;550;995;859
724;1169;599;969;1197
762;750;587;987;1188
767;1152;407;971;805
651;1177;603;992;1196
640;910;601;986;1267
714;1144;371;885;1009
759;1122;605;1021;1244
478;1093;541;1046;1285
770;1171;369;666;1131
763;1172;600;988;1186
511;1085;557;976;1185
755;1002;469;651;1122
762;1104;546;1051;1174
507;1171;599;1053;1192
763;787;570;671;1213
766;1141;600;1050;812
591;1100;547;973;1196
763;770;563;774;1221
779;1169;501;968;816
731;1166;535;990;1191
