ed25519,P-256,,ed25519,X25519,,ed25519,p256_mlkem512,,ed25519,x25519_mlkem512,,ed25519,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
1901,"2,02","941,09",1884,"1,69","1114,79",821,"2,51","327,09",1438,"1,73","831,21",1949,"1,84","1059,24"
1807,"2,32","778,88",2046,"1,80","1136,67",1215,"3,75","324,00",1681,"2,07","812,08",1351,"1,33","1015,79"
1761,"1,89","931,75",1657,"1,83","905,46",1223,"3,70","330,54",1818,"2,26","804,42",1884,"2,14","880,37"
1734,"2,03","854,19",1885,"2,07","910,63",829,"2,51","330,28",1822,"2,26","806,19",2015,"1,90","1060,53"
1861,"2,17","857,60",2029,"1,86","1090,86",1212,"3,74","324,06",1225,"1,52","805,92",1736,"1,64","1058,54"
1922,"2,02","951,49",1895,"1,72","1101,74",1237,"3,70","334,32",1809,"2,29","789,96",2011,"1,92","1047,40"
1722,"2,14","804,67",1887,"1,67","1129,94",887,"2,43","365,02",1802,"2,29","786,90",2018,"1,92","1051,04"
1798,"2,32","775,00",2033,"1,86","1093,01",1199,"3,70","324,05",1227,"1,49","823,49",1873,"1,82","1029,12"
1809,"2,11","857,35",2033,"1,85","1098,92",1205,"3,69","326,56",1813,"2,27","798,68",1875,"1,73","1083,82"
1761,"2,19","804,11",1315,"1,40","939,29",1118,"3,08","362,99",1777,"2,34","759,40",1882,"2,17","867,28"
1916,"2,09","916,75",1911,"2,03","941,38",1206,"3,67","328,61",1239,"1,50","826,00",1866,"2,19","852,05"
1785,"2,13","838,03",2006,"1,83","1096,17",1206,"3,72","324,19",1821,"2,27","802,20",1352,"1,28","1056,25"
1870,"2,03","921,18",1374,"1,23","1117,07",1115,"3,49","319,48",1831,"2,28","803,07",2013,"1,88","1070,74"
1785,"2,32","769,40",2039,"1,82","1120,33",1100,"3,45","318,84",1424,"1,75","813,71",1886,"2,14","881,31"
1709,"2,12","806,13",2024,"1,88","1076,60",1325,"3,55","373,24",1814,"2,15","843,72",1301,"1,40","929,29"
1793,"2,29","782,97",1369,"1,23","1113,01",1323,"3,57","370,59",1830,"2,25","813,33",1904,"2,11","902,37"
1944,"2,02","962,38",2025,"1,89","1071,43",886,"2,40","369,17",1757,"2,10","836,67",1899,"2,13","891,55"
1675,"2,13","786,38",2025,"1,88","1077,13",1187,"3,75","316,53",1843,"2,22","830,18",1258,"1,42","885,92"
1684,"2,14","786,92",1592,"1,43","1113,29",1184,"3,73","317,43",1857,"2,20","844,09",1891,"2,11","896,21"
1833,"2,26","811,06",1915,"2,01","952,74",785,"2,52","311,51",1740,"1,98","878,79",2017,"1,86","1084,41"
1832,"2,24","817,86",1906,"2,03","938,92",1192,"3,72","320,43",1627,"2,12","767,45",1481,"1,71","866,08"
1214,"1,49","814,77",1928,"1,73","1114,45",1190,"3,69","322,49",1788,"2,31","774,03",1804,"2,16","835,19"
1927,"2,04","944,61",2034,"1,83","1111,48",786,"2,57","305,84",1795,"2,28","787,28",1866,"2,14","871,96"
1834,"2,26","811,50",2029,"1,81","1120,99",1221,"3,70","330,00",1184,"1,65","717,58",1784,"2,04","874,51"
1215,"1,49","815,44",1904,"1,70","1120,00",1226,"3,69","332,25",1750,"2,35","744,68",2012,"1,89","1064,55"
1804,"2,27","794,71",1778,"1,92","926,04",927,"2,94","315,31",1761,"2,34","752,56",1890,"2,12","891,51"
1824,"2,29","796,51",2032,"1,85","1098,38",1180,"3,66","322,40",1202,"1,52","790,79",1788,"2,09","855,50"
1294,"1,35","958,52",2043,"1,81","1128,73",1253,"3,65","343,29",1865,"2,16","863,43",1741,"1,95","892,82"
1900,"2,12","896,23",1366,"1,26","1084,13",1163,"3,49","333,24",1852,"2,22","834,23",2013,"1,93","1043,01"
1937,"2,01","963,68",2023,"1,89","1070,37",1236,"3,64","339,56",1244,"1,49","834,90",2021,"1,92","1052,60"
1518,"1,59","954,72",2041,"1,81","1127,62",1220,"3,75","325,33",1744,"2,42","720,66",1365,"1,27","1074,80"
1905,"2,00","952,50",1379,"1,23","1121,14",1180,"3,36","351,19",1766,"2,29","771,18",2028,"1,91","1061,78"
1942,"2,05","947,32",2035,"1,85","1100,00",1163,"3,35","347,16",1426,"1,63","874,85",2022,"1,89","1069,84"
1738,"2,15","808,37",1925,"2,05","939,02",1254,"3,69","339,84",1708,"2,34","729,91",1366,"1,28","1067,19"
1867,"2,17","860,37",1374,"1,22","1126,23",1245,"3,65","341,10",1792,"2,24","800,00",2024,"1,90","1065,26"
1793,"2,31","776,19",2040,"1,82","1120,88",849,"2,48","342,34",1772,"2,00","886,00",2023,"1,92","1053,65"
1672,"2,16","774,07",2024,"1,85","1094,05",1258,"3,65","344,66",1747,"2,32","753,02",1368,"1,28","1068,75"
1649,"2,12","777,83",1593,"1,44","1106,25",1254,"3,65","343,56",1782,"2,31","771,43",2023,"1,92","1053,65"
1947,"2,03","959,11",1904,"2,04","933,33",837,"2,46","340,24",1655,"2,16","766,20",2016,"1,90","1061,05"
1946,"2,03","958,62",1923,"2,02","951,98",1231,"3,68","334,51",1604,"2,24","716,07",1496,"1,65","906,67"
1298,"1,39","933,81",1928,"1,72","1120,93",1243,"3,69","336,86",1867,"2,11","884,83",1986,"1,87","1062,03"
1947,"2,01","968,66",1934,"2,04","948,04",849,"2,45","346,53",1743,"2,36","738,56",2017,"1,91","1056,02"
1814,"2,22","817,12",2033,"1,85","1098,92",1245,"3,72","334,68",1184,"1,61","735,40",1920,"1,83","1049,18"
1232,"1,57","784,71",1903,"1,69","1126,04",1235,"3,71","332,88",1760,"2,33","755,36",2023,"1,88","1076,06"
1848,"2,25","821,33",1885,"1,68","1122,02",978,"2,86","341,96",1773,"2,34","757,69",2014,"1,97","1022,34"
1814,"2,34","775,21",2040,"1,80","1133,33",1247,"3,58","348,32",1171,"1,62","722,84",1752,"1,99","880,40"
1197,"1,56","767,31",1932,"2,05","942,44",1272,"3,61","352,35",1776,"2,33","762,23",1765,"1,97","895,94"
1844,"2,30","801,74",1289,"1,36","947,79",1194,"3,46","345,09",1779,"2,33","763,52",1879,"2,14","878,04"
1814,"2,29","792,14",2022,"1,85","1092,97",1269,"3,65","347,67",1231,"1,43","860,84",1913,"2,14","893,93"
1410,"1,79","787,71",2031,"1,87","1086,10",1246,"3,66","340,44",1758,"2,36","744,92",1368,"1,26","1085,71"
