secp521r1,P-521,,secp521r1,p521_mlkem1024,,secp521r1,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec
420,"5,50","76,36",323,"4,84","66,74",823,"4,70","175,11"
269,"3,70","72,70",302,"4,76","63,45",736,"4,28","171,96"
392,"5,55","70,63",300,"4,82","62,24",818,"5,00","163,60"
402,"5,54","72,56",348,"5,21","66,79",829,"4,97","166,80"
268,"3,69","72,63",325,"5,23","62,14",768,"4,68","164,10"
392,"5,60","70,00",311,"4,93","63,08",788,"4,51","174,72"
426,"5,54","76,90",320,"5,24","61,07",859,"4,86","176,75"
367,"4,80","76,46",320,"5,12","62,50",844,"4,85","174,02"
383,"5,51","69,51",337,"4,99","67,54",577,"3,26","176,99"
393,"5,60","70,18",351,"5,18","67,76",864,"4,97","173,84"
400,"5,15","77,67",334,"5,08","65,75",851,"4,89","174,03"
389,"5,06","76,88",316,"5,08","62,20",573,"3,24","176,85"
423,"5,55","76,22",324,"5,23","61,95",809,"5,03","160,83"
399,"5,60","71,25",313,"5,02","62,35",856,"4,91","174,34"
265,"3,71","71,43",324,"5,15","62,91",585,"3,31","176,74"
392,"5,49","71,40",347,"5,15","67,38",848,"4,79","177,04"
401,"5,57","71,99",309,"4,98","62,05",852,"4,91","173,52"
272,"3,71","73,32",299,"4,74","63,08",640,"4,01","159,60"
403,"5,58","72,22",324,"5,20","62,31",817,"4,75","172,00"
396,"5,59","70,84",325,"5,18","62,74",847,"4,81","176,09"
259,"3,83","67,62",222,"3,52","63,07",774,"4,80","161,25"
398,"5,55","71,71",324,"5,14","63,04",816,"4,91","166,19"
429,"5,53","77,58",326,"5,18","62,93",860,"4,90","175,51"
306,"4,42","69,23",232,"3,48","66,67",810,"4,64","174,57"
385,"5,36","71,83",341,"5,19","65,70",769,"4,47","172,04"
395,"5,58","70,79",348,"5,17","67,31",836,"4,89","170,96"
369,"5,34","69,10",220,"3,50","62,86",858,"4,92","174,39"
397,"5,50","72,18",325,"5,16","62,98",582,"3,29","176,90"
394,"5,54","71,12",332,"5,18","64,09",847,"4,96","170,77"
364,"5,19","70,13",263,"4,02","65,42",854,"4,90","174,29"
356,"5,13","69,40",321,"5,10","62,94",572,"3,26","175,46"
393,"5,52","71,20",335,"5,20","64,42",866,"4,95","174,95"
391,"5,57","70,20",332,"4,95","67,07",816,"5,03","162,23"
264,"3,72","70,97",329,"5,11","64,38",579,"3,24","178,70"
392,"5,54","70,76",343,"5,19","66,09",846,"4,83","175,16"
395,"5,53","71,43",315,"4,87","64,68",847,"4,89","173,21"
269,"3,77","71,35",312,"4,75","65,68",662,"3,94","168,02"
390,"5,53","70,52",333,"5,24","63,55",826,"4,75","173,89"
393,"5,53","71,07",329,"5,25","62,67",847,"4,89","173,21"
271,"3,71","73,05",227,"3,43","66,18",789,"4,73","166,81"
397,"5,51","72,05",333,"5,22","63,79",856,"4,77","179,45"
389,"5,59","69,59",346,"5,16","67,05",845,"4,77","177,15"
318,"4,38","72,60",221,"3,50","63,14",794,"4,55","174,51"
416,"5,42","76,75",328,"5,25","62,48",776,"4,43","175,17"
394,"5,53","71,25",346,"5,15","67,18",852,"4,89","174,23"
375,"5,21","71,98",231,"3,48","66,38",859,"4,80","178,96"
424,"5,45","77,80",329,"5,25","62,67",591,"3,30","179,09"
415,"5,50","75,45",329,"5,25","62,67",843,"4,85","173,81"
401,"5,18","77,41",270,"4,07","66,34",842,"4,96","169,76"
389,"5,09","76,42",322,"5,10","63,14",576,"3,30","174,55"
