secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
751,"4,68","160,47",1107,"3,69","300,00",355,"2,79","127,24",846,"3,75","225,60",950,"2,80","339,29"
700,"4,74","147,68",1201,"3,97","302,52",596,"4,77","124,95",919,"3,99","230,33",1287,"3,76","342,29"
468,"3,25","144,00",1007,"3,36","299,70",603,"4,71","128,03",979,"4,30","227,67",1290,"3,80","339,47"
761,"4,77","159,54",1098,"3,62","303,31",416,"3,34","124,55",979,"4,27","229,27",1123,"3,80","295,53"
773,"4,75","162,74",1199,"3,96","302,78",575,"4,67","123,13",936,"4,03","232,26",1155,"3,36","343,75"
515,"3,21","160,44",1181,"3,97","297,48",606,"4,76","127,31",1047,"4,13","253,51",1297,"3,78","343,12"
705,"4,78","147,49",803,"2,69","298,51",527,"4,58","115,07",972,"4,23","229,79",1271,"3,80","334,47"
705,"4,80","146,88",1193,"3,99","299,00",596,"4,73","126,00",938,"4,19","223,87",868,"2,59","335,14"
509,"3,14","162,10",1174,"4,04","290,59",601,"4,72","127,33",958,"4,31","222,27",1206,"3,98","303,02"
766,"4,73","161,95",752,"2,75","273,45",515,"4,59","112,20",937,"4,21","222,57",1182,"4,01","294,76"
774,"4,71","164,33",1100,"4,14","265,70",547,"4,35","125,75",971,"4,19","231,74",818,"2,64","309,85"
661,"4,08","162,01",1090,"4,15","262,65",593,"4,71","125,90",1059,"4,17","253,96",1193,"3,95","302,03"
757,"4,71","160,72",747,"2,76","270,65",605,"4,73","127,91",1006,"3,85","261,30",1275,"3,78","337,30"
711,"4,74","150,00",1108,"4,06","272,91",408,"3,19","127,90",1046,"4,08","256,37",861,"2,50","344,40"
676,"4,46","151,57",1177,"3,97","296,47",602,"4,74","127,00",1051,"4,07","258,23",1265,"3,81","332,02"
691,"4,37","158,12",913,"3,09","295,47",603,"4,74","127,22",989,"3,80","260,26",1259,"3,75","335,73"
707,"4,77","148,22",1153,"3,88","297,16",402,"3,23","124,46",966,"3,91","247,06",960,"3,07","312,70"
718,"4,71","152,44",1103,"4,17","264,51",600,"4,72","127,12",1047,"4,11","254,74",1160,"3,88","298,97"
507,"3,23","156,97",1042,"3,92","265,82",608,"4,76","127,73",967,"4,28","225,93",1174,"4,03","291,32"
764,"4,69","162,90",1175,"3,88","302,84",400,"3,21","124,61",695,"2,71","256,46",1130,"3,78","298,94"
770,"4,72","163,14",1164,"3,96","293,94",604,"4,69","128,78",970,"4,29","226,11",1265,"3,62","349,45"
516,"3,22","160,25",1020,"3,92","260,20",602,"4,73","127,27",998,"4,26","234,27",1203,"3,89","309,25"
765,"4,78","160,04",1012,"3,79","267,02",466,"3,76","123,94",701,"2,76","253,99",1117,"3,78","295,50"
765,"4,75","161,05",1094,"4,15","263,61",588,"4,65","126,45",1040,"4,07","255,53",1098,"3,65","300,82"
500,"3,24","154,32",1113,"4,07","273,46",605,"4,76","127,10",973,"4,34","224,19",1189,"4,01","296,51"
699,"4,81","145,32",794,"2,65","299,62",566,"4,53","124,94",704,"2,73","257,88",1202,"3,96","303,54"
769,"4,71","163,27",1140,"3,90","292,31",602,"4,70","128,09",979,"4,33","226,10",815,"2,66","306,39"
559,"3,82","146,34",1160,"3,95","293,67",606,"4,75","127,58",975,"4,34","224,65",1200,"3,93","305,34"
695,"4,72","147,25",793,"2,66","298,12",561,"4,46","125,78",826,"3,18","259,75",1206,"3,94","306,09"
764,"4,75","160,84",1163,"3,97","292,95",550,"4,34","126,73",995,"4,07","244,47",859,"2,52","340,87"
724,"4,53","159,82",1169,"3,88","301,29",599,"4,75","126,11",969,"4,28","226,40",1197,"3,91","306,14"
762,"4,72","161,44",750,"2,73","274,73",587,"4,89","120,04",987,"3,85","256,36",1188,"3,98","298,49"
767,"4,73","162,16",1152,"3,82","301,57",407,"3,20","127,19",971,"4,26","227,93",805,"2,68","300,37"
651,"4,54","143,39",1177,"3,95","297,97",603,"4,72","127,75",992,"4,27","232,32",1196,"3,98","300,50"
640,"4,39","145,79",910,"3,03","300,33",601,"4,76","126,26",986,"3,79","260,16",1267,"3,73","339,68"
714,"4,84","147,52",1144,"3,86","296,37",371,"3,25","114,15",885,"4,00","221,25",1009,"2,92","345,55"
759,"4,75","159,79",1122,"4,14","271,01",605,"4,74","127,64",1021,"4,22","241,94",1244,"3,72","334,41"
