rsassa-pss-256 - X25519;rsassa-pss-256 - P-256;rsassa-pss-256 - mlkem512;ed25519 - X25519;ed25519 - P-256;ed25519 - mlkem512;falcon512 - X25519;falcon512 - P-256;falcon512 - mlkem512;sphincssha2128fsimple - X25519;sphincssha2128fsimple - P-256;sphincssha2128fsimple - mlkem512;sphincssha2128ssimple - X25519;sphincssha2128ssimple - P-256;sphincssha2128ssimple - mlkem512
1206,17;1029,26;1164,34;1146,72;966,00;1110,90;1283,56;1087,80;1217,47;251,91;239,37;250,79;366,67;430,00;600,00
1147,90;1041,76;1107,72;1152,83;951,73;1094,94;1239,22;1093,22;1178,65;247,31;248,09;257,36;381,82;372,73;400,00
1111,02;1007,55;1169,84;1133,13;928,36;1101,92;1262,74;1027,65;1194,07;256,78;245,80;246,59;455,56;381,82;338,46
1163,97;1047,84;1163,09;1099,72;970,59;1145,10;1291,46;1116,33;1205,93;247,86;244,13;244,02;430,00;390,91;372,73
1067,61;992,42;1110,37;1114,50;966,62;1114,99;1303,56;1095,36;1198,59;253,49;244,58;262,15;372,73;363,64;430,00
1092,09;1075,59;1222,09;1125,88;949,18;1086,65;1246,22;1068,37;1210,73;256,33;236,67;256,73;537,50;372,73;390,91
1169,39;1050,00;1166,15;1147,03;992,53;1097,86;1285,19;1079,26;1212,36;250,00;239,10;249,03;390,91;430,00;372,73
1094,39;1032,36;1109,09;1136,09;953,52;1117,76;1264,08;1070,38;1249,63;260,24;243,41;258,57;400,00;400,00;390,91
1036,76;1051,61;1153,60;1119,35;955,27;1132,92;1312,87;1077,86;1224,52;258,65;238,32;263,31;440,00;400,00;420,00
1182,04;1029,88;1191,24;1128,35;938,90;1122,53;1288,45;1065,36;1229,94;249,79;228,78;251,72;455,56;420,00;444,44
1161,04;1011,87;1180,70;1146,30;960,23;1112,88;1275,24;1052,48;1206,21;263,89;231,32;249,81;433,33;400,00;390,91
1157,68;1022,10;1143,48;1117,31;971,62;1053,01;1291,40;1072,64;1213,45;247,08;248,48;253,96;571,43;372,73;430,00
1139,44;1028,26;1130,62;1063,12;1001,25;1082,20;1271,32;1067,88;1194,67;244,89;235,71;255,47;390,91;390,91;400,00
1085,42;971,78;1264,60;1143,86;916,84;1104,48;1261,08;1026,29;1235,32;251,34;246,07;251,98;381,82;381,82;400,00
1123,73;1020,80;1135,00;1103,43;974,47;1011,82;1279,28;1063,43;1187,63;259,07;240,22;261,70;375,00;350,00;466,67
1109,20;1008,70;1195,18;1115,24;997,82;1067,56;1277,51;1091,84;1246,33;237,50;231,14;256,18;466,67;420,00;390,00
1163,75;1054,65;1192,54;1118,18;959,78;1077,89;1286,91;1076,63;1229,64;266,53;238,68;261,60;430,00;341,67;466,67
1047,43;1017,52;1143,25;1129,84;982,28;1079,48;1244,15;1075,80;1181,69;255,38;237,02;256,71;466,67;466,67;390,91
1153,66;976,72;1155,73;1102,12;966,31;1088,11;1257,09;1062,73;1222,33;237,64;247,29;253,91;409,09;430,00;358,33
1135,43;1060,66;1190,17;1154,33;974,11;1095,06;1311,51;1081,91;1222,74;249,61;243,14;253,70;466,67;372,73;477,78
1098,84;1016,43;1136,25;1120,47;965,07;1065,70;1248,46;1064,63;1154,89;260,47;237,41;256,75;414,29;410,00;430,00
1191,74;996,76;1148,81;1098,40;927,73;1112,38;1262,61;1037,10;1212,45;249,75;231,64;247,06;550,00;430,00;372,73
1143,67;1062,89;1154,39;1147,50;993,53;1084,06;1319,41;1114,45;1190,74;252,57;242,00;262,60;390,91;400,00;390,91
1101,73;1067,16;1178,07;1118,03;972,96;1081,66;1283,30;1090,44;1208,03;261,33;236,51;251,35;425,00;400,00;466,67
1202,14;975,84;1172,65;1144,89;950,98;1106,59;1281,74;1071,62;1201,14;246,69;244,06;253,80;420,00;358,33;390,00
1141,20;1058,43;1191,13;1167,64;969,81;1105,81;1322,09;1076,97;1195,71;262,80;238,29;244,62;390,91;366,67;466,67
1007,28;1029,82;1166,47;1136,29;991,85;1100,89;1301,17;1079,92;1189,05;260,94;245,81;265,43;410,00;400,00;430,00
1203,81;989,69;1130,43;1130,40;949,04;1079,32;1283,24;1092,18;1220,85;247,11;241,04;259,30;430,00;390,91;390,00
1241,38;1027,31;1142,58;1135,58;948,36;1094,99;1272,27;1030,00;1185,23;257,83;241,67;238,43;477,78;358,33;358,33
1101,67;980,07;1167,25;1111,89;968,09;1093,35;1247,90;1113,65;1261,21;253,52;247,51;246,56;410,00;333,33;390,91
1087,25;993,55;1139,67;1133,63;991,72;1061,38;1307,31;1119,62;1199,05;243,23;246,18;263,45;430,00;430,00;444,44
1196,33;1018,18;1144,23;1103,66;995,00;1109,80;1291,07;1088,37;1234,09;248,54;227,54;245,24;390,91;381,82;440,00
1168,26;983,27;1122,60;1080,30;954,77;1053,31;1264,65;1051,91;1251,01;257,14;240,22;241,73;410,00;350,00;420,00
1085,29;990,25;1124,90;1163,30;978,17;1079,03;1265,87;1101,53;1260,54;259,14;248,12;264,58;440,00;440,00;422,22
1182,23;1029,12;1159,30;1154,47;982,60;1089,18;1248,01;1096,77;1185,31;232,78;232,10;249,59;358,33;420,00;420,00
1117,51;1036,30;1163,96;1089,39;976,92;1040,08;1281,41;1070,86;1219,55;254,41;247,32;240,56;444,44;390,91;350,00
1204,35;1012,41;1156,40;1122,93;960,61;1058,03;1220,60;1060,26;1244,69;252,29;235,96;259,66;410,00;420,00;350,00
1175,73;1015,08;1131,37;1137,18;983,97;1074,60;1280,16;1076,58;1242,83;252,94;233,33;263,06;628,57;410,00;466,67
1070,31;1049,44;1162,45;1146,90;993,85;1088,53;1274,07;1075,15;1229,76;256,69;239,37;257,83;381,82;390,91;400,00
1120,71;1016,67;1175,90;1119,94;988,65;1117,11;1231,70;1073,09;1217,17;254,02;244,78;248,62;420,00;390,91;410,00
1212,61;1013,36;1110,53;1134,92;935,77;1039,97;1268,51;1076,60;1237,71;246,31;234,46;247,43;400,00;400,00;430,00
1146,50;1050,19;1168,18;1166,62;985,23;1069,53;1272,37;1120,11;1250,48;251,21;244,90;234,98;381,82;372,73;430,00
1195,71;981,85;1099,18;1136,94;962,48;1051,36;1274,71;1066,79;1217,09;254,44;246,28;256,80;420,00;358,33;410,00
1115,79;1014,29;1195,78;1090,14;970,54;1061,11;1218,50;1006,92;1221,29;257,50;238,75;250,00;430,00;488,89;466,67
1217,84;1006,27;1148,64;1104,26;1001,48;1105,92;1280,94;1130,90;1206,34;254,30;234,81;254,07;410,00;444,44;477,78
1160,62;998,89;1111,93;1104,27;953,80;1099,25;1308,18;1102,50;1230,15;250,00;242,54;257,87;477,78;440,00;372,73
1057,94;974,52;1103,45;1111,13;946,54;1083,54;1253,60;1085,55;1246,78;252,92;239,48;264,63;390,91;420,00;390,91
1150,40;1013,18;1196,03;1060,57;937,79;1109,59;1274,61;1055,56;1231,71;257,02;231,00;267,34;455,56;420,00;390,91
1099,58;985,36;1218,18;1116,99;979,22;1078,83;1281,89;1073,33;1213,68;250,00;249,72;251,95;440,00;390,91;422,22
1079,77;970,32;1159,36;1166,67;971,10;1096,31;1275,22;1070,00;1251,16;234,94;240,96;264,62;410,00;341,67;366,67
1193,75;1025,41;1165,87;1075,57;973,12;1086,27;1245,21;1097,78;1246,68;248,86;231,60;258,68;500,00;420,00;400,00
1033,60;1032,10;1098,28;1116,23;934,04;1127,93;1228,82;1056,67;1182,90;259,45;242,54;258,37;400,00;400,00;433,33
1056,12;1035,04;1131,66;1125,69;931,59;1086,43;1308,21;1101,94;1248,67;247,29;245,83;255,10;420,00;400,00;410,00
1203,67;1053,63;1164,84;1189,44;929,07;1108,94;1291,70;1070,06;1246,98;251,45;235,06;245,78;433,33;410,00;430,00
1189,08;1011,44;1173,94;1028,73;967,90;1033,00;1301,60;1063,22;1203,57;256,15;236,79;270,20;455,56;550,00;390,91
1122,89;1011,96;1126,42;1055,49;921,48;1136,00;1219,09;1088,66;1241,00;250,58;248,06;248,57;390,91;345,45;444,44
