rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
1629,"6,07","268,37",1371,"5,49","249,73",1637,"5,95","275,13",4816,"6,00","802,67",3634,"4,77","761,84",4753,"6,01","790,85",2700,"4,01","673,32",3675,"5,98","614,55",3954,"6,06","652,48",291,"5,77","50,43",322,"6,45","49,92",303,"6,16","49,19",22,"6,25","3,52",21,"5,93","3,54",20,"5,68","3,52"
1500,"5,69","263,62",1496,"6,00","249,33",1063,"4,00","265,75",4977,"5,88","846,43",4341,"5,93","732,04",4569,"5,67","805,82",3867,"6,03","641,29",2474,"4,10","603,41",3847,"5,70","674,91",324,"6,39","50,70",217,"4,33","50,12",313,"6,33","49,45",21,"6,05","3,47",19,"5,48","3,47",20,"5,87","3,41"
1594,"6,00","265,67",1482,"6,04","245,36",1572,"5,97","263,32",3367,"4,02","837,56",4224,"6,20","681,29",4590,"5,62","816,73",3975,"5,98","664,72",3567,"6,02","592,52",3798,"6,00","633,00",311,"6,33","49,13",303,"6,32","47,94",209,"3,98","52,51",20,"5,77","3,47",20,"5,69","3,51",20,"5,95","3,36"
1581,"6,16","256,66",1011,"4,05","249,63",1629,"5,93","274,70",4753,"6,05","785,62",4271,"5,85","730,09",4917,"5,99","820,87",2671,"4,04","661,14",3694,"5,98","617,73",3879,"5,94","653,03",211,"4,23","49,88",320,"6,36","50,31",312,"6,24","50,00",21,"6,09","3,45",21,"6,09","3,45",22,"6,30","3,49"
1513,"5,55","272,61",1484,"5,94","249,83",1057,"3,96","266,92",4952,"6,10","811,80",4367,"6,00","727,83",4909,"6,14","799,51",3887,"6,07","640,36",2895,"4,82","600,62",3689,"5,58","661,11",321,"6,40","50,16",216,"4,18","51,67",315,"6,27","50,24",22,"6,26","3,51",21,"5,89","3,57",19,"5,57","3,41"
1423,"5,52","257,79",1454,"5,98","243,14",1550,"5,96","260,07",3903,"4,73","825,16",4362,"6,18","705,83",3360,"4,23","794,33",3945,"6,09","647,78",3338,"5,83","572,56",3517,"5,51","638,29",313,"6,27","49,92",312,"6,37","48,98",242,"4,97","48,69",19,"5,45","3,49",20,"5,75","3,48",22,"6,33","3,48"
1645,"5,87","280,24",992,"4,03","246,15",1629,"5,91","275,63",4790,"5,84","820,21",4059,"5,81","698,62",4990,"6,20","804,84",2699,"4,00","674,75",3660,"6,07","602,97",3908,"6,04","647,02",217,"4,21","51,54",311,"6,40","48,59",305,"6,18","49,35",21,"6,00","3,50",22,"6,33","3,48",21,"6,08","3,45"
1574,"5,94","264,98",1477,"6,10","242,13",1012,"4,07","248,65",4826,"6,05","797,69",4007,"5,59","716,82",4941,"6,14","804,72",3922,"5,90","664,75",3486,"5,75","606,26",3845,"6,10","630,33",315,"6,43","48,99",218,"4,30","50,70",313,"6,38","49,06",22,"6,12","3,59",20,"5,89","3,40",20,"5,82","3,44"
1051,"4,04","260,15",1471,"5,89","249,75",1583,"5,97","265,16",4576,"5,84","783,56",4323,"5,97","724,12",3383,"4,14","817,15",3969,"6,02","659,30",3538,"5,95","594,62",2550,"4,02","634,33",318,"6,33","50,24",322,"6,40","50,31",296,"5,87","50,43",21,"6,10","3,44",21,"6,00","3,50",21,"6,08","3,45"
1645,"5,91","278,34",1035,"4,08","253,68",1558,"5,98","260,54",4946,"6,02","821,59",4422,"6,04","732,12",4949,"6,11","809,98",3101,"4,74","654,22",3741,"6,09","614,29",3872,"6,00","645,33",216,"4,31","50,12",309,"6,35","48,66",313,"6,28","49,84",20,"5,63","3,55",21,"5,99","3,51",22,"6,18","3,56"
