secp384r1 - P-384;secp384r1 - x448;secp384r1 - p384_mlkem768;secp384r1 - x448_mlkem768;secp384r1 - mlkem768
901;1234;663;1548;1325
1024;1871;598;1606;2209
668;2008;670;1271;2330
984;1853;687;1484;1684
985;1932;699;1591;2247
690;2005;471;1574;2192
955;1779;675;1568;2212
1018;1835;698;1628;2281
939;2014;466;1505;2312
977;1886;677;1570;2223
1019;1295;722;1644;2007
913;2017;488;1594;2402
905;1919;744;1649;2339
991;1316;706;1651;1518
996;2022;544;1549;2316
680;1865;677;1477;2219
994;1352;693;1553;1607
991;2012;674;1573;2352
669;1932;699;1060;2245
995;1542;669;1565;1445
1002;1858;655;1573;2308
654;2046;662;1104;2289
998;1836;717;1594;1710
1006;1846;709;1599;2297
765;2055;475;1087;2340
990;1797;708;1574;2158
1011;1769;705;1590;2246
952;2062;470;1272;2342
992;1966;696;1547;2205
1014;1250;731;1599;2052
944;2043;487;1503;2254
910;1971;747;1577;2310
1001;1271;708;1609;1518
1000;2009;576;1479;2224
668;1938;716;1454;2330
995;1367;720;1585;1588
1009;2013;670;1549;2276
665;1913;742;1109;2297
982;1587;722;1572;1592
1005;1942;685;1573;2188
651;1952;647;1097;2305
997;1936;734;1556;1853
1003;1901;700;1557;2163
749;1983;503;1092;2271
1001;1811;714;1567;2238
994;1817;699;1591;2181
942;1947;480;1274;2333
999;1979;737;1579;2130
1020;1353;706;1606;2102
940;1952;479;1576;2339
921;1981;731;1547;2309
1009;1331;695;1581;1561
995;1967;571;1491;2361
643;1977;709;1507;2286
1017;1360;709;1668;1581
1003;1927;688;1546;2353
658;1986;726;1120;2251
1006;1566;709;1666;1462
998;1885;680;1637;2190
661;2033;644;1085;2131
999;1870;718;1627;1822
1024;1896;725;1621;2150
778;2026;492;1083;2294
1001;1821;710;1588;2170
1022;1806;738;1638;2205
925;2012;462;1310;2342
1005;1910;722;1576;2134
1003;1317;727;1567;2113
945;2025;460;1584;2339
906;1976;729;1581;2283
1026;1256;724;1694;1569
994;2024;516;1582;2357
670;1894;727;1492;2292
1000;1343;701;1610;1580
978;2013;693;1650;2292
666;1903;739;1138;2238
1007;1573;701;1576;1624
992;1913;661;1651;2305
670;1992;655;1118;2227
1001;1902;735;1574;1880
1021;1973;737;1657;2182
769;1975;478;1073;2305
995;1875;729;1580;2295
1010;1804;724;1668;2244
946;2019;476;1311;2319
1004;2024;705;1523;2224
997;1328;710;1654;1992
923;1978;462;1580;2289
925;2004;706;1560;2377
1012;1305;693;1661;1508
1000;2045;539;1497;2308
672;2013;678;1536;2398
1001;1285;698;1697;1543
994;2046;661;1555;2353
670;2043;694;1109;2333
970;1486;683;1677;1618
1003;1937;665;1597;2272
645;2011;668;1126;2318
916;1852;696;1606;1838
982;1995;690;1578;2248
