secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
901,"6,07","148,43",1234,"4,38","281,74",663,"5,65","117,35",1548,"6,50","238,15",1325,"4,39","301,82"
1024,"6,45","158,76",1871,"6,90","271,16",598,"5,14","116,34",1606,"6,68","240,42",2209,"7,14","309,38"
668,"4,34","153,92",2008,"6,99","287,27",670,"5,58","120,07",1271,"5,46","232,78",2330,"7,16","325,42"
984,"6,51","151,15",1853,"6,65","278,65",687,"6,02","114,12",1484,"6,39","232,24",1684,"5,08","331,50"
985,"6,43","153,19",1932,"6,92","279,19",699,"6,03","115,92",1591,"6,67","238,53",2247,"7,08","317,37"
690,"4,43","155,76",2005,"6,95","288,49",471,"4,11","114,60",1574,"6,61","238,12",2192,"7,09","309,17"
955,"6,46","147,83",1779,"6,46","275,39",675,"5,99","112,69",1568,"6,43","243,86",2212,"6,93","319,19"
1018,"6,59","154,48",1835,"6,46","284,06",698,"6,21","112,40",1628,"6,77","240,47",2281,"7,10","321,27"
939,"6,13","153,18",2014,"7,02","286,89",466,"3,95","117,97",1505,"6,46","232,97",2312,"7,15","323,36"
977,"6,57","148,71",1886,"7,04","267,90",677,"6,03","112,27",1570,"6,55","239,69",2223,"6,68","332,78"
1019,"6,47","157,50",1295,"4,69","276,12",722,"5,93","121,75",1644,"6,73","244,28",2007,"6,67","300,90"
913,"5,98","152,68",2017,"6,97","289,38",488,"4,14","117,87",1594,"6,49","245,61",2402,"7,21","333,15"
905,"6,05","149,59",1919,"6,96","275,72",744,"5,98","124,41",1649,"6,72","245,39",2339,"7,16","326,68"
991,"6,52","151,99",1316,"4,72","278,81",706,"6,05","116,69",1651,"6,79","243,15",1518,"4,81","315,59"
996,"6,54","152,29",2022,"7,03","287,62",544,"4,75","114,53",1549,"6,23","248,64",2316,"7,14","324,37"
680,"4,41","154,20",1865,"6,97","267,58",677,"6,02","112,46",1477,"6,21","237,84",2219,"7,11","312,10"
994,"6,48","153,40",1352,"4,74","285,23",693,"6,05","114,55",1553,"6,61","234,95",1607,"4,80","334,79"
991,"6,47","153,17",2012,"7,04","285,80",674,"5,82","115,81",1573,"6,67","235,83",2352,"7,22","325,76"
669,"4,35","153,79",1932,"7,03","274,82",699,"5,94","117,68",1060,"4,44","238,74",2245,"7,18","312,67"
995,"6,43","154,74",1542,"5,47","281,90",669,"6,13","109,14",1565,"6,60","237,12",1445,"4,79","301,67"
1002,"6,52","153,68",1858,"6,78","274,04",655,"5,73","114,31",1573,"6,76","232,69",2308,"7,19","321,00"
654,"4,47","146,31",2046,"6,95","294,39",662,"5,68","116,55",1104,"4,56","242,11",2289,"7,18","318,80"
998,"6,51","153,30",1836,"6,66","275,68",717,"6,09","117,73",1594,"6,67","238,98",1710,"5,59","305,90"
1006,"6,47","155,49",1846,"6,96","265,23",709,"6,04","117,38",1599,"6,71","238,30",2297,"7,01","327,67"
765,"5,12","149,41",2055,"6,98","294,41",475,"4,06","117,00",1087,"4,50","241,56",2340,"7,24","323,20"
990,"6,36","155,66",1797,"6,55","274,35",708,"6,06","116,83",1574,"6,70","234,93",2158,"6,89","313,21"
1011,"6,54","154,59",1769,"6,44","274,69",705,"6,03","116,92",1590,"6,71","236,96",2246,"7,03","319,49"
952,"6,18","154,05",2062,"7,03","293,31",470,"4,11","114,36",1272,"5,29","240,45",2342,"7,13","328,47"
992,"6,49","152,85",1966,"7,00","280,86",696,"6,03","115,42",1547,"6,55","236,18",2205,"6,73","327,64"
1014,"6,55","154,81",1250,"4,59","272,33",731,"6,04","121,03",1599,"6,64","240,81",2052,"6,64","309,04"
944,"6,09","155,01",2043,"7,03","290,61",487,"4,14","117,63",1503,"6,39","235,21",2254,"7,23","311,76"
910,"5,94","153,20",1971,"6,97","282,78",747,"6,06","123,27",1577,"6,79","232,25",2310,"7,17","322,18"
1001,"6,48","154,48",1271,"4,70","270,43",708,"6,06","116,83",1609,"6,70","240,15",1518,"4,89","310,43"
1000,"6,50","153,85",2009,"7,04","285,37",576,"4,73","121,78",1479,"6,36","232,55",2224,"7,13","311,92"
668,"4,36","153,21",1938,"7,04","275,28",716,"5,91","121,15",1454,"6,17","235,66",2330,"7,18","324,51"
995,"6,56","151,68",1367,"4,71","290,23",720,"6,02","119,60",1585,"6,73","235,51",1588,"4,82","329,46"
1009,"6,60","152,88",2013,"7,02","286,75",670,"5,76","116,32",1549,"6,72","230,51",2276,"7,19","316,55"
665,"4,39","151,48",1913,"7,01","272,90",742,"6,09","121,84",1109,"4,49","246,99",2297,"7,15","321,26"
982,"6,54","150,15",1587,"5,47","290,13",722,"6,09","118,56",1572,"6,73","233,58",1592,"4,82","330,29"
1005,"6,48","155,09",1942,"6,80","285,59",685,"5,66","121,02",1573,"6,73","233,73",2188,"7,19","304,31"
651,"4,33","150,35",1952,"7,00","278,86",647,"5,54","116,79",1097,"4,53","242,16",2305,"7,17","321,48"
997,"6,55","152,21",1936,"6,64","291,57",734,"6,12","119,93",1556,"6,74","230,86",1853,"5,67","326,81"
1003,"6,63","151,28",1901,"6,99","271,96",700,"6,05","115,70",1557,"6,78","229,65",2163,"7,04","307,24"
749,"5,07","147,73",1983,"7,00","283,29",503,"4,07","123,59",1092,"4,54","240,53",2271,"7,14","318,07"
1001,"6,42","155,92",1811,"6,59","274,81",714,"6,07","117,63",1567,"6,81","230,10",2238,"6,91","323,88"
994,"6,46","153,87",1817,"6,44","282,14",699,"6,09","114,78",1591,"6,66","238,89",2181,"7,08","308,05"
942,"6,26","150,48",1947,"6,90","282,17",480,"4,07","117,94",1274,"5,32","239,47",2333,"7,23","322,68"
999,"6,55","152,52",1979,"6,89","287,23",737,"6,09","121,02",1579,"6,60","239,24",2130,"6,75","315,56"
1020,"6,57","155,25",1353,"4,70","287,87",706,"6,07","116,31",1606,"6,80","236,18",2102,"6,57","319,94"
940,"6,05","155,37",1952,"6,95","280,86",479,"4,19","114,32",1576,"6,39","246,64",2339,"7,13","328,05"
921,"6,05","152,23",1981,"7,02","282,19",731,"6,12","119,44",1547,"6,65","232,63",2309,"7,21","320,25"
1009,"6,61","152,65",1331,"4,77","279,04",695,"6,14","113,19",1581,"6,75","234,22",1561,"4,79","325,89"
995,"6,51","152,84",1967,"7,00","281,00",571,"4,77","119,71",1491,"6,25","238,56",2361,"7,21","327,46"
643,"4,44","144,82",1977,"6,97","283,64",709,"5,91","119,97",1507,"6,21","242,67",2286,"7,14","320,17"
1017,"6,50","156,46",1360,"4,77","285,12",709,"6,06","117,00",1668,"6,80","245,29",1581,"4,84","326,65"
1003,"6,50","154,31",1927,"6,90","279,28",688,"5,76","119,44",1546,"6,66","232,13",2353,"7,24","325,00"
658,"4,42","148,87",1986,"7,05","281,70",726,"6,07","119,60",1120,"4,57","245,08",2251,"7,12","316,15"
1006,"6,47","155,49",1566,"5,47","286,29",709,"6,06","117,00",1666,"6,75","246,81",1462,"4,82","303,32"
998,"6,55","152,37",1885,"6,78","278,02",680,"5,72","118,88",1637,"6,82","240,03",2190,"7,21","303,74"
661,"4,38","150,91",2033,"7,07","287,55",644,"5,61","114,80",1085,"4,65","233,33",2131,"7,11","299,72"
999,"6,50","153,69",1870,"6,66","280,78",718,"6,08","118,09",1627,"6,80","239,26",1822,"5,64","323,05"
1024,"6,49","157,78",1896,"6,98","271,63",725,"6,09","119,05",1621,"6,72","241,22",2150,"6,90","311,59"
778,"5,09","152,85",2026,"7,05","287,38",492,"4,07","120,88",1083,"4,54","238,55",2294,"7,13","321,74"
1001,"6,43","155,68",1821,"6,43","283,20",710,"6,09","116,58",1588,"6,76","234,91",2170,"6,83","317,72"
1022,"6,47","157,96",1806,"6,36","283,96",738,"6,09","121,18",1638,"6,78","241,59",2205,"7,10","310,56"
925,"6,14","150,65",2012,"6,93","290,33",462,"4,19","110,26",1310,"5,38","243,49",2342,"7,24","323,48"
1005,"6,50","154,62",1910,"7,03","271,69",722,"6,16","117,21",1576,"6,59","239,15",2134,"6,74","316,62"
1003,"6,59","152,20",1317,"4,72","279,03",727,"6,11","118,99",1567,"6,63","236,35",2113,"6,47","326,58"
945,"6,08","155,43",2025,"7,05","287,23",460,"4,08","112,75",1584,"6,42","246,73",2339,"7,16","326,68"
906,"6,00","151,00",1976,"6,97","283,50",729,"6,09","119,70",1581,"6,68","236,68",2283,"7,11","321,10"
1026,"6,46","158,82",1256,"4,73","265,54",724,"6,16","117,53",1694,"6,74","251,34",1569,"4,87","322,18"
994,"6,59","150,83",2024,"7,03","287,91",516,"4,83","106,83",1582,"6,34","249,53",2357,"7,21","326,91"
670,"4,36","153,67",1894,"6,93","273,30",727,"5,99","121,37",1492,"6,21","240,26",2292,"7,13","321,46"
1000,"6,51","153,61",1343,"4,70","285,74",701,"6,16","113,80",1610,"6,74","238,87",1580,"4,91","321,79"
978,"6,58","148,63",2013,"6,97","288,81",693,"5,79","119,69",1650,"6,82","241,94",2292,"7,21","317,89"
666,"4,31","154,52",1903,"6,98","272,64",739,"6,11","120,95",1138,"4,57","249,02",2238,"7,15","313,01"
1007,"6,54","153,98",1573,"5,50","286,00",701,"6,08","115,30",1576,"6,71","234,87",1624,"4,87","333,47"
992,"6,55","151,45",1913,"6,92","276,45",661,"5,62","117,62",1651,"6,67","247,53",2305,"7,24","318,37"
670,"4,41","151,93",1992,"7,10","280,56",655,"5,61","116,76",1118,"4,62","241,99",2227,"7,07","314,99"
1001,"6,56","152,59",1902,"6,64","286,45",735,"6,01","122,30",1574,"6,80","231,47",1880,"5,61","335,12"
1021,"6,52","156,60",1973,"6,90","285,94",737,"6,09","121,02",1657,"6,85","241,90",2182,"6,99","312,16"
769,"5,11","150,49",1975,"7,08","278,95",478,"4,15","115,18",1073,"4,57","234,79",2305,"7,14","322,83"
995,"6,43","154,74",1875,"6,59","284,52",729,"6,07","120,10",1580,"6,76","233,73",2295,"6,83","336,02"
1010,"6,55","154,20",1804,"6,47","278,83",724,"6,11","118,49",1668,"6,80","245,29",2244,"7,12","315,17"
946,"6,22","152,09",2019,"7,09","284,77",476,"4,02","118,41",1311,"5,27","248,77",2319,"7,21","321,64"
1004,"6,49","154,70",2024,"6,99","289,56",705,"6,10","115,57",1523,"6,57","231,81",2224,"6,69","332,44"
997,"6,56","151,98",1328,"4,73","280,76",710,"6,08","116,78",1654,"6,72","246,13",1992,"6,47","307,88"
923,"6,01","153,58",1978,"6,98","283,38",462,"4,10","112,68",1580,"6,41","246,49",2289,"7,20","317,92"
925,"6,04","153,15",2004,"7,00","286,29",706,"6,05","116,69",1560,"6,68","233,53",2377,"7,14","332,91"
1012,"6,52","155,21",1305,"4,71","277,07",693,"6,10","113,61",1661,"6,71","247,54",1508,"4,79","314,82"
1000,"6,47","154,56",2045,"7,06","289,66",539,"4,70","114,68",1497,"6,33","236,49",2308,"7,21","320,11"
672,"4,41","152,38",2013,"7,05","285,53",678,"5,83","116,30",1536,"6,19","248,14",2398,"7,29","328,94"
1001,"6,56","152,59",1285,"4,73","271,67",698,"6,11","114,24",1697,"6,70","253,28",1543,"4,81","320,79"
994,"6,51","152,69",2046,"6,97","293,54",661,"5,76","114,76",1555,"6,84","227,34",2353,"7,17","328,17"
670,"4,43","151,24",2043,"6,99","292,27",694,"5,92","117,23",1109,"4,54","244,27",2333,"7,25","321,79"
970,"6,57","147,64",1486,"5,42","274,17",683,"6,23","109,63",1677,"6,76","248,08",1618,"4,84","334,30"
1003,"6,57","152,66",1937,"6,92","279,91",665,"5,64","117,91",1597,"6,77","235,89",2272,"7,09","320,45"
645,"4,42","145,93",2011,"7,01","286,88",668,"5,60","119,29",1126,"4,56","246,93",2318,"7,16","323,74"
916,"6,52","140,49",1852,"6,62","279,76",696,"6,10","114,10",1606,"6,82","235,48",1838,"5,72","321,33"
982,"6,28","156,37",1995,"7,04","283,38",690,"6,14","112,38",1578,"6,87","229,69",2248,"7,01","320,68"
