secp521r1,P-521,,secp521r1,p521_mlkem1024,,secp521r1,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec
443,"6,05","73,22",345,"5,45","63,30",710,"4,43","160,27"
404,"5,59","72,27",356,"5,97","59,63",1205,"7,14","168,77"
460,"6,36","72,33",301,"4,90","61,43",1219,"7,14","170,73"
473,"6,53","72,43",334,"5,59","59,75",841,"4,80","175,21"
445,"6,07","73,31",353,"5,95","59,33",1197,"7,12","168,12"
425,"5,90","72,03",355,"5,85","60,68",1200,"7,14","168,07"
474,"6,52","72,70",342,"5,56","61,51",836,"4,94","169,23"
466,"6,45","72,25",362,"5,87","61,67",1181,"6,98","169,20"
316,"4,36","72,48",351,"5,73","61,26",1203,"7,18","167,55"
473,"6,50","72,77",330,"5,70","57,89",1156,"6,84","169,01"
465,"6,47","71,87",361,"6,01","60,07",1202,"7,07","170,01"
317,"4,41","71,88",352,"5,75","61,22",1199,"7,20","166,53"
477,"6,48","73,61",339,"5,73","59,16",1169,"6,77","172,67"
468,"6,50","72,00",357,"5,98","59,70",1109,"6,57","168,80"
313,"4,40","71,14",335,"5,70","58,77",1194,"7,06","169,12"
472,"6,48","72,84",365,"5,88","62,07",1224,"7,22","169,53"
477,"6,52","73,16",349,"5,98","58,36",790,"4,82","163,90"
364,"5,16","70,54",339,"5,59","60,64",1196,"7,13","167,74"
463,"6,39","72,46",341,"5,36","63,62",1216,"7,18","169,36"
474,"6,45","73,49",363,"5,91","61,42",827,"4,81","171,93"
450,"6,23","72,23",372,"5,90","63,05",1184,"7,11","166,53"
469,"6,40","73,28",247,"3,90","63,33",1222,"7,12","171,63"
463,"6,55","70,69",360,"5,90","61,02",788,"4,85","162,47"
451,"6,11","73,81",372,"5,86","63,48",1219,"7,10","171,69"
425,"5,97","71,19",243,"3,99","60,90",1205,"7,12","169,24"
460,"6,47","71,10",346,"5,83","59,35",939,"5,71","164,45"
478,"6,56","72,87",367,"5,96","61,58",1179,"6,91","170,62"
313,"4,36","71,79",246,"4,00","61,50",1209,"7,15","169,09"
448,"6,53","68,61",352,"6,00","58,67",1155,"6,80","169,85"
475,"6,54","72,63",371,"5,88","63,10",1191,"7,06","168,70"
312,"4,40","70,91",292,"4,67","62,53",1187,"7,09","167,42"
469,"6,50","72,15",351,"5,83","60,21",1169,"6,76","172,93"
480,"6,50","73,85",373,"5,77","64,64",1099,"6,56","167,53"
310,"4,37","70,94",337,"5,65","59,65",1196,"7,15","167,27"
471,"6,52","72,24",365,"5,84","62,50",1246,"7,14","174,51"
465,"6,51","71,43",365,"5,96","61,24",780,"4,82","161,83"
364,"5,12","71,09",326,"5,46","59,71",1235,"7,11","173,70"
449,"6,32","71,04",328,"5,43","60,41",1214,"7,14","170,03"
450,"6,55","68,70",368,"6,02","61,13",812,"4,82","168,46"
