ed25519,P-256,,ed25519,x25519,,ed25519,p256_mlkem512,,ed25519,x25519_mlkem512,,ed25519,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
6100,"6,63","920,06",4856,"4,42","1098,64",2325,"6,44","361,02",5958,"6,67","893,25",7431,"6,79","1094,40"
6749,"6,98","966,91",7974,"7,19","1109,04",2127,"5,96","356,88",6010,"6,98","861,03",5391,"4,99","1080,36"
4644,"4,66","996,57",8024,"7,11","1128,55",2481,"6,84","362,72",5307,"5,79","916,58",7959,"7,23","1100,83"
6727,"6,99","962,37",5472,"5,00","1094,40",2429,"6,85","354,60",5539,"6,46","857,43",8081,"7,43","1087,62"
6438,"6,96","925,00",7779,"6,96","1117,67",2328,"6,42","362,62",5942,"6,97","852,51",5298,"5,01","1057,49"
4478,"4,78","936,82",7880,"7,22","1091,41",2336,"6,41","364,43",6163,"7,12","865,59",7818,"7,37","1060,79"
6571,"6,98","941,40",7637,"6,83","1118,16",2396,"6,91","346,74",4084,"4,78","854,39",8009,"7,20","1112,36"
6514,"7,05","923,97",8360,"7,11","1175,81",2461,"6,81","361,38",6033,"7,04","856,96",5674,"5,19","1093,26"
4444,"4,97","894,16",8111,"7,28","1114,15",1733,"4,61","375,92",6292,"7,03","895,02",7821,"7,12","1098,46"
6609,"6,89","959,22",7514,"6,78","1108,26",2426,"6,87","353,13",4077,"4,87","837,17",8073,"7,39","1092,42"
6413,"6,98","918,77",7696,"6,51","1182,18",2508,"6,85","366,13",5960,"7,07","843,00",7802,"7,11","1097,33"
6208,"6,63","936,35",8223,"7,16","1148,46",1593,"4,61","345,55",6250,"7,00","892,86",7714,"7,22","1068,42"
6739,"6,84","985,23",8109,"7,09","1143,72",2288,"6,84","334,50",4234,"4,75","891,37",8026,"7,46","1075,87"
6474,"6,95","931,51",5593,"4,87","1148,46",2282,"6,75","338,07",5997,"7,05","850,64",7681,"6,99","1098,86"
6185,"6,53","947,17",7809,"7,12","1096,77",1645,"4,62","356,06",6073,"6,99","868,81",7248,"6,66","1088,29"
6131,"6,33","968,56",8116,"7,22","1124,10",2306,"6,78","340,12",4718,"5,39","875,32",8120,"7,33","1107,78"
6372,"6,86","928,86",5356,"4,87","1099,79",2321,"6,85","338,83",5888,"6,78","868,44",7985,"7,43","1074,70"
6679,"6,94","962,39",8076,"7,21","1120,11",1898,"5,37","353,45",5919,"7,03","841,96",5484,"5,03","1090,26"
4480,"4,62","969,70",7820,"7,23","1081,60",2293,"6,63","345,85",5690,"6,60","862,12",7732,"7,30","1059,18"
6691,"7,02","953,13",5304,"4,87","1089,12",2393,"6,77","353,47",5454,"6,50","839,08",7887,"7,41","1064,37"
6628,"7,04","941,48",7928,"7,21","1099,58",2215,"6,46","342,88",6097,"6,93","879,80",4873,"5,03","968,79"
4666,"4,72","988,56",7921,"7,12","1112,50",2315,"6,84","338,45",5934,"6,94","855,04",7621,"7,40","1029,86"
6768,"7,02","964,10",6245,"5,76","1084,20",2360,"6,81","346,55",3946,"4,72","836,02",7663,"7,39","1036,94"
6465,"6,98","926,22",7715,"7,07","1091,23",2288,"6,48","353,09",6072,"6,99","868,67",5201,"4,91","1059,27"
4552,"4,76","956,30",7788,"7,20","1081,67",2194,"6,35","345,51",6083,"6,99","870,24",7709,"7,48","1030,61"
6688,"7,04","950,00",7737,"6,88","1124,56",2306,"6,77","340,62",4094,"4,69","872,92",7823,"7,44","1051,48"
6537,"6,94","941,93",7954,"7,19","1106,26",2316,"6,87","337,12",5847,"7,04","830,54",6136,"5,83","1052,49"
5205,"5,54","939,53",7886,"7,07","1115,42",1569,"4,59","341,83",6013,"6,98","861,46",7382,"7,21","1023,86"
6627,"6,76","980,33",7359,"6,98","1054,30",2269,"6,90","328,84",3958,"4,78","828,03",7773,"7,38","1053,25"
6638,"6,97","952,37",7272,"6,59","1103,49",2379,"6,88","345,78",6094,"7,00","870,57",7571,"7,29","1038,55"
6294,"6,58","956,53",7785,"7,12","1093,40",1639,"4,64","353,23",6147,"7,04","873,15",7610,"7,16","1062,85"
6643,"6,76","982,69",8068,"7,15","1128,39",2280,"6,80","335,29",4843,"5,60","864,82",7764,"7,42","1046,36"
6440,"7,03","916,07",5318,"4,93","1078,70",2353,"6,89","341,51",5931,"6,89","860,81",7272,"6,92","1050,87"
6235,"6,53","954,82",7709,"7,28","1058,93",1532,"4,55","336,70",5949,"7,12","835,53",7110,"6,71","1059,61"
6182,"6,44","959,94",7731,"7,34","1053,27",2344,"6,95","337,27",5965,"6,74","885,01",7861,"7,35","1069,52"
6479,"6,94","933,57",5430,"4,90","1108,16",2332,"6,80","342,94",5898,"7,01","841,37",7951,"7,46","1065,82"
6452,"6,88","937,79",7833,"7,17","1092,47",1848,"5,48","337,23",5939,"6,91","859,48",5218,"4,96","1052,02"
4570,"4,74","964,14",7637,"7,36","1037,64",2268,"6,58","344,68",5975,"6,64","899,85",7679,"7,36","1043,34"
6627,"6,93","956,28",5396,"4,81","1121,83",2402,"6,74","356,38",5603,"6,35","882,36",7610,"7,58","1003,96"
6412,"6,99","917,31",8113,"7,09","1144,29",2262,"6,52","346,93",6188,"7,07","875,25",5232,"4,83","1083,23"
4472,"4,72","947,46",7885,"7,15","1102,80",2311,"6,70","344,93",6377,"6,99","912,30",7538,"7,56","997,09"
6616,"7,00","945,14",6353,"5,64","1126,42",2353,"6,80","346,03",4244,"4,74","895,36",7864,"7,40","1062,70"
6414,"6,95","922,88",7821,"7,09","1103,10",2371,"6,47","366,46",6255,"7,11","879,75",5108,"4,95","1031,92"
4506,"4,76","946,64",7903,"7,31","1081,12",2234,"6,18","361,49",6275,"7,05","890,07",7883,"7,27","1084,32"
6659,"6,88","967,88",7664,"6,80","1127,06",2423,"6,74","359,50",4208,"4,66","903,00",7984,"7,28","1096,70"
6406,"7,04","909,94",8092,"7,22","1120,78",2570,"6,92","371,39",6294,"7,05","892,77",6350,"5,78","1098,62"
5211,"5,52","944,02",7820,"7,14","1095,24",1682,"4,64","362,50",6363,"7,03","905,12",7617,"7,09","1074,33"
6531,"6,79","961,86",7775,"6,69","1162,18",2391,"6,92","345,52",4208,"4,80","876,67",7973,"7,39","1078,89"
6615,"7,04","939,63",7436,"6,55","1135,27",2538,"6,85","370,51",6229,"7,17","868,76",7631,"6,97","1094,84"
6307,"6,62","952,72",7680,"7,17","1071,13",1725,"4,63","372,57",6187,"7,04","878,84",7732,"7,31","1057,73"
6703,"6,78","988,64",8087,"7,36","1098,78",2399,"6,81","352,28",5094,"5,52","922,83",7928,"7,35","1078,64"
6665,"6,83","975,84",5258,"4,84","1086,36",2553,"6,94","367,87",6185,"6,89","897,68",7307,"6,92","1055,92"
6272,"6,52","961,96",7909,"7,39","1070,23",1671,"4,60","363,26",6115,"7,08","863,70",7529,"7,51","1002,53"
6178,"6,54","944,65",7970,"7,20","1106,94",2367,"6,85","345,55",6186,"6,71","921,91",7851,"7,21","1088,90"
6585,"6,99","942,06",5415,"4,74","1142,41",2528,"6,85","369,05",6231,"6,96","895,26",7205,"6,67","1080,21"
6613,"7,00","944,71",7895,"7,07","1116,69",2068,"5,47","378,06",6039,"7,09","851,76",7115,"6,77","1050,96"
4508,"4,76","947,06",7930,"7,18","1104,46",2428,"6,68","363,47",6110,"6,61","924,36",7777,"7,37","1055,22"
6611,"6,95","951,22",5653,"4,86","1163,17",2304,"6,77","340,32",5636,"6,52","864,42",7806,"7,26","1075,21"
6468,"6,72","962,50",8056,"7,08","1137,85",2263,"6,55","345,50",6031,"6,86","879,15",5127,"4,99","1027,45"
4311,"4,71","915,29",7989,"7,19","1111,13",2394,"6,81","351,54",6396,"6,93","922,94",7808,"7,32","1066,67"
6635,"7,13","930,58",6411,"5,69","1126,71",2333,"6,85","340,58",4135,"4,85","852,58",7772,"7,42","1047,44"
6407,"7,09","903,67",7746,"6,93","1117,75",2273,"6,38","356,27",6208,"6,89","901,02",5136,"4,95","1037,58"
4488,"4,67","961,03",7964,"7,15","1113,85",2065,"6,18","334,14",6327,"7,00","903,86",7946,"7,35","1081,09"
6590,"6,89","956,46",7694,"6,82","1128,15",2346,"6,79","345,51",3931,"4,68","839,96",7590,"7,38","1028,46"
6566,"6,97","942,04",7928,"7,08","1119,77",2437,"6,78","359,44",5990,"7,03","852,06",5193,"5,01","1036,53"
5245,"5,52","950,18",7749,"7,24","1070,30",1539,"4,60","334,57",6317,"7,09","890,97",7719,"7,39","1044,52"
6426,"6,87","935,37",7344,"6,69","1097,76",2352,"6,77","347,42",4199,"4,78","878,45",7813,"7,32","1067,35"
6554,"7,07","927,02",7223,"6,57","1099,39",2415,"6,81","354,63",6147,"7,02","875,64",6130,"5,83","1051,46"
6173,"6,64","929,67",7826,"7,30","1072,05",1655,"4,59","360,57",6340,"6,98","908,31",7657,"7,13","1073,91"
6587,"6,97","945,05",8190,"7,21","1135,92",2266,"6,82","332,26",5023,"5,64","890,60",7671,"7,38","1039,43"
6480,"7,00","925,71",5567,"4,85","1147,84",2365,"6,79","348,31",6040,"6,87","879,18",7509,"6,96","1078,88"
