ecdsa-secp384 - P-521;ecdsa-secp384 - mlkem1024;mldsa87 - P-521;mldsa87 - mlkem1024;falcon1024 - P-521;falcon1024 - mlkem1024;sphincssha2256fsimple - P-521;sphincssha2256fsimple - mlkem1024;sphincssha2256ssimple - P-521;sphincssha2256ssimple - mlkem1024
389;771;376;2532;481;2072;175;205;15;25
386;471;581;1376;626;1900;190;251;28;22
452;834;537;2943;547;2494;153;210;27;29
395;874;298;3139;456;1982;178;212;19;25
366;805;473;2530;499;2482;182;252;27;25
429;731;534;3213;635;2552;202;213;26;26
361;884;576;3456;554;2396;143;225;18;28
358;1054;579;2071;466;1694;194;245;27;28
321;758;596;2761;529;2608;201;243;27;25
470;1005;523;3140;587;2612;183;161;24;29
374;905;586;2807;416;1781;183;249;27;27
311;813;663;1867;465;2235;199;224;26;28
434;949;443;3110;428;3320;176;161;26;28
451;905;511;2122;374;2057;183;204;26;27
265;522;616;3692;581;2534;185;240;27;28
439;743;541;3135;629;2576;197;141;26;29
422;986;554;2646;371;1800;203;193;28;27
310;918;671;2615;494;2127;184;230;27;28
462;930;454;3225;633;2198;180;176;25;28
411;729;270;3532;422;1755;194;240;25;25
313;630;654;3171;483;1620;199;231;28;26
439;865;648;2190;571;1879;132;228;27;28
426;915;453;2833;521;1366;196;229;27;29
398;859;533;2039;554;2804;203;168;27;26
317;865;658;2272;624;3228;128;221;27;26
386;927;428;5159;578;2034;198;212;26;27
381;1006;614;3744;524;2504;200;239;28;26
337;519;643;2751;606;2287;112;207;24;28
474;883;515;3068;586;2120;177;153;28;28
398;628;554;3041;343;3194;200;236;27;28
281;801;688;2534;504;2654;154;228;27;28
449;1024;601;3229;596;1902;193;160;27;27
429;854;473;2059;389;2129;192;222;28;28
304;602;609;3500;621;2161;171;237;26;24
420;835;593;2957;574;1147;177;163;28;25
439;1059;556;2786;436;2755;205;218;28;25
301;660;578;3024;420;2677;183;223;26;28
444;861;601;1950;483;2235;186;190;26;26
373;1047;544;2281;423;2781;194;214;27;26
245;914;554;2634;388;1831;176;234;24;28
410;980;663;3028;587;2425;129;232;26;27
426;882;584;2453;528;2013;180;198;27;27
426;1020;532;2925;526;2641;196;240;27;28
360;560;542;1516;574;2084;130;199;26;28
436;800;601;2760;458;3012;197;213;28;27
426;871;600;3050;450;2623;176;198;26;29
422;521;561;2337;563;1831;124;224;27;27
441;984;480;3620;532;2220;202;167;27;26
438;669;611;3230;393;2174;177;241;23;26
269;420;648;3931;508;2317;129;225;28;26
