ecdsa-secp384 - P-384;ecdsa-secp384 - mlkem768;mldsa65 - P-384;mldsa65 - mlkem768;sphincssha2192fsimple - P-384;sphincssha2192fsimple - mlkem768;sphincssha2192ssimple - P-384;sphincssha2192ssimple - mlkem768
573;1396;1204;3002;330;293;20;24
760;951;647;3352;249;382;25;16
674;1771;773;1276;310;371;24;27
528;1342;1091;2405;364;374;23;26
741;1608;783;2465;260;318;25;23
743;1354;1083;2331;300;349;25;27
779;1861;939;2647;269;398;25;24
740;1346;729;2338;257;368;23;23
744;1191;812;2275;370;393;26;25
837;1021;840;2919;360;393;25;26
851;1419;1066;2505;318;407;24;24
826;1543;625;2519;352;350;26;26
834;1466;881;3540;361;405;22;25
685;1254;1154;2611;322;250;25;26
696;1279;769;3171;363;440;22;26
825;1318;1067;2863;332;401;24;13
839;1452;1251;3496;353;268;24;23
836;1575;784;3487;331;334;25;26
567;1758;1247;4854;367;410;21;17
915;1324;1007;1590;341;300;23;27
550;1419;986;2254;334;361;23;25
657;1121;1154;2031;375;396;24;24
719;1654;1127;2372;359;335;23;25
707;1079;1014;3576;313;437;26;24
825;1701;813;4418;361;352;24;22
730;1578;1318;2461;378;378;24;25
815;916;1073;2859;227;403;25;26
782;1504;1069;2555;356;413;22;26
863;1785;1131;2987;360;372;23;25
696;1119;1254;2862;213;407;25;26
868;1227;634;2358;305;396;25;25
836;1604;953;2927;360;420;25;25
860;960;920;2533;255;290;26;26
811;1692;614;2648;334;448;24;26
829;1174;1038;2979;354;331;22;25
817;1509;1158;1757;289;304;26;27
549;1075;841;2784;351;388;21;23
791;1755;1087;2309;369;419;23;26
803;1851;1173;2887;365;226;26;27
555;1470;811;1388;335;295;25;22
651;1762;813;3267;376;440;24;25
823;1547;1019;2826;308;314;23;27
357;902;1051;3212;335;363;24;24
660;1670;1215;4047;367;387;24;24
752;1676;1125;3351;347;430;25;27
624;1183;1218;2378;365;437;24;26
723;1698;847;1841;337;365;25;25
738;1407;1069;2681;291;392;25;26
823;802;1154;2182;364;330;23;25
744;1226;635;1673;291;430;25;25
