sphincssha2128fsimple;X25519;;sphincssha2128fsimple;P-256;;sphincssha2128fsimple;kyber512;;sphincssha2128ssimple;X25519;;sphincssha2128ssimple;P-256;;sphincssha2128ssimple;kyber512;;sphincssha2192fsimple;P-384;;sphincssha2192fsimple;kyber768;;sphincssha2192ssimple;P-384;;sphincssha2192ssimple;kyber768;;sphincssha2256fsimple;P-521;;sphincssha2256fsimple;kyber1024;;sphincssha2256ssimple;P-521;;sphincssha2256ssimple;kyber1024;;sphincsshake128fsimple;X25519;;sphincsshake128fsimple;P-256;;sphincsshake128fsimple;kyber512;;sphincsshake128ssimple;X25519;;sphincsshake128ssimple;P-256;;sphincsshake128fsimple;kyber512;;sphincsshake192fsimple;P-384;;sphincsshake192fsimple;kyber768;;sphincsshake192ssimple;P-384;;sphincsshake192ssimple;kyber768;;sphincsshake256fsimple;P-521;;sphincsshake256fsimple;kyber1024;;sphincsshake256ssimple;P-521;;sphincsshake256ssimple;kyber1024;
Group 1 Connections;Time (s);Connections/User Sec;Group 2 Connections;Time (s);Connections/User Sec;Group 3 Connections;Time (s);Connections/User Sec;Group 4 Connections;Time (s);Connections/User Sec;Group 5 Connections;Time (s);Connections/User Sec;Group 6 Connections;Time (s);Connections/User Sec;Group 7 Connections;Time (s);Connections/User Sec;Group 8 Connections;Time (s);Connections/User Sec;Group 9 Connections;Time (s);Connections/User Sec;Group 10 Connections;Time (s);Connections/User Sec;Group 11 Connections;Time (s);Connections/User Sec;Group 12 Connections;Time (s);Connections/User Sec;Group 13 Connections;Time (s);Connections/User Sec;Group 14 Connections;Time (s);Connections/User Sec;Group 15 Connections;Time (s);Connections/User Sec;Group 16 Connections;Time (s);Connections/User Sec;Group 17 Connections;Time (s);Connections/User Sec;Group 18 Connections;Time (s);Connections/User Sec;Group 19 Connections;Time (s);Connections/User Sec;Group 20 Connections;Time (s);Connections/User Sec;Group 21 Connections;Time (s);Connections/User Sec;Group 22 Connections;Time (s);Connections/User Sec;Group 23 Connections;Time (s);Connections/User Sec;Group 24 Connections;Time (s);Connections/User Sec;Group 25 Connections;Time (s);Connections/User Sec;Group 26 Connections;Time (s);Connections/User Sec;Group 27 Connections;Time (s);Connections/User Sec;Group 28 Connections;Time (s);Connections/User Sec
494;2,18;226,61;576;2,1;274,29;590;2,09;282,3;37;0,07;528,57;38;0,08;475;38;0,08;475;352;2,74;128,47;402;1,77;227,12;23;0,14;164,29;24;0,06;400;184;2,28;80,7;224;1,02;219,61;17;0,35;48,57;25;0,08;312,5;404;1,54;262,34;402;1,62;248,15;402;1,69;237,87;24;0,04;600;24;0,06;400;406;1,6;253,75;235;2,09;112,44;259;1,38;187,68;14;0,08;175;14;0,04;350;120;1,63;73,62;136;0,79;172,15;14;0,21;66,67;16;0,06;266,67
335;2,05;163,41;580;2,12;273,58;588;2,08;282,69;38;0,08;475;38;0,08;475;37;0,09;411,11;351;2,72;129,04;420;1,74;241,38;23;0,14;164,29;23;0,06;383,33;184;2,29;80,35;226;1,03;219,42;25;0,28;89,29;25;0,07;357,14;407;1,58;257,59;401;1,59;252,2;402;1,68;239,29;23;0,11;209,09;24;0,05;480;402;1,6;251,25;229;2,13;107,51;261;1,38;189,13;14;0,08;175;13;0,04;325;117;1,65;70,91;136;0,78;174,36;15;0,19;78,95;16;0,06;266,67
484;2,1;230,48;572;2,13;268,54;587;2,15;273,02;38;0,07;542,86;32;0,09;355,56;39;0,08;487,5;350;2,8;125;416;1,77;235,03;23;0,13;176,92;23;0,06;383,33;185;2,29;80,79;220;1,03;213,59;24;0,3;80;24;0,09;266,67;408;1,57;259,87;403;1,63;247,24;406;1,58;256,96;24;0,05;480;24;0,04;600;402;1,64;245,12;233;2,13;109,39;249;1,37;181,75;13;0,08;162,5;14;0,04;350;121;1,66;72,89;136;0,82;165,85;14;0,17;82,35;16;0,06;266,67
551;2,06;267,48;571;2,19;260,73;586;2,07;283,09;38;0,07;542,86;23;0,11;209,09;38;0,07;542,86;357;2,75;129,82;419;1,74;240,8;23;0,13;176,92;19;0,05;380;180;2,37;75,95;226;1,04;217,31;22;0,27;81,48;26;0,08;325;400;1,58;253,16;397;1,64;242,07;403;1,6;251,88;24;0,05;480;24;0,05;480;392;1,65;237,58;234;2,07;113,04;259;1,38;187,68;14;0,09;155,56;14;0,03;466,67;120;1,65;72,73;135;0,77;175,32;14;0,18;77,78;17;0,06;283,33
573;2,08;275,48;580;2,14;271,03;582;2,08;279,81;38;0,08;475;38;0,09;422,22;38;0,07;542,86;340;2,75;123,64;418;1,8;232,22;23;0,13;176,92;23;0,06;383,33;185;2,35;78,72;226;1,08;209,26;25;0,4;62,5;25;0,07;357,14;406;1,55;261,94;402;1,59;252,83;403;1,56;258,33;24;0,06;400;24;0,06;400;406;1,66;244,58;236;2,15;109,77;261;1,39;187,77;14;0,09;155,56;13;0,04;325;121;1,74;69,54;138;0,84;164,29;14;0,18;77,78;16;0,06;266,67
460;2,08;221,15;575;2,12;271,23;590;2,09;282,3;39;0,08;487,5;39;0,09;433,33;34;0,07;485,71;356;2,75;129,45;419;1,73;242,2;23;0,14;164,29;23;0,06;383,33;184;2,27;81,06;224;1,01;221,78;25;0,28;89,29;25;0,08;312,5;407;1,54;264,29;402;1,6;251,25;405;1,59;254,72;24;0,05;480;24;0,06;400;408;1,61;253,42;234;2,08;112,5;262;1,38;189,86;14;0,09;155,56;14;0,04;350;122;1,66;73,49;138;0,8;172,5;13;0,18;72,22;16;0,06;266,67
440;2,14;205,61;581;2,12;274,06;577;2,15;268,37;38;0,07;542,86;38;0,07;542,86;20;0,1;200;244;2,83;86,22;417;1,86;224,19;23;0,14;164,29;23;0,05;460;184;2,28;80,7;218;1,05;207,62;25;0,35;71,43;26;0,08;325;405;1,54;262,99;403;1,61;250,31;406;1,61;252,17;24;0,05;480;24;0,05;480;408;1,64;248,78;234;2,1;111,43;262;1,41;185,82;13;0,08;162,5;14;0,04;350;122;1,69;72,19;138;0,79;174,68;14;0,16;87,5;16;0,05;320
440;2,08;211,54;578;2,12;272,64;590;2,1;280,95;38;0,08;475;38;0,08;475;38;0,07;542,86;357;2,76;129,35;419;1,75;239,43;22;0,13;169,23;24;0,06;400;185;2,33;79,4;226;1,01;223,76;24;0,26;92,31;25;0,07;357,14;404;1,53;264,05;402;1,64;245,12;406;1,67;243,11;24;0,05;480;24;0,05;480;389;1,61;241,61;233;2,13;109,39;262;1,4;187,14;14;0,08;175;14;0,04;350;122;1,67;73,05;139;0,78;178,21;14;0,2;70;17;0,05;340
453;2,29;197,82;580;2,12;273,58;587;2,07;283,57;38;0,08;475;37;0,11;336,36;38;0,08;475;253;2,82;89,72;420;1,76;238,64;23;0,15;153,33;23;0,06;383,33;185;2,27;81,5;227;1,04;218,27;25;0,28;89,29;25;0,08;312,5;393;1,54;255,19;385;1,65;233,33;405;1,69;239,64;23;0,05;460;24;0,05;480;407;1,61;252,8;235;2,1;111,9;262;1,39;188,49;14;0,08;175;14;0,04;350;116;1,68;69,05;133;0,8;166,25;13;0,22;59,09;16;0,06;266,67
433;2,16;200,46;549;2,28;240,79;591;2,05;288,29;38;0,08;475;12;0,13;92,31;38;0,07;542,86;358;2,72;131,62;418;1,75;238,86;23;0,14;164,29;23;0,05;460;176;2,32;75,86;225;1,09;206,42;24;0,27;88,89;26;0,08;325;378;1,54;245,45;393;1,63;241,1;405;1,61;251,55;24;0,04;600;24;0,05;480;398;1,64;242,68;235;2,15;109,3;262;1,42;184,51;14;0,09;155,56;14;0,06;233,33;121;1,62;74,69;138;0,79;174,68;13;0,2;65;16;0,06;266,67
