secp521r1 - P-521;secp521r1 - p521_mlkem1024;secp521r1 - mlkem1024
184;272;573
384;335;579
398;255;392
286;290;630
378;281;710
439;203;478
272;364;627
302;266;989
308;156;483
477;321;362
370;313;480
386;222;736
377;332;284
313;280;816
396;212;669
308;294;348
335;321;784
314;289;695
245;321;241
359;304;671
357;352;538
346;276;399
424;344;785
402;305;506
436;257;574
308;322;361
378;402;754
400;235;733
329;303;671
468;288;579
344;319;680
459;270;448
375;308;691
361;184;528
301;277;363
353;399;691
436;302;619
234;341;519
483;287;907
381;392;599
270;262;866
359;402;500
356;258;686
286;175;934
412;257;601
395;351;754
267;187;592
339;286;542
310;323;783
387;273;734
