ed25519,P-256,,ed25519,X25519,,ed25519,p256_mlkem512,,ed25519,x25519_mlkem512,,ed25519,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
1587,"1,66","956,02",1309,"1,08","1212,04",368,"0,93","395,70",963,"1,05","917,14",1575,"1,44","1093,75"
894,"0,90","993,33",1211,"1,07","1131,78",1239,"3,10","399,68",726,"0,80","907,50",835,"0,79","1056,96"
973,"0,96","1013,54",894,"0,76","1176,32",1370,"3,44","398,26",1364,"1,55","880,00",1115,"1,10","1013,64"
2085,"2,06","1012,14",938,"0,79","1187,34",550,"1,36","404,41",632,"0,67","943,28",1312,"1,27","1033,07"
710,"0,72","986,11",1605,"1,39","1154,68",920,"2,52","365,08",1062,"1,19","892,44",550,"0,52","1057,69"
1222,"1,16","1053,45",928,"0,82","1131,71",1018,"2,58","394,57",845,"0,92","918,48",1073,"0,95","1129,47"
1318,"1,35","976,30",955,"0,89","1073,03",693,"1,70","407,65",1628,"1,82","894,51",987,"0,86","1147,67"
1493,"1,52","982,24",831,"0,71","1170,42",599,"1,51","396,69",1062,"1,14","931,58",850,"0,80","1062,50"
1897,"1,95","972,82",586,"0,51","1149,02",1105,"2,80","394,64",1224,"1,39","880,58",1137,"1,01","1125,74"
1158,"1,19","973,11",885,"0,75","1180,00",844,"2,17","388,94",978,"1,01","968,32",854,"0,76","1123,68"
542,"0,57","950,88",1027,"0,89","1153,93",624,"1,54","405,19",1602,"1,70","942,35",1852,"1,71","1083,04"
1322,"1,41","937,59",1122,"0,95","1181,05",893,"2,39","373,64",1801,"1,92","938,02",1921,"1,73","1110,40"
652,"0,71","918,31",1392,"1,15","1210,43",1186,"2,95","402,03",1413,"1,64","861,59",895,"0,82","1091,46"
1007,"1,00","1007,00",1605,"1,35","1188,89",972,"2,56","379,69",959,"0,97","988,66",817,"0,78","1047,44"
715,"0,77","928,57",664,"0,57","1164,91",990,"2,54","389,76",1099,"1,19","923,53",1044,"0,97","1076,29"
1183,"1,18","1002,54",1601,"1,48","1081,76",1081,"2,70","400,37",1417,"1,53","926,14",2146,"1,98","1083,84"
938,"0,92","1019,57",2311,"1,94","1191,24",601,"1,50","400,67",1100,"1,18","932,20",2077,"1,93","1076,17"
1172,"1,21","968,60",1160,"0,98","1183,67",1015,"2,53","401,19",704,"0,77","914,29",1595,"1,43","1115,38"
