ed25519 - P-256;ed25519 - X25519;ed25519 - p256_mlkem512;ed25519 - x25519_mlkem512;ed25519 - mlkem512
1587;1309;368;963;1575
894;1211;1239;726;835
973;894;1370;1364;1115
2085;938;550;632;1312
710;1605;920;1062;550
1222;928;1018;845;1073
1318;955;693;1628;987
1493;831;599;1062;850
1897;586;1105;1224;1137
1158;885;844;978;854
542;1027;624;1602;1852
1322;1122;893;1801;1921
652;1392;1186;1413;895
1007;1605;972;959;817
715;664;990;1099;1044
1183;1601;1081;1417;2146
938;2311;601;1100;2077
1172;1160;1015;704;1595
1194;1135;662;1261;1319
782;1127;627;1237;1112
1131;978;1304;1394;1397
987;1307;1193;799;1552
1587;2145;784;1037;934
894;1504;1114;947;1197
973;1018;743;971;1152
2085;1716;1007;950;599
710;1005;402;1062;1108
1222;1286;1332;766;1403
1318;1395;1098;1425;1336
1493;1237;971;1121;997
1897;1409;732;1271;813
1158;874;818;1058;1166
652;1156;948;985;968
1007;1049;710;1319;599
715;1356;965;1435;1135
1183;1119;837;901;1135
938;1013;802;444;1049
1172;831;434;1802;1083
1194;586;1105;1208;1056
782;885;844;1310;1283
1131;1309;624;1147;1232
987;1211;893;1619;1041
542;894;1186;874;679
1322;938;972;1755;715
1780;1605;990;1567;1989
917;928;1081;1579;1091
1995;955;601;1628;1422
824;1160;1015;1062;1258
1304;1135;662;1224;740
1839;1127;627;978;1163
