secp521r1,P-521,,secp521r1,p521_mlkem1024,,secp521r1,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec
184,"2,38","77,31",272,"4,21","64,61",573,"3,30","173,64"
384,"4,94","77,73",335,"5,20","64,42",579,"3,32","174,40"
398,"5,02","79,28",255,"4,00","63,75",392,"2,36","166,10"
286,"3,66","78,14",290,"4,57","63,46",630,"3,55","177,46"
378,"4,81","78,59",281,"4,23","66,43",710,"4,12","172,33"
439,"5,93","74,03",203,"3,05","66,56",478,"2,77","172,56"
272,"3,45","78,84",364,"5,57","65,35",627,"3,48","180,17"
302,"3,96","76,26",266,"4,02","66,17",989,"5,78","171,11"
308,"4,03","76,43",156,"2,33","66,95",483,"2,91","165,98"
477,"6,21","76,81",321,"4,59","69,93",362,"2,12","170,75"
370,"4,94","74,90",313,"4,77","65,62",480,"2,87","167,25"
386,"4,89","78,94",222,"3,31","67,07",736,"4,31","170,77"
377,"4,97","75,86",332,"5,16","64,34",284,"1,63","174,23"
313,"4,30","72,79",280,"4,13","67,80",816,"4,76","171,43"
396,"5,21","76,01",212,"3,09","68,61",669,"3,86","173,32"
308,"4,15","74,22",294,"4,57","64,33",348,"2,00","174,00"
335,"4,52","74,12",321,"4,58","70,09",784,"4,54","172,69"
314,"4,27","73,54",289,"4,36","66,28",695,"4,03","172,46"
245,"3,11","78,78",321,"4,73","67,86",241,"1,42","169,72"
359,"4,82","74,48",304,"4,39","69,25",671,"3,88","172,94"
357,"4,89","73,01",352,"4,99","70,54",538,"3,00","179,33"
346,"4,54","76,21",276,"3,93","70,23",399,"2,40","166,25"
424,"5,64","75,18",344,"5,00","68,80",785,"4,58","171,40"
402,"5,42","74,17",305,"4,40","69,32",506,"2,87","176,31"
436,"5,72","76,22",257,"3,83","67,10",574,"3,25","176,62"
308,"4,24","72,64",322,"4,69","68,66",361,"2,25","160,44"
378,"5,23","72,28",402,"5,80","69,31",754,"4,16","181,25"
400,"5,41","73,94",235,"3,45","68,12",733,"4,19","174,94"
329,"4,41","74,60",303,"4,49","67,48",671,"3,90","172,05"
468,"6,28","74,52",288,"4,18","68,90",579,"3,28","176,52"
344,"4,61","74,62",319,"4,58","69,65",680,"3,97","171,28"
459,"6,08","75,49",270,"3,94","68,53",448,"2,60","172,31"
375,"4,95","75,76",308,"4,37","70,48",691,"3,98","173,62"
361,"4,87","74,13",184,"2,70","68,15",528,"3,10","170,32"
301,"4,01","75,06",277,"4,07","68,06",363,"2,03","178,82"
353,"4,67","75,59",399,"5,80","68,79",691,"4,07","169,78"
436,"5,90","73,90",302,"4,44","68,02",619,"3,45","179,42"
234,"3,16","74,05",341,"4,96","68,75",519,"2,92","177,74"
483,"6,30","76,67",287,"4,14","69,32",907,"5,32","170,49"
381,"5,17","73,69",392,"5,79","67,70",599,"3,73","160,59"
270,"3,66","73,77",262,"3,89","67,35",866,"5,05","171,49"
359,"4,68","76,71",402,"5,83","68,95",500,"2,91","171,82"
356,"4,93","72,21",258,"3,92","65,82",686,"4,03","170,22"
286,"3,80","75,26",175,"2,52","69,44",934,"5,48","170,44"
412,"5,55","74,23",257,"3,78","67,99",601,"3,47","173,20"
395,"5,24","75,38",351,"5,16","68,02",754,"4,45","169,44"
267,"3,43","77,84",187,"2,83","66,08",592,"3,42","173,10"
339,"4,29","79,02",286,"4,14","69,08",542,"3,11","174,28"
310,"4,17","74,34",323,"4,73","68,29",783,"4,32","181,25"
387,"5,25","73,71",273,"3,99","68,42",734,"4,30","170,70"
