secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
458,"2,89","158,48",713,"2,31","308,66",415,"3,46","119,94",979,"3,77","259,68",821,"2,36","347,88"
578,"3,73","154,96",581,"1,99","291,96",396,"3,35","118,21",593,"2,34","253,42",903,"2,63","343,35"
728,"4,58","158,95",1225,"4,23","289,60",396,"3,42","115,79",791,"3,09","255,99",611,"2,04","299,51"
443,"2,83","156,54",957,"3,37","283,98",440,"3,39","129,79",1046,"4,16","251,44",807,"2,30","350,87"
674,"4,27","157,85",371,"1,34","276,87",567,"4,65","121,94",747,"3,16","236,39",736,"2,28","322,81"
517,"3,33","155,26",1266,"4,34","291,71",342,"2,86","119,58",1097,"4,58","239,52",943,"2,77","340,43"
629,"3,77","166,84",794,"2,73","290,84",567,"4,63","122,46",793,"3,16","250,95",629,"1,76","357,39"
531,"3,30","160,91",629,"2,25","279,56",449,"3,67","122,34",901,"3,52","255,97",701,"2,07","338,65"
471,"2,96","159,12",427,"1,45","294,48",394,"3,30","119,39",961,"4,08","235,54",1055,"3,27","322,63"
594,"3,79","156,73",905,"3,08","293,83",560,"4,63","120,95",795,"3,20","248,44",810,"2,44","331,97"
572,"3,59","159,33",823,"2,75","299,27",564,"4,30","131,16",759,"2,97","255,56",646,"1,91","338,22"
751,"4,54","165,42",490,"1,80","272,22",556,"4,67","119,06",452,"1,81","249,72",832,"2,43","342,39"
488,"3,25","150,15",720,"2,54","283,46",549,"4,50","122,00",1064,"4,32","246,30",1335,"3,93","339,69"
595,"3,73","159,52",786,"2,63","298,86",579,"4,79","120,88",879,"3,58","245,53",794,"2,26","351,33"
455,"2,76","164,86",856,"2,99","286,29",576,"4,73","121,78",1184,"4,76","248,74",563,"1,58","356,33"
706,"4,42","159,73",1518,"5,18","293,05",460,"3,68","125,00",932,"3,53","264,02",653,"2,07","315,46"
569,"3,64","156,32",654,"2,21","295,93",639,"5,27","121,25",487,"1,83","266,12",856,"2,56","334,38"
464,"2,88","161,11",801,"2,70","296,67",368,"3,10","118,71",724,"2,99","242,14",788,"2,21","356,56"
659,"4,30","153,26",718,"2,61","275,10",531,"4,29","123,78",871,"3,42","254,68",954,"2,85","334,74"
529,"3,37","156,97",892,"3,24","275,31",366,"3,04","120,39",788,"3,15","250,16",1171,"3,58","327,09"
594,"3,54","167,80",667,"2,37","281,43",511,"4,18","122,25",1084,"4,19","258,71",1433,"4,38","327,17"
501,"3,30","151,82",795,"2,99","265,89",519,"4,09","126,89",1082,"4,22","256,40",711,"2,09","340,19"
603,"3,88","155,41",929,"3,38","274,85",585,"4,79","122,13",959,"3,79","253,03",963,"2,86","336,71"
621,"4,04","153,71",562,"1,98","283,84",432,"3,60","120,00",706,"2,80","252,14",620,"1,81","342,54"
747,"4,73","157,93",973,"3,53","275,64",412,"3,38","121,89",962,"3,75","256,53",574,"1,72","333,72"
573,"3,58","160,06",938,"3,39","276,70",546,"4,57","119,47",408,"1,63","250,31",1256,"3,84","327,08"
667,"4,38","152,28",904,"3,26","277,30",424,"3,49","121,49",601,"2,39","251,46",848,"2,50","339,20"
619,"3,86","160,36",929,"3,16","293,99",361,"2,90","124,48",799,"3,07","260,26",1073,"3,03","354,13"
624,"3,77","165,52",713,"2,31","308,66",621,"4,89","126,99",903,"3,53","255,81",733,"2,22","330,18"
453,"2,87","157,84",581,"1,99","291,96",450,"3,73","120,64",484,"1,89","256,08",1370,"4,15","330,12"
652,"4,09","159,41",1225,"4,23","289,60",250,"2,02","123,76",702,"2,72","258,09",933,"2,62","356,11"
581,"3,69","157,45",957,"3,37","283,98",519,"4,24","122,41",947,"3,83","247,26",878,"2,50","351,20"
720,"4,62","155,84",371,"1,34","276,87",433,"3,64","118,96",721,"2,88","250,35",1032,"3,06","337,25"
536,"3,45","155,36",1266,"4,34","291,71",453,"3,75","120,80",838,"3,30","253,94",787,"2,32","339,22"
516,"3,39","152,21",794,"2,73","290,84",551,"4,54","121,37",525,"2,10","250,00",878,"2,66","330,08"
604,"3,83","157,70",629,"2,25","279,56",530,"4,38","121,00",440,"1,75","251,43",1008,"2,87","351,22"
774,"5,00","154,80",856,"2,99","286,29",455,"3,75","121,33",1004,"3,96","253,54",996,"2,79","356,99"
331,"2,32","142,67",1518,"5,18","293,05",596,"4,70","126,81",609,"2,42","251,65",1026,"3,02","339,74"
610,"4,09","149,14",654,"2,21","295,93",618,"5,20","118,85",645,"2,61","247,13",910,"2,74","332,12"
635,"4,20","151,19",801,"2,70","296,67",378,"3,08","122,73",1011,"3,87","261,24",902,"2,55","353,73"
