rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
121,"0,15","806,67",124,"0,18","688,89",126,"0,19","663,16",105,"0,16","656,25",125,"0,19","657,89",129,"0,20","645,00",133,"0,16","831,25",124,"0,20","620,00",129,"0,17","758,82",72,"0,33","218,18",105,"0,51","205,88",108,"0,47","229,79",32,"0,09","355,56",22,"0,06","366,67",30,"0,08","375,00"
89,"0,11","809,09",128,"0,19","673,68",129,"0,16","806,25",130,"0,16","812,50",89,"0,15","593,33",100,"0,15","666,67",132,"0,18","733,33",132,"0,20","660,00",133,"0,18","738,89",111,"0,51","217,65",101,"0,47","214,89",84,"0,38","221,05",21,"0,06","350,00",29,"0,09","322,22",23,"0,07","328,57"
127,"0,16","793,75",87,"0,13","669,23",97,"0,12","808,33",134,"0,18","744,44",132,"0,21","628,57",123,"0,17","723,53",89,"0,12","741,67",107,"0,16","668,75",100,"0,14","714,29",111,"0,49","226,53",104,"0,51","203,92",112,"0,49","228,57",33,"0,09","366,67",31,"0,09","344,44",29,"0,09","322,22"
129,"0,17","758,82",129,"0,19","678,95",118,"0,17","694,12",126,"0,18","700,00",133,"0,22","604,55",133,"0,20","665,00",133,"0,17","782,35",125,"0,19","657,89",121,"0,16","756,25",75,"0,34","220,59",111,"0,53","209,43",112,"0,49","228,57",32,"0,08","400,00",32,"0,10","320,00",32,"0,09","355,56"
123,"0,16","768,75",128,"0,20","640,00",129,"0,16","806,25",132,"0,20","660,00",89,"0,15","593,33",132,"0,21","628,57",132,"0,17","776,47",132,"0,21","628,57",133,"0,17","782,35",111,"0,47","236,17",110,"0,51","215,69",104,"0,46","226,09",21,"0,05","420,00",30,"0,09","333,33",32,"0,08","400,00"
129,"0,16","806,25",87,"0,12","725,00",129,"0,17","758,82",133,"0,20","665,00",133,"0,22","604,55",90,"0,13","692,31",114,"0,14","814,29",130,"0,20","650,00",132,"0,19","694,74",112,"0,48","233,33",106,"0,51","207,84",103,"0,48","214,58",32,"0,09","355,56",32,"0,09","355,56",30,"0,10","300,00"
129,"0,16","806,25",129,"0,18","716,67",87,"0,11","790,91",125,"0,19","657,89",132,"0,20","660,00",133,"0,18","738,89",132,"0,17","776,47",127,"0,19","668,42",90,"0,12","750,00",97,"0,44","220,45",111,"0,51","217,65",112,"0,49","228,57",31,"0,10","310,00",31,"0,10","310,00",32,"0,09","355,56"
121,"0,16","756,25",129,"0,19","678,95",129,"0,18","716,67",122,"0,19","642,11",92,"0,15","613,33",132,"0,20","660,00",132,"0,15","880,00",131,"0,18","727,78",133,"0,17","782,35",110,"0,49","224,49",108,"0,50","216,00",111,"0,49","226,53",23,"0,06","383,33",31,"0,09","344,44",31,"0,09","344,44"
118,"0,16","737,50",87,"0,13","669,23",129,"0,19","678,95",133,"0,19","700,00",130,"0,22","590,91",90,"0,13","692,31",124,"0,17","729,41",128,"0,18","711,11",132,"0,14","942,86",112,"0,50","224,00",108,"0,51","211,76",105,"0,48","218,75",32,"0,08","400,00",31,"0,09","344,44",29,"0,08","362,50"
