ecdsa-secp384,P-384,,ecdsa-secp384,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
117,"0,88","132,95",119,"0,45","264,44",118,"0,66","178,79",132,"0,19","694,74",79,"0,73","108,22",77,"0,40","192,50",21,"0,16","131,25",13,"0,04","325,00"
119,"0,87","136,78",127,"0,45","282,22",100,"0,54","185,19",102,"0,14","728,57",86,"0,80","107,50",83,"0,45","184,44",20,"0,15","133,33",22,"0,07","314,29"
90,"0,65","138,46",102,"0,36","283,33",115,"0,64","179,69",133,"0,20","665,00",57,"0,56","101,79",89,"0,50","178,00",14,"0,10","140,00",21,"0,07","300,00"
118,"0,89","132,58",123,"0,48","256,25",122,"0,62","196,77",133,"0,19","700,00",86,"0,79","108,86",88,"0,49","179,59",20,"0,15","133,33",21,"0,07","300,00"
118,"0,90","131,11",128,"0,48","266,67",122,"0,64","190,62",124,"0,18","688,89",85,"0,80","106,25",84,"0,47","178,72",19,"0,14","135,71",22,"0,07","314,29"
111,"0,79","140,51",123,"0,46","267,39",117,"0,64","182,81",123,"0,17","723,53",59,"0,56","105,36",89,"0,49","181,63",20,"0,16","125,00",21,"0,07","300,00"
109,"0,79","137,97",125,"0,50","250,00",123,"0,61","201,64",133,"0,18","738,89",85,"0,75","113,33",86,"0,48","179,17",21,"0,16","131,25",20,"0,07","285,71"
118,"0,84","140,48",127,"0,48","264,58",119,"0,67","177,61",133,"0,19","700,00",85,"0,81","104,94",86,"0,50","172,00",22,"0,15","146,67",21,"0,08","262,50"
118,"0,84","140,48",122,"0,44","277,27",119,"0,66","180,30",90,"0,11","818,18",81,"0,79","102,53",88,"0,49","179,59",19,"0,13","146,15",21,"0,07","300,00"
80,"0,59","135,59",127,"0,48","264,58",122,"0,67","182,09",133,"0,18","738,89",85,"0,77","110,39",86,"0,45","191,11",19,"0,14","135,71",20,"0,07","285,71"
118,"0,89","132,58",127,"0,50","254,00",118,"0,65","181,54",133,"0,19","700,00",86,"0,82","104,88",87,"0,49","177,55",21,"0,15","140,00",22,"0,08","275,00"
118,"0,87","135,63",118,"0,46","256,52",121,"0,61","198,36",89,"0,12","741,67",79,"0,77","102,60",89,"0,49","181,63",21,"0,15","140,00",21,"0,07","300,00"
80,"0,59","135,59",118,"0,46","256,52",122,"0,64","190,62",134,"0,18","744,44",79,"0,76","103,95",84,"0,48","175,00",20,"0,13","153,85",19,"0,07","271,43"
118,"0,91","129,67",127,"0,50","254,00",116,"0,62","187,10",133,"0,17","782,35",86,"0,78","110,26",88,"0,48","183,33",20,"0,13","153,85",21,"0,07","300,00"
118,"0,91","129,67",128,"0,46","278,26",123,"0,60","205,00",89,"0,14","635,71",86,"0,79","108,86",89,"0,49","181,63",21,"0,15","140,00",21,"0,06","350,00"
80,"0,59","135,59",86,"0,34","252,94",123,"0,63","195,24",133,"0,19","700,00",81,"0,75","108,00",83,"0,46","180,43",19,"0,13","146,15",20,"0,07","285,71"
119,"0,85","140,00",127,"0,50","254,00",115,"0,57","201,75",134,"0,18","744,44",85,"0,78","108,97",81,"0,49","165,31",22,"0,15","146,67",20,"0,06","333,33"
119,"0,82","145,12",128,"0,49","261,22",112,"0,58","193,10",104,"0,14","742,86",86,"0,80","107,50",89,"0,51","174,51",20,"0,13","153,85",21,"0,08","262,50"
93,"0,67","138,81",86,"0,31","277,42",122,"0,70","174,29",131,"0,17","770,59",81,"0,74","109,46",88,"0,49","179,59",20,"0,14","142,86",20,"0,06","333,33"
117,"0,84","139,29",127,"0,47","270,21",123,"0,61","201,64",133,"0,17","782,35",86,"0,80","107,50",60,"0,34","176,47",21,"0,15","140,00",20,"0,06","333,33"
118,"0,87","135,63",128,"0,47","272,34",83,"0,43","193,02",126,"0,18","700,00",83,"0,82","101,22",89,"0,48","185,42",20,"0,14","142,86",21,"0,07","300,00"
112,"0,82","136,59",86,"0,30","286,67",122,"0,63","193,65",133,"0,18","738,89",83,"0,77","107,79",88,"0,47","187,23",21,"0,15","140,00",21,"0,07","300,00"
118,"0,90","131,11",128,"0,48","266,67",122,"0,70","174,29",133,"0,18","738,89",85,"0,80","106,25",60,"0,35","171,43",20,"0,14","142,86",20,"0,06","333,33"
119,"0,84","141,67",128,"0,48","266,67",82,"0,44","186,36",124,"0,18","688,89",83,"0,78","106,41",89,"0,47","189,36",20,"0,15","133,33",21,"0,07","300,00"
110,"0,86","127,91",99,"0,38","260,53",123,"0,62","198,39",123,"0,16","768,75",84,"0,78","107,69",88,"0,47","187,23",20,"0,14","142,86",20,"0,06","333,33"
110,"0,79","139,24",125,"0,52","240,38",123,"0,62","198,39",133,"0,19","700,00",86,"0,85","101,18",60,"0,35","171,43",21,"0,15","140,00",21,"0,07","300,00"
118,"0,88","134,09",128,"0,48","266,67",83,"0,41","202,44",133,"0,19","700,00",81,"0,78","103,85",89,"0,50","178,00",19,"0,12","158,33",22,"0,08","275,00"
118,"0,89","132,58",121,"0,44","275,00",123,"0,62","198,39",90,"0,12","750,00",85,"0,83","102,41",88,"0,51","172,55",20,"0,14","142,86",20,"0,07","285,71"
80,"0,59","135,59",127,"0,47","270,21",123,"0,61","201,64",133,"0,17","782,35",86,"0,82","104,88",70,"0,38","184,21",22,"0,16","137,50",21,"0,08","262,50"
118,"0,89","132,58",128,"0,49","261,22",96,"0,48","200,00",133,"0,19","700,00",80,"0,73","109,59",87,"0,49","177,55",21,"0,14","150,00",22,"0,08","275,00"
118,"0,88","134,09",119,"0,43","276,74",120,"0,61","196,72",90,"0,12","750,00",86,"0,76","113,16",88,"0,48","183,33",21,"0,14","150,00",19,"0,06","316,67"
81,"0,59","137,29",118,"0,44","268,18",122,"0,68","179,41",133,"0,19","700,00",86,"0,74","116,22",85,"0,46","184,78",21,"0,16","131,25",21,"0,06","350,00"
119,"0,84","141,67",128,"0,47","272,34",117,"0,59","198,31",133,"0,16","831,25",79,"0,73","108,22",88,"0,49","179,59",21,"0,15","140,00",21,"0,07","300,00"
118,"0,90","131,11",128,"0,46","278,26",122,"0,66","184,85",90,"0,13","692,31",80,"0,74","108,11",89,"0,50","178,00",21,"0,16","131,25",20,"0,07","285,71"
81,"0,57","142,11",120,"0,45","266,67",122,"0,67","182,09",133,"0,17","782,35",86,"0,77","111,69",83,"0,46","180,43",21,"0,16","131,25",21,"0,07","300,00"
119,"0,85","140,00",128,"0,49","261,22",114,"0,61","186,89",133,"0,18","738,89",85,"0,82","103,66",89,"0,52","171,15",21,"0,14","150,00",22,"0,07","314,29"
117,"0,97","120,62",126,"0,49","257,14",114,"0,61","186,89",104,"0,14","742,86",82,"0,72","113,89",88,"0,51","172,55",21,"0,15","140,00",20,"0,07","285,71"
92,"0,67","137,31",122,"0,45","271,11",122,"0,66","184,85",131,"0,16","818,75",86,"0,75","114,67",82,"0,46","178,26",21,"0,15","140,00",21,"0,06","350,00"
116,"0,91","127,47",128,"0,49","261,22",123,"0,60","205,00",133,"0,18","738,89",83,"0,76","109,21",83,"0,49","169,39",20,"0,13","153,85",22,"0,08","275,00"
118,"0,90","131,11",125,"0,44","284,09",82,"0,46","178,26",126,"0,18","700,00",83,"0,76","109,21",88,"0,50","176,00",22,"0,16","137,50",20,"0,06","333,33"
113,"0,81","139,51",124,"0,47","263,83",123,"0,61","201,64",133,"0,17","782,35",86,"0,80","107,50",89,"0,47","189,36",21,"0,14","150,00",21,"0,07","300,00"
118,"0,88","134,09",128,"0,48","266,67",122,"0,66","184,85",133,"0,19","700,00",82,"0,74","110,81",84,"0,46","182,61",20,"0,14","142,86",21,"0,06","350,00"
118,"0,88","134,09",122,"0,48","254,17",83,"0,43","193,02",125,"0,16","781,25",84,"0,77","109,09",89,"0,50","178,00",22,"0,16","137,50",21,"0,07","300,00"
111,"0,80","138,75",126,"0,46","273,91",122,"0,66","184,85",123,"0,17","723,53",86,"0,74","116,22",86,"0,48","179,17",21,"0,14","150,00",21,"0,07","300,00"
109,"0,87","125,29",127,"0,48","264,58",123,"0,63","195,24",133,"0,18","738,89",81,"0,75","108,00",86,"0,48","179,17",19,"0,13","146,15",21,"0,07","300,00"
119,"0,85","140,00",122,"0,44","277,27",83,"0,43","193,02",133,"0,16","831,25",86,"0,80","107,50",89,"0,49","181,63",20,"0,14","142,86",20,"0,06","333,33"
119,"0,86","138,37",127,"0,47","270,21",122,"0,68","179,41",90,"0,12","750,00",86,"0,76","113,16",85,"0,45","188,89",21,"0,14","150,00",20,"0,07","285,71"
112,"0,80","140,00",128,"0,49","261,22",123,"0,65","189,23",133,"0,18","738,89",80,"0,73","109,59",87,"0,47","185,11",21,"0,14","150,00",21,"0,06","350,00"
119,"0,84","141,67",119,"0,44","270,45",96,"0,48","200,00",133,"0,20","665,00",79,"0,73","108,22",89,"0,53","167,92",20,"0,12","166,67",22,"0,08","275,00"
118,"0,85","138,82",117,"0,48","243,75",120,"0,59","203,39",90,"0,12","750,00",85,"0,80","106,25",84,"0,50","168,00",22,"0,14","157,14",20,"0,06","333,33"
