rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,kyber512,,ed25519,X25519,,ed25519,P-256,,ed25519,kyber512,,falcon512,X25519,,falcon512,P-256,,falcon512,kyber512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,kyber512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,kyber512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
25,"0,03","833,33",27,"0,04","675,00",26,"0,03","866,67",27,"0,05","540,00",27,"0,09","300,00",27,"0,05","540,00",26,"0,04","650,00",27,"0,06","450,00",26,"0,09","288,89",26,"0,14","185,71",23,"0,12","191,67",25,"0,13","192,31",15,"0,07","214,29",15,"0,05","300,00",16,"0,05","320,00"
24,"0,03","800,00",27,"0,04","675,00",27,"0,04","675,00",27,"0,04","675,00",25,"0,06","416,67",27,"0,05","540,00",27,"0,05","540,00",27,"0,06","450,00",27,"0,05","540,00",26,"0,14","185,71",25,"0,14","178,57",26,"0,13","200,00",14,"0,09","155,56",16,"0,05","320,00",16,"0,06","266,67"
27,"0,04","675,00",27,"0,04","675,00",26,"0,03","866,67",27,"0,05","540,00",27,"0,05","540,00",24,"0,04","600,00",27,"0,05","540,00",24,"0,05","480,00",25,"0,09","277,78",24,"0,21","114,29",26,"0,13","200,00",26,"0,13","200,00",15,"0,05","300,00",15,"0,05","300,00",15,"0,06","250,00"
27,"0,05","540,00",26,"0,03","866,67",26,"0,03","866,67",27,"0,05","540,00",25,"0,06","416,67",27,"0,05","540,00",25,"0,06","416,67",27,"0,05","540,00",27,"0,04","675,00",25,"0,17","147,06",23,"0,18","127,78",26,"0,13","200,00",16,"0,04","400,00",15,"0,05","300,00",16,"0,05","320,00"
27,"0,04","675,00",27,"0,04","675,00",27,"0,05","540,00",27,"0,05","540,00",27,"0,06","450,00",27,"0,06","450,00",27,"0,04","675,00",24,"0,04","600,00",27,"0,05","540,00",24,"0,12","200,00",25,"0,17","147,06",23,"0,14","164,29",15,"0,05","300,00",16,"0,06","266,67",15,"0,05","300,00"
26,"0,04","650,00",27,"0,04","675,00",27,"0,03","900,00",27,"0,05","540,00",25,"0,05","500,00",27,"0,05","540,00",27,"0,08","337,50",27,"0,05","540,00",27,"0,04","675,00",26,"0,14","185,71",26,"0,15","173,33",25,"0,16","156,25",16,"0,04","400,00",15,"0,06","250,00",15,"0,05","300,00"
27,"0,05","540,00",23,"0,03","766,67",27,"0,04","675,00",27,"0,06","450,00",27,"0,11","245,45",27,"0,05","540,00",27,"0,03","900,00",27,"0,07","385,71",27,"0,05","540,00",23,"0,13","176,92",26,"0,14","185,71",26,"0,14","185,71",16,"0,06","266,67",15,"0,06","250,00",16,"0,05","320,00"
25,"0,05","500,00",26,"0,04","650,00",26,"0,06","433,33",27,"0,06","450,00",27,"0,06","450,00",24,"0,04","600,00",27,"0,03","900,00",27,"0,05","540,00",27,"0,04","675,00",26,"0,15","173,33",25,"0,13","192,31",25,"0,13","192,31",14,"0,04","350,00",15,"0,05","300,00",16,"0,05","320,00"
25,"0,03","833,33",27,"0,04","675,00",27,"0,04","675,00",27,"0,06","450,00",24,"0,05","480,00",27,"0,05","540,00",27,"0,05","540,00",27,"0,05","540,00",24,"0,04","600,00",26,"0,14","185,71",25,"0,14","178,57",24,"0,11","218,18",16,"0,06","266,67",15,"0,05","300,00",15,"0,05","300,00"
27,"0,04","675,00",27,"0,04","675,00",27,"0,03","900,00",27,"0,05","540,00",27,"0,05","540,00",27,"0,05","540,00",24,"0,04","600,00",24,"0,05","480,00",27,"0,04","675,00",25,"0,18","138,89",25,"0,14","178,57",24,"0,13","184,62",15,"0,04","375,00",14,"0,05","280,00",16,"0,05","320,00"
23,"0,03","766,67",27,"0,04","675,00",27,"0,03","900,00",27,"0,04","675,00",25,"0,07","357,14",27,"0,06","450,00",27,"0,07","385,71",27,"0,05","540,00",27,"0,05","540,00",26,"0,12","216,67",26,"0,15","173,33",23,"0,12","191,67",13,"0,05","260,00",15,"0,04","375,00",16,"0,05","320,00"
24,"0,03","800,00",27,"0,04","675,00",26,"0,04","650,00",27,"0,05","540,00",27,"0,08","337,50",27,"0,08","337,50",27,"0,07","385,71",27,"0,05","540,00",27,"0,04","675,00",25,"0,12","208,33",26,"0,20","130,00",26,"0,13","200,00",15,"0,05","300,00",15,"0,06","250,00",15,"0,05","300,00"
27,"0,06","450,00",26,"0,05","520,00",27,"0,04","675,00",27,"0,09","300,00",3,"0,02","150,00",27,"0,05","540,00",25,"0,05","500,00",25,"0,04","625,00",26,"0,04","650,00",25,"0,12","208,33",25,"0,15","166,67",22,"0,11","200,00",14,"0,05","280,00",15,"0,06","250,00",16,"0,05","320,00"
27,"0,03","900,00",27,"0,05","540,00",27,"0,03","900,00",26,"0,06","433,33",26,"0,05","520,00",27,"0,05","540,00",27,"0,06","450,00",27,"0,06","450,00",27,"0,05","540,00",25,"0,13","192,31",26,"0,15","173,33",26,"0,13","200,00",15,"0,05","300,00",15,"0,05","300,00",14,"0,05","280,00"
24,"0,03","800,00",27,"0,04","675,00",27,"0,03","900,00",27,"0,05","540,00",27,"0,07","385,71",24,"0,04","600,00",26,"0,05","520,00",24,"0,04","600,00",27,"0,05","540,00",25,"0,20","125,00",25,"0,21","119,05",22,"0,10","220,00",15,"0,05","300,00",16,"0,05","320,00",16,"0,05","320,00"
27,"0,05","540,00",27,"0,04","675,00",26,"0,03","866,67",27,"0,05","540,00",25,"0,05","500,00",22,"0,03","733,33",26,"0,07","371,43",27,"0,06","450,00",27,"0,04","675,00",24,"0,13","184,62",25,"0,14","178,57",25,"0,12","208,33",15,"0,05","300,00",15,"0,07","214,29",16,"0,05","320,00"
27,"0,03","900,00",25,"0,05","500,00",27,"0,03","900,00",27,"0,05","540,00",27,"0,06","450,00",27,"0,05","540,00",26,"0,04","650,00",27,"0,05","540,00",27,"0,03","900,00",25,"0,19","131,58",26,"0,14","185,71",26,"0,14","185,71",13,"0,04","325,00",14,"0,04","350,00",16,"0,06","266,67"
26,"0,03","866,67",27,"0,04","675,00",27,"0,04","675,00",27,"0,09","300,00",24,"0,08","300,00",27,"0,05","540,00",27,"0,06","450,00",25,"0,04","625,00",27,"0,05","540,00",26,"0,14","185,71",25,"0,18","138,89",25,"0,12","208,33",14,"0,09","155,56",16,"0,06","266,67",16,"0,05","320,00"
27,"0,04","675,00",26,"0,04","650,00",27,"0,06","450,00",27,"0,06","450,00",27,"0,06","450,00",25,"0,06","416,67",27,"0,06","450,00",27,"0,06","450,00",27,"0,04","675,00",26,"0,14","185,71",25,"0,15","166,67",26,"0,13","200,00",15,"0,07","214,29",15,"0,04","375,00",16,"0,05","320,00"
24,"0,05","480,00",27,"0,03","900,00",26,"0,04","650,00",25,"0,05","500,00",27,"0,06","450,00",27,"0,05","540,00",26,"0,05","520,00",27,"0,05","540,00",27,"0,05","540,00",25,"0,12","208,33",31,"0,16","193,75",26,"0,15","173,33",15,"0,05","300,00",15,"0,05","300,00",14,"0,05","280,00"
