ecdsa-secp384,P-384,,ecdsa-secp384,kyber768,,dilithium3,P-384,,dilithium3,kyber768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,kyber768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,kyber768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
25,"0,21","119,05",24,"0,10","240,00",26,"0,16","162,50",25,"0,04","625,00",18,"0,21","85,71",18,"0,12","150,00",12,"0,12","100,00",12,"0,05","240,00"
26,"0,22","118,18",26,"0,14","185,71",26,"0,14","185,71",27,"0,06","450,00",17,"0,18","94,44",16,"0,10","160,00",12,"0,09","133,33",13,"0,05","260,00"
24,"0,28","85,71",25,"0,11","227,27",27,"0,15","180,00",24,"0,10","240,00",18,"0,25","72,00",18,"0,14","128,57",12,"0,09","133,33",12,"0,05","240,00"
26,"0,21","123,81",26,"0,11","236,36",23,"0,25","92,00",27,"0,06","450,00",17,"0,20","85,00",17,"0,13","130,77",12,"0,10","120,00",12,"0,05","240,00"
26,"0,31","83,87",27,"0,11","245,45",24,"0,14","171,43",24,"0,10","240,00",18,"0,20","90,00",18,"0,16","112,50",12,"0,13","92,31",11,"0,04","275,00"
26,"0,26","100,00",26,"0,12","216,67",27,"0,18","150,00",27,"0,05","540,00",17,"0,18","94,44",18,"0,17","105,88",13,"0,21","61,90",10,"0,07","142,86"
26,"0,21","123,81",27,"0,12","225,00",26,"0,14","185,71",27,"0,10","270,00",17,"0,20","85,00",18,"0,11","163,64",9,"0,07","128,57",9,"0,04","225,00"
26,"0,21","123,81",27,"0,12","225,00",27,"0,17","158,82",26,"0,05","520,00",16,"0,17","94,12",17,"0,16","106,25",13,"0,10","130,00",8,"0,05","160,00"
26,"0,21","123,81",26,"0,16","162,50",23,"0,18","127,78",27,"0,05","540,00",18,"0,23","78,26",18,"0,19","94,74",12,"0,11","109,09",9,"0,06","150,00"
26,"0,21","123,81",27,"0,11","245,45",24,"0,13","184,62",26,"0,05","520,00",18,"0,28","64,29",18,"0,13","138,46",12,"0,16","75,00",12,"0,11","109,09"
26,"0,26","100,00",25,"0,12","208,33",26,"0,15","173,33",27,"0,04","675,00",15,"0,27","55,56",18,"0,17","105,88",12,"0,16","75,00",11,"0,03","366,67"
