ed448,P-521,,ed448,kyber1024,,dilithium5,P-521,,dilithium5,kyber1024,,falcon1024,P-521,,falcon1024,kyber1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,kyber1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,kyber1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
23,"0,24","95,83",22,"0,05","440,00",26,"0,27","96,30",26,"0,06","433,33",25,"0,40","62,50",27,"0,05","540,00",16,"0,44","36,36",18,"0,12","150,00",12,"0,20","60,00",11,"0,07","157,14"
26,"0,32","81,25",27,"0,06","450,00",26,"0,27","96,30",25,"0,05","500,00",26,"0,28","92,86",24,"0,05","480,00",16,"0,26","61,54",18,"0,19","94,74",11,"0,22","50,00",12,"0,06","200,00"
26,"0,28","92,86",27,"0,06","450,00",26,"0,27","96,30",23,"0,04","575,00",24,"0,25","96,00",25,"0,04","625,00",14,"0,67","20,90",18,"0,22","81,82",11,"0,16","68,75",12,"0,05","240,00"
26,"0,28","92,86",27,"0,06","450,00",26,"0,27","96,30",26,"0,05","520,00",26,"0,29","89,66",26,"0,05","520,00",16,"0,59","27,12",18,"0,14","128,57",13,"0,18","72,22",12,"0,05","240,00"
26,"0,27","96,30",27,"0,07","385,71",23,"0,23","100,00",27,"0,05","540,00",25,"0,25","100,00",25,"0,04","625,00",15,"0,75","20,00",16,"0,11","145,45",11,"0,25","44,00",12,"0,12","100,00"
23,"0,25","92,00",24,"0,09","266,67",26,"0,34","76,47",27,"0,06","450,00",26,"0,28","92,86",27,"0,06","450,00",14,"0,72","19,44",18,"0,13","138,46",12,"0,17","70,59",12,"0,06","200,00"
26,"0,26","100,00",27,"0,05","540,00",25,"0,25","100,00",23,"0,03","766,67",26,"0,30","86,67",27,"0,04","675,00",18,"0,30","60,00",18,"0,14","128,57",12,"0,18","66,67",12,"0,08","150,00"
25,"0,27","92,59",27,"0,06","450,00",26,"0,29","89,66",27,"0,07","385,71",23,"0,26","88,46",27,"0,05","540,00",16,"0,29","55,17",17,"0,12","141,67",12,"0,20","60,00",12,"0,05","240,00"
26,"0,27","96,30",24,"0,09","266,67",26,"0,27","96,30",24,"0,04","600,00",25,"0,27","92,59",26,"0,08","325,00",17,"0,43","39,53",18,"0,13","138,46",11,"0,22","50,00",12,"0,06","200,00"
26,"0,27","96,30",27,"0,06","450,00",25,"0,25","100,00",27,"0,05","540,00",26,"0,30","86,67",27,"0,05","540,00",15,"0,50","30,00",17,"0,13","130,77",12,"0,17","70,59",12,"0,06","200,00"
26,"0,29","89,66",27,"0,06","450,00",26,"0,28","92,86",27,"0,05","540,00",26,"0,30","86,67",27,"0,05","540,00",15,"1,03","14,56",16,"0,13","123,08",12,"0,20","60,00",13,"0,06","216,67"
26,"0,27","96,30",27,"0,07","385,71",26,"0,26","100,00",26,"0,05","520,00",23,"0,32","71,88",27,"0,09","300,00",16,"0,41","39,02",18,"0,14","128,57",12,"0,16","75,00",12,"0,08","150,00"
25,"0,28","89,29",25,"0,06","416,67",26,"0,27","96,30",27,"0,05","540,00",24,"0,26","92,31",27,"0,07","385,71",15,"0,46","32,61",17,"0,12","141,67",11,"0,20","55,00",12,"0,06","200,00"
26,"0,28","92,86",27,"0,09","300,00",24,"0,24","100,00",27,"0,05","540,00",26,"0,31","83,87",26,"0,06","433,33",13,"0,63","20,63",18,"0,15","120,00",12,"0,18","66,67",13,"0,08","162,50"
26,"0,27","96,30",27,"0,05","540,00",25,"0,25","100,00",26,"0,04","650,00",25,"0,30","83,33",27,"0,05","540,00",15,"0,69","21,74",16,"0,12","133,33",12,"0,18","66,67",12,"0,06","200,00"
26,"0,27","96,30",27,"0,07","385,71",26,"0,33","78,79",28,"0,05","560,00",23,"0,27","85,19",27,"0,06","450,00",17,"0,57","29,82",17,"0,13","130,77",13,"0,17","76,47",12,"0,06","200,00"
24,"0,26","92,31",27,"0,06","450,00",23,"0,23","100,00",26,"0,11","236,36",26,"0,29","89,66",24,"0,05","480,00",17,"0,46","36,96",18,"0,17","105,88",11,"0,16","68,75",12,"0,07","171,43"
26,"0,28","92,86",27,"0,06","450,00",25,"0,28","89,29",27,"0,04","675,00",25,"0,27","92,59",27,"0,04","675,00",17,"0,48","35,42",18,"0,11","163,64",12,"0,24","50,00",11,"0,05","220,00"
24,"0,25","96,00",27,"0,06","450,00",26,"0,27","96,30",27,"0,04","675,00",26,"0,25","104,00",27,"0,05","540,00",16,"0,54","29,63",18,"0,16","112,50",13,"0,16","81,25",12,"0,07","171,43"
26,"0,28","92,86",25,"0,08","312,50",26,"0,27","96,30",27,"0,05","540,00",23,"0,24","95,83",27,"0,05","540,00",17,"0,48","35,42",18,"0,14","128,57",12,"0,24","50,00",12,"0,05","240,00"
25,"0,26","96,15",27,"0,06","450,00",25,"0,26","96,15",27,"0,05","540,00",22,"0,23","95,65",27,"0,06","450,00",14,"0,50","28,00",17,"0,17","100,00",12,"0,16","75,00",13,"0,05","260,00"
26,"0,30","86,67",25,"0,06","416,67",26,"0,31","83,87",21,"0,04","525,00",25,"0,37","67,57",27,"0,07","385,71",14,"0,83","16,87",17,"0,18","94,44",12,"0,16","75,00",12,"0,06","200,00"
26,"0,27","96,30",27,"0,08","337,50",23,"0,23","100,00",27,"0,09","300,00",25,"0,42","59,52",22,"0,08","275,00",16,"0,36","44,44",16,"0,16","100,00",12,"0,29","41,38",12,"0,05","240,00"
26,"0,28","92,86",27,"0,06","450,00",24,"0,30","80,00",26,"0,08","325,00",26,"0,29","89,66",25,"0,04","625,00",17,"0,54","31,48",14,"0,17","82,35",13,"0,17","76,47",13,"0,07","185,71"
23,"0,24","95,83",27,"0,06","450,00",22,"0,28","78,57",24,"0,06","400,00",25,"0,27","92,59",26,"0,06","433,33",16,"0,44","36,36",17,"0,15","113,33",13,"0,16","81,25",12,"0,06","200,00"
