mldsa87 - P-521;mldsa87 - mlkem1024;falcon1024 - P-521;falcon1024 - mlkem1024;sphincssha2256fsimple - P-521;sphincssha2256fsimple - mlkem1024;sphincssha2256ssimple - P-521;sphincssha2256ssimple - mlkem1024
105;129;110;122;55;79;21;22
81;111;86;89;74;74;14;21
109;124;110;131;78;87;22;17
110;133;112;132;80;84;23;22
109;133;105;92;77;80;17;23
109;126;112;129;79;80;22;22
111;133;111;132;80;84;23;21
107;131;103;126;77;86;20;22
112;128;105;131;81;80;22;23
112;132;111;132;77;88;22;21
104;129;112;124;78;84;20;22
101;130;107;121;79;82;22;22
113;132;111;132;77;87;23;23
112;127;111;132;80;83;19;23
75;132;106;89;80;82;22;20
113;133;112;132;77;87;21;23
111;125;109;132;81;83;22;23
75;122;109;89;81;86;22;20
112;133;110;132;74;87;22;22
112;133;105;132;74;81;21;22
75;89;110;89;81;86;22;22
113;133;112;132;82;86;22;22
112;133;103;132;77;80;21;22
88;89;102;104;81;80;21;22
110;133;111;129;79;84;22;22
113;133;112;131;77;84;20;21
107;90;75;127;80;59;23;20
111;133;112;131;78;86;22;22
111;133;112;131;79;86;19;23
104;105;75;125;80;57;20;21
104;130;111;132;77;85;23;22
110;133;111;132;80;86;21;21
112;127;74;122;80;58;21;21
75;132;112;123;75;87;23;21
110;133;112;132;80;86;21;21
111;125;88;132;80;66;21;24
75;121;109;125;75;85;22;22
113;133;111;131;75;86;21;22
113;133;106;131;81;81;22;20
76;89;111;127;82;80;21;22
111;133;111;132;75;86;20;22
112;133;104;128;81;86;22;20
88;89;101;129;80;57;22;22
110;133;112;132;78;85;20;22
113;133;110;126;80;86;22;21
108;89;75;130;79;58;21;23
113;133;112;132;77;87;21;21
112;133;111;125;80;86;23;21
106;105;75;132;77;57;22;23
103;129;112;132;79;87;21;22
