rsassa-pss-256 - X25519;rsassa-pss-256 - P-256;rsassa-pss-256 - mlkem512;ed25519 - X25519;ed25519 - P-256;ed25519 - mlkem512;falcon512 - X25519;falcon512 - P-256;falcon512 - mlkem512;sphincssha2128fsimple - X25519;sphincssha2128fsimple - P-256;sphincssha2128fsimple - mlkem512;sphincssha2128ssimple - X25519;sphincssha2128ssimple - P-256;sphincssha2128ssimple - mlkem512
121;124;126;105;125;129;133;124;129;72;105;108;32;22;30
89;128;129;130;89;100;132;132;133;111;101;84;21;29;23
127;87;97;134;132;123;89;107;100;111;104;112;33;31;29
129;129;118;126;133;133;133;125;121;75;111;112;32;32;32
123;128;129;132;89;132;132;132;133;111;110;104;21;30;32
129;87;129;133;133;90;114;130;132;112;106;103;32;32;30
129;129;87;125;132;133;132;127;90;97;111;112;31;31;32
121;129;129;122;92;132;132;131;133;110;108;111;23;31;31
118;87;129;133;130;90;124;128;132;112;108;105;32;31;29
129;128;87;133;133;133;122;129;90;105;112;113;32;31;32
129;129;129;90;126;132;132;132;132;112;106;110;29;30;31
88;111;129;133;132;90;133;125;133;111;110;106;30;32;31
129;128;87;133;132;133;89;131;89;104;111;111;33;29;31
129;129;129;89;124;133;132;132;133;104;105;109;32;29;30
87;121;129;134;122;104;133;124;132;112;101;109;30;31;31
129;118;101;133;133;130;89;121;105;112;111;111;32;29;32
130;129;126;89;132;133;132;132;129;106;111;107;32;32;29
87;129;129;133;90;126;132;132;133;111;75;110;29;31;32
129;86;123;133;132;132;90;88;126;111;112;112;31;29;32
129;129;128;104;133;133;132;132;132;108;111;103;31;30;29
102;129;129;131;89;124;132;132;133;112;76;102;31;31;32
126;87;121;133;132;122;104;89;124;108;111;111;31;31;31
129;128;118;127;133;133;130;132;122;109;112;111;30;30;29
124;129;129;133;90;133;132;131;132;111;75;76;32;32;28
128;87;129;133;132;89;126;89;133;107;110;110;32;30;31
129;128;87;124;133;133;132;132;89;111;111;111;29;30;30
120;129;129;123;103;133;132;132;132;111;87;76;28;31;30
119;101;128;133;130;90;124;104;133;105;108;111;32;31;31
130;126;129;133;133;132;121;128;89;112;112;111;31;32;30
129;128;129;90;126;133;133;132;133;111;106;76;21;32;31
87;122;128;133;132;89;132;126;132;103;110;111;31;31;31
129;128;129;133;133;133;90;131;89;103;112;111;31;31;29
129;129;129;90;124;133;132;131;133;111;105;88;21;31;30
87;121;129;133;122;104;132;124;132;112;102;109;31;29;31
129;118;129;133;133;130;89;121;105;106;111;111;31;31;29
129;128;129;89;132;133;133;132;129;112;112;106;22;32;32
87;129;129;133;90;127;132;132;132;110;74;111;31;29;31
129;87;129;133;133;132;89;88;127;108;111;111;32;30;29
130;128;129;105;132;133;133;132;131;111;112;105;24;31;29
101;129;129;130;89;124;132;132;133;107;75;111;31;32;31
126;86;129;133;133;122;105;89;124;109;112;111;30;28;30
129;129;129;127;133;133;129;132;122;111;111;103;29;32;29
123;128;128;133;89;133;133;131;132;106;75;104;31;31;30
129;87;129;133;132;89;126;89;132;111;112;111;31;30;29
129;129;129;124;133;133;131;132;90;111;111;111;30;33;30
121;128;129;123;104;133;133;132;132;106;89;75;31;30;30
119;101;129;133;130;89;124;104;133;112;108;112;32;31;30
130;125;93;133;132;133;122;129;89;112;112;110;29;32;29
129;129;125;89;127;133;132;131;132;103;107;76;29;29;30
87;122;128;134;132;89;133;126;133;104;111;111;32;32;30
