p256_falcon512,p256_mlkem512,,p256_falcon512,x25519_mlkem512,,p256_falcon512,mlkem512,,p256_sphincssha2128fsimple,p256_mlkem512,,p256_sphincssha2128fsimple,mlkem512,,p256_sphincssha2128fsimple,x25519_mlkem512,,p256_sphincssha2128ssimple,p256_mlkem512,,p256_sphincssha2128ssimple,x25519_mlkem512,,p256_sphincssha2128ssimple,mlkem512,,p256_mayo1,p256_mlkem512,,p256_mayo1,x25519_mlkem512,,p256_mayo1,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec
2094,"6,43","325,66",4510,"6,24","722,76",5327,"6,26","850,96",530,"3,50","151,43",444,"1,80","246,67",639,"2,85","224,21",42,"0,20","210,00",42,"0,13","323,08",44,"0,12","366,67",2287,"7,00","326,71",5035,"7,00","719,29",6265,"7,20","870,14"
2033,"6,04","336,59",4154,"5,88","706,46",5210,"6,28","829,62",417,"2,80","148,93",642,"2,84","226,06",664,"2,72","244,12",33,"0,16","206,25",42,"0,14","300,00",43,"0,11","390,91",1543,"4,71","327,60",5014,"6,93","723,52",6500,"7,31","889,19"
1661,"5,77","287,87",4462,"6,17","723,18",3493,"4,22","827,73",512,"3,38","151,48",638,"2,77","230,32",439,"1,87","234,76",40,"0,20","200,00",44,"0,15","293,33",42,"0,11","381,82",2255,"6,98","323,07",3920,"5,49","714,03",6476,"7,34","882,29"
1951,"6,41","304,37",4470,"6,16","725,65",5167,"6,23","829,37",531,"3,49","152,15",498,"2,23","223,32",629,"2,85","220,70",40,"0,19","210,53",42,"0,14","300,00",44,"0,12","366,67",2316,"7,00","330,86",4815,"6,80","708,09",5979,"7,00","854,14"
2243,"6,50","345,08",4254,"5,83","729,67",5253,"6,17","851,38",516,"3,32","155,42",636,"2,76","230,43",639,"2,84","225,00",41,"0,18","227,78",42,"0,12","350,00",44,"0,13","338,46",1557,"4,66","334,12",5106,"6,97","732,57",6034,"6,81","886,05"
1245,"4,29","290,21",4200,"5,68","739,44",3532,"4,22","836,97",518,"3,55","145,92",655,"2,77","236,46",501,"2,19","228,77",43,"0,22","195,45",44,"0,13","338,46",40,"0,11","363,64",2317,"6,93","334,34",4703,"6,57","715,83",6583,"7,47","881,26"
1870,"6,32","295,89",4471,"6,21","719,97",5165,"6,27","823,76",545,"3,56","153,09",606,"2,70","224,44",635,"2,77","229,24",39,"0,18","216,67",41,"0,13","315,38",42,"0,12","350,00",2106,"6,86","307,00",5028,"6,98","720,34",6538,"7,36","888,32"
2042,"6,45","316,59",4530,"6,22","728,30",5316,"6,23","853,29",499,"3,26","153,07",639,"2,79","229,03",634,"2,84","223,24",42,"0,20","210,00",44,"0,13","338,46",43,"0,12","358,33",1819,"5,46","333,15",4990,"7,04","708,81",4438,"5,03","882,31"
1491,"4,38","340,41",3068,"4,17","735,73",4142,"4,85","854,02",473,"3,24","145,99",644,"2,76","233,33",608,"2,70","225,19",42,"0,22","190,91",43,"0,14","307,14",44,"0,12","366,67",2263,"6,82","331,82",4552,"6,53","697,09",6617,"7,42","891,78"
1976,"6,43","307,31",4548,"6,20","733,55",5041,"6,08","829,11",531,"3,48","152,59",580,"2,62","221,37",642,"2,84","226,06",41,"0,23","178,26",41,"0,13","315,38",42,"0,12","350,00",2243,"6,95","322,73",4596,"6,37","721,51",6514,"7,37","883,85"
1794,"6,45","278,14",4442,"6,19","717,61",5314,"6,19","858,48",533,"3,58","148,88",585,"2,57","227,63",633,"2,80","226,07",39,"0,20","195,00",44,"0,14","314,29",43,"0,11","390,91",2147,"6,69","320,93",4968,"7,06","703,68",4413,"4,98","886,14"
1344,"4,34","309,68",3024,"4,22","716,59",5083,"6,01","845,76",355,"2,44","145,49",634,"2,79","227,24",590,"2,60","226,92",40,"0,19","210,53",44,"0,14","314,29",43,"0,13","330,77",2282,"6,95","328,35",4936,"6,91","714,33",6607,"7,39","894,05"
2076,"6,41","323,87",4462,"6,21","718,52",5276,"6,22","848,23",526,"3,59","146,52",624,"2,82","221,28",574,"2,56","224,22",41,"0,19","215,79",41,"0,13","315,38",43,"0,12","358,33",2298,"6,97","329,70",3444,"4,67","737,47",6578,"7,39","890,12"
2112,"6,46","326,93",4428,"6,20","714,19",5296,"6,20","854,19",532,"3,47","153,31",440,"1,89","232,80",638,"2,81","227,05",43,"0,21","204,76",40,"0,12","333,33",43,"0,12","358,33",2057,"6,45","318,91",4932,"6,94","710,66",4435,"5,00","887,00"
1517,"5,05","300,40",3011,"4,21","715,20",4891,"5,84","837,50",343,"2,40","142,92",639,"2,67","239,33",642,"2,77","231,77",41,"0,20","205,00",44,"0,14","314,29",43,"0,12","358,33",2046,"6,38","320,69",5227,"7,14","732,07",6622,"7,44","890,05"
1754,"6,25","280,64",4507,"6,26","719,97",4859,"5,76","843,58",524,"3,46","151,45",637,"2,79","228,32",431,"1,92","224,48",41,"0,20","205,00",43,"0,14","307,14",43,"0,11","390,91",2335,"6,98","334,53",3355,"4,65","721,51",6579,"7,43","885,46"
