p256_falcon512,p256_mlkem512,,p256_falcon512,x25519_mlkem512,,p256_falcon512,mlkem512,,p256_sphincssha2128fsimple,p256_mlkem512,,p256_sphincssha2128fsimple,mlkem512,,p256_sphincssha2128fsimple,x25519_mlkem512,,p256_sphincssha2128ssimple,p256_mlkem512,,p256_sphincssha2128ssimple,x25519_mlkem512,,p256_sphincssha2128ssimple,mlkem512,,p256_mayo1,p256_mlkem512,,p256_mayo1,x25519_mlkem512,,p256_mayo1,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec
1310,"4,35","301,15",3061,"4,21","727,08",4055,"4,89","829,24",466,"3,21","145,17",638,"2,82","226,24",620,"2,56","242,19",43,"0,20","215,00",40,"0,12","333,33",41,"0,11","372,73",2280,"6,83","333,82",4858,"6,64","731,63",6476,"7,42","872,78"
1909,"6,36","300,16",4433,"6,11","725,53",5172,"6,15","840,98",545,"3,47","157,06",609,"2,59","235,14",630,"2,85","221,05",39,"0,20","195,00",44,"0,14","314,29",44,"0,14","314,29",2348,"7,00","335,43",4700,"6,41","733,23",6566,"7,36","892,12"
2018,"6,35","317,80",4425,"6,27","705,74",5357,"6,21","862,64",536,"3,54","151,41",599,"2,57","233,07",641,"2,80","228,93",39,"0,20","195,00",43,"0,13","330,77",43,"0,12","358,33",2129,"6,59","323,07",4942,"6,99","707,01",4468,"5,04","886,51"
1235,"4,28","288,55",3072,"4,23","726,24",4903,"5,98","819,90",337,"2,38","141,60",633,"2,83","223,67",587,"2,61","224,90",40,"0,22","181,82",40,"0,12","333,33",42,"0,10","420,00",2328,"6,91","336,90",5072,"6,96","728,74",6378,"7,36","866,58"
2132,"6,40","333,12",4438,"6,21","714,65",5274,"6,30","837,14",553,"3,55","155,77",630,"2,78","226,62",580,"2,55","227,45",43,"0,21","204,76",41,"0,13","315,38",44,"0,12","366,67",2339,"6,98","335,10",3451,"4,78","721,97",6567,"7,48","877,94"
1788,"6,49","275,50",4480,"6,19","723,75",5320,"6,29","845,79",524,"3,57","146,78",422,"1,87","225,67",646,"2,78","232,37",40,"0,20","200,00",43,"0,14","307,14",42,"0,12","350,00",2155,"6,51","331,03",5113,"7,00","730,43",4396,"5,03","873,96"
1659,"5,10","325,29",2994,"4,20","712,86",4924,"5,80","848,97",349,"2,35","148,51",644,"2,84","226,76",628,"2,90","216,55",43,"0,21","204,76",43,"0,13","330,77",42,"0,11","381,82",2077,"6,31","329,16",4990,"6,97","715,93",6548,"7,41","883,67"
1870,"6,16","303,57",4552,"6,26","727,16",4936,"5,76","856,94",529,"3,59","147,35",652,"2,73","238,83",430,"1,91","225,13",41,"0,21","195,24",41,"0,13","315,38",44,"0,12","366,67",2343,"6,97","336,15",3455,"4,71","733,55",6253,"7,28","858,93"
2042,"6,37","320,57",4400,"6,19","710,82",5306,"6,36","834,28",543,"3,47","156,48",433,"1,88","230,32",630,"2,92","215,75",41,"0,20","205,00",43,"0,13","330,77",42,"0,11","381,82",2138,"6,96","307,18",5121,"7,09","722,28",5026,"5,81","865,06"
1730,"6,08","284,54",3471,"4,90","708,37",5330,"6,24","854,17",370,"2,37","156,12",643,"2,77","232,13",641,"2,79","229,75",42,"0,23","182,61",43,"0,14","307,14",43,"0,12","358,33",1425,"4,63","307,78",4996,"6,96","717,82",6360,"7,19","884,56"
2094,"6,42","326,17",4384,"6,01","729,45",3734,"4,25","878,59",519,"3,57","145,38",627,"2,79","224,73",433,"1,92","225,52",40,"0,22","181,82",42,"0,14","300,00",44,"0,12","366,67",2328,"6,96","334,48",3517,"4,80","732,71",6308,"7,35","858,23"
1944,"6,49","299,54",4428,"6,20","714,19",5308,"6,25","849,28",529,"3,39","156,05",423,"1,87","226,20",638,"2,78","229,50",40,"0,18","222,22",42,"0,14","300,00",41,"0,12","341,67",2317,"6,98","331,95",4925,"6,96","707,61",6331,"7,06","896,74"
1811,"5,96","303,86",4295,"6,02","713,46",5241,"6,22","842,60",408,"2,81","145,20",646,"2,69","240,15",641,"2,86","224,13",41,"0,24","170,83",41,"0,13","315,38",44,"0,12","366,67",1572,"4,70","334,47",4672,"6,78","689,09",6498,"7,39","879,30"
1980,"5,93","333,90",4437,"6,16","720,29",3601,"4,18","861,48",523,"3,45","151,59",622,"2,82","220,57",425,"1,95","217,95",40,"0,21","190,48",41,"0,13","315,38",44,"0,11","400,00",2137,"6,87","311,06",3809,"5,48","695,07",6284,"7,32","858,47"
1850,"6,39","289,51",4386,"6,23","704,01",5312,"6,26","848,56",540,"3,49","154,73",509,"2,15","236,74",643,"2,81","228,83",42,"0,21","200,00",41,"0,13","315,38",40,"0,11","363,64",2307,"6,97","330,99",4744,"6,72","705,95",6146,"6,96","883,05"
1910,"6,36","300,31",4221,"5,79","729,02",5220,"6,22","839,23",501,"3,29","152,28",612,"2,81","217,79",644,"2,82","228,37",41,"0,21","195,24",41,"0,13","315,38",41,"0,12","341,67",1457,"4,63","314,69",4786,"6,92","691,62",5971,"6,76","883,28"
