p384_mldsa65,p384_mlkem768,,p384_mldsa65,x448_mlkem768,,p384_mldsa65,mlkem768,,p384_sphincssha2192fsimple,p384_mlkem768,,p384_sphincssha2192fsimple,x448_mlkem768,,p384_sphincssha2192fsimple,mlkem768,,p384_sphincssha2192ssimple,p384_mlkem768,,p384_sphincssha2192ssimple,x448_mlkem768,,p384_sphincssha2192ssimple,mlkem768,,p384_mayo3,p384_mlkem768,,p384_mayo3,x448_mlkem768,,p384_mayo3,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec
731,"6,32","115,66",1724,"7,45","231,41",2230,"7,31","305,06",200,"2,60","76,92",263,"2,12","124,06",411,"2,96","138,85",24,"0,28","85,71",26,"0,17","152,94",27,"0,16","168,75",818,"6,88","118,90",1649,"7,43","221,94",1896,"6,44","294,41"
661,"6,23","106,10",1697,"7,70","220,39",2254,"7,41","304,18",310,"3,83","80,94",395,"3,21","123,05",417,"2,93","142,32",24,"0,26","92,31",24,"0,16","150,00",27,"0,14","192,86",811,"6,90","117,54",1670,"7,45","224,16",1936,"6,47","299,23"
764,"6,73","113,52",1624,"7,37","220,35",2203,"7,15","308,11",308,"3,84","80,21",388,"3,13","123,96",403,"2,91","138,49",24,"0,28","85,71",25,"0,17","147,06",27,"0,14","192,86",826,"6,84","120,76",1624,"7,48","217,11",1857,"6,49","286,13"
734,"6,79","108,10",1696,"7,62","222,57",2278,"7,46","305,36",251,"3,12","80,45",261,"2,15","121,40",411,"3,03","135,64",23,"0,28","82,14",27,"0,16","168,75",27,"0,15","180,00",815,"6,93","117,60",1601,"7,58","211,21",1969,"6,49","303,39"
509,"4,58","111,14",1756,"7,70","228,05",2311,"7,51","307,72",301,"3,73","80,70",394,"3,23","121,98",408,"3,02","135,10",25,"0,28","89,29",26,"0,17","152,94",27,"0,15","180,00",764,"6,80","112,35",1655,"7,34","225,48",1937,"6,56","295,27"
718,"6,96","103,16",1670,"7,24","230,66",2154,"7,05","305,53",313,"3,95","79,24",392,"3,29","119,15",413,"2,98","138,59",24,"0,28","85,71",25,"0,16","156,25",27,"0,15","180,00",771,"6,79","113,55",1671,"7,33","227,97",1891,"6,40","295,47"
766,"6,79","112,81",1622,"6,99","232,05",2096,"6,84","306,43",287,"3,73","76,94",270,"2,09","129,19",413,"2,92","141,44",22,"0,27","81,48",27,"0,17","158,82",26,"0,15","173,33",787,"6,85","114,89",1700,"7,37","230,66",1851,"6,49","285,21"
490,"4,52","108,41",1794,"7,66","234,20",2292,"7,43","308,48",298,"3,87","77,00",393,"3,17","123,97",410,"2,91","140,89",25,"0,30","83,33",25,"0,17","147,06",28,"0,15","186,67",768,"6,82","112,61",1644,"7,41","221,86",1848,"6,55","282,14"
739,"6,78","109,00",1789,"7,70","232,34",2256,"7,46","302,41",310,"3,89","79,69",389,"3,27","118,96",412,"2,97","138,72",23,"0,28","82,14",26,"0,16","162,50",27,"0,15","180,00",777,"6,87","113,10",1656,"7,35","225,31",1868,"6,41","291,42"
745,"6,72","110,86",1201,"5,13","234,11",1445,"4,98","290,16",285,"3,65","78,08",295,"2,49","118,47",406,"2,92","139,04",25,"0,29","86,21",26,"0,16","162,50",26,"0,14","185,71",750,"6,95","107,91",1681,"7,36","228,40",1861,"6,46","288,08"
500,"4,59","108,93",1794,"7,62","235,43",2243,"7,52","298,27",314,"3,93","79,90",381,"3,17","120,19",410,"2,97","138,05",25,"0,30","83,33",26,"0,17","152,94",27,"0,15","180,00",768,"6,98","110,03",1659,"7,39","224,49",1909,"6,44","296,43"
733,"6,77","108,27",1788,"7,71","231,91",2253,"7,49","300,80",307,"3,84","79,95",390,"3,24","120,37",402,"3,02","133,11",24,"0,29","82,76",27,"0,16","168,75",27,"0,14","192,86",765,"6,93","110,39",1629,"7,36","221,33",1874,"6,52","287,42"
749,"6,88","108,87",1205,"5,19","232,18",1547,"5,03","307,55",287,"3,64","78,85",368,"3,04","121,05",412,"2,99","137,79",25,"0,28","89,29",26,"0,17","152,94",27,"0,15","180,00",751,"6,83","109,96",1650,"7,29","226,34",1797,"6,42","279,91"
605,"5,40","112,04",1771,"7,72","229,40",2308,"7,48","308,56",280,"3,63","77,13",384,"3,17","121,14",417,"2,92","142,81",25,"0,26","96,15",24,"0,16","150,00",27,"0,15","180,00",756,"7,01","107,85",1633,"7,25","225,24",1887,"6,44","293,01"
724,"6,51","111,21",1796,"7,68","233,85",2296,"7,47","307,36",320,"3,91","81,84",394,"3,16","124,68",404,"2,93","137,88",24,"0,26","92,31",27,"0,17","158,82",26,"0,13","200,00",807,"6,89","117,13",1662,"7,43","223,69",1912,"6,48","295,06"
737,"6,82","108,06",1219,"5,20","234,42",1516,"5,02","301,99",310,"3,92","79,08",357,"2,95","121,02",425,"2,88","147,57",25,"0,27","92,59",26,"0,18","144,44",27,"0,15","180,00",754,"6,83","110,40",1673,"7,40","226,08",1805,"6,50","277,69"
707,"6,43","109,95",1796,"7,67","234,16",2245,"7,43","302,15",210,"2,65","79,25",354,"2,90","122,07",402,"2,96","135,81",26,"0,32","81,25",24,"0,15","160,00",27,"0,15","180,00",775,"6,88","112,65",1663,"7,41","224,43",1883,"6,44","292,39"
708,"6,72","105,36",1736,"7,63","227,52",2296,"7,48","306,95",311,"3,90","79,74",393,"3,20","122,81",414,"2,95","140,34",22,"0,23","95,65",25,"0,15","166,67",27,"0,15","180,00",809,"6,97","116,07",1638,"7,45","219,87",1910,"6,50","293,85"
765,"6,73","113,67",1429,"6,04","236,59",1756,"5,82","301,72",311,"3,92","79,34",397,"3,20","124,06",414,"2,95","140,34",25,"0,28","89,29",26,"0,17","152,94",27,"0,14","192,86",750,"6,85","109,49",1694,"7,34","230,79",1834,"6,52","281,29"
685,"6,46","106,04",1764,"7,51","234,89",2258,"7,36","306,79",196,"2,64","74,24",265,"2,21","119,91",408,"2,91","140,21",24,"0,27","88,89",26,"0,17","152,94",27,"0,14","192,86",756,"6,83","110,69",1630,"7,45","218,79",1944,"6,51","298,62"
675,"6,20","108,87",1804,"7,70","234,29",2293,"7,43","308,61",315,"3,89","80,98",391,"3,11","125,72",414,"2,95","140,34",23,"0,27","85,19",25,"0,16","156,25",27,"0,15","180,00",792,"6,84","115,79",1706,"7,39","230,85",1885,"6,44","292,70"
755,"6,84","110,38",1730,"7,35","235,37",2100,"7,01","299,57",305,"3,95","77,22",383,"3,19","120,06",413,"2,94","140,48",24,"0,30","80,00",27,"0,17","158,82",27,"0,14","192,86",762,"6,88","110,76",1655,"7,42","223,05",1881,"6,55","287,18"
772,"6,88","112,21",1778,"7,60","233,95",2220,"7,37","301,22",199,"2,64","75,38",266,"2,12","125,47",410,"2,99","137,12",23,"0,27","85,19",26,"0,17","152,94",27,"0,14","192,86",779,"6,82","114,22",1629,"7,40","220,14",1897,"6,50","291,85"
