p384_mldsa65,p384_mlkem768,,p384_mldsa65,x448_mlkem768,,p384_mldsa65,mlkem768,,p384_sphincssha2192fsimple,p384_mlkem768,,p384_sphincssha2192fsimple,x448_mlkem768,,p384_sphincssha2192fsimple,mlkem768,,p384_sphincssha2192ssimple,p384_mlkem768,,p384_sphincssha2192ssimple,x448_mlkem768,,p384_sphincssha2192ssimple,mlkem768,,p384_mayo3,p384_mlkem768,,p384_mayo3,x448_mlkem768,,p384_mayo3,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec
715,"6,28","113,85",1646,"7,41","222,13",2254,"7,33","307,50",203,"2,62","77,48",263,"2,19","120,09",409,"2,96","138,18",25,"0,27","92,59",24,"0,15","160,00",27,"0,15","180,00",753,"6,88","109,45",1637,"7,43","220,32",1844,"6,47","285,01"
672,"6,21","108,21",1700,"7,53","225,76",2259,"7,43","304,04",310,"3,96","78,28",376,"3,10","121,29",405,"2,92","138,70",24,"0,25","96,00",25,"0,16","156,25",27,"0,14","192,86",782,"6,83","114,49",1615,"7,40","218,24",1915,"6,49","295,07"
694,"7,08","98,02",1565,"7,21","217,06",2151,"7,13","301,68",317,"3,95","80,25",389,"3,21","121,18",415,"2,97","139,73",24,"0,28","85,71",26,"0,16","162,50",27,"0,14","192,86",785,"6,90","113,77",1752,"7,47","234,54",1909,"6,49","294,14"
770,"6,77","113,74",1670,"7,67","217,73",2273,"7,44","305,51",212,"2,63","80,61",259,"2,14","121,03",414,"3,02","137,09",24,"0,31","77,42",27,"0,17","158,82",26,"0,14","185,71",756,"6,90","109,57",1693,"7,40","228,78",1808,"6,38","283,39"
466,"4,48","104,02",1643,"7,71","213,10",2234,"7,43","300,67",311,"3,90","79,74",383,"3,24","118,21",408,"2,97","137,37",25,"0,27","92,59",27,"0,17","158,82",27,"0,14","192,86",816,"6,91","118,09",1677,"7,40","226,62",1906,"6,49","293,68"
761,"6,88","110,61",1581,"7,14","221,43",2178,"7,07","308,06",302,"3,89","77,63",391,"3,19","122,57",406,"2,89","140,48",24,"0,31","77,42",26,"0,16","162,50",27,"0,14","192,86",764,"6,83","111,86",1660,"7,44","223,12",1895,"6,52","290,64"
747,"6,80","109,85",1517,"7,09","213,96",2135,"6,86","311,22",233,"3,01","77,41",265,"2,12","125,00",413,"2,95","140,00",26,"0,29","89,66",25,"0,16","156,25",27,"0,14","192,86",761,"6,95","109,50",1661,"7,42","223,85",1822,"6,51","279,88"
512,"4,67","109,64",1803,"7,64","235,99",2302,"7,47","308,17",302,"3,94","76,65",387,"3,19","121,32",406,"3,03","133,99",24,"0,28","85,71",25,"0,18","138,89",27,"0,15","180,00",766,"6,80","112,65",1718,"7,40","232,16",1896,"6,46","293,50"
703,"6,71","104,77",1693,"7,56","223,94",2321,"7,48","310,29",315,"3,85","81,82",383,"3,14","121,97",423,"2,91","145,36",24,"0,27","88,89",26,"0,17","152,94",26,"0,14","185,71",804,"6,93","116,02",1624,"7,31","222,16",2004,"6,57","305,02"
786,"6,85","114,74",1126,"5,07","222,09",1546,"5,03","307,36",284,"3,66","77,60",309,"2,43","127,16",402,"2,95","136,27",26,"0,31","83,87",26,"0,17","152,94",27,"0,14","192,86",782,"6,89","113,50",1633,"7,38","221,27",1829,"6,48","282,25"
