secp384r1 - P-384;secp384r1 - x448;secp384r1 - p384_mlkem768;secp384r1 - x448_mlkem768;secp384r1 - mlkem768
701;1230;738;1139;1918
611;1361;542;1266;921
802;1024;633;1080;1546
799;1191;633;1321;1086
567;1291;693;1151;2016
808;1821;570;1214;1698
965;1116;579;1181;1861
611;1172;596;1066;1214
955;1163;673;1213;1811
897;1291;677;1349;1717
742;1642;606;1320;1124
818;1160;552;1175;2099
903;969;614;1263;1877
772;995;600;895;1813
575;1580;405;1091;1956
871;1392;606;1079;1557
766;935;575;1446;1054
502;1557;492;1314;1672
826;1109;648;1242;1792
690;1217;663;1157;1549
402;1358;404;579;1243
909;1403;712;1396;1085
924;1067;714;1062;1692
592;1573;430;819;2031
926;1471;731;1289;1685
595;1427;583;1421;1651
697;1539;675;958;1412
857;1149;513;1443;1288
947;1598;677;1345;1807
705;1267;620;1314;1304
661;1230;565;978;1674
864;1388;636;1275;1271
754;1037;664;1397;1656
784;1662;535;1132;1516
660;1520;731;1153;1509
777;1213;715;1252;1305
548;1709;353;1441;1152
771;1110;731;897;1539
834;1195;769;1297;1662
645;1069;516;943;1601
628;1511;639;837;1619
789;1442;554;1573;1100
824;1601;392;1076;1213
854;1174;590;1296;1792
982;1589;770;1015;806
680;1356;757;666;2089
920;1386;661;1237;1837
797;1322;674;966;1084
715;1177;660;855;1609
894;1030;574;1469;1664
