ed25519,P-256,,ed25519,X25519,,ed25519,p256_mlkem512,,ed25519,x25519_mlkem512,,ed25519,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
2766,"2,74","1009,49",3231,"2,76","1170,65",846,"2,20","384,55",2472,"2,68","922,39",3337,"3,00","1112,33"
2459,"2,37","1037,55",2223,"1,89","1176,19",1209,"3,02","400,33",2394,"2,65","903,40",2755,"2,47","1115,38"
2496,"2,37","1053,16",2565,"2,15","1193,02",1758,"4,34","405,07",2947,"3,16","932,59",1841,"1,68","1095,83"
2154,"2,07","1040,58",3192,"2,74","1164,96",1665,"4,18","398,33",1636,"1,87","874,87",3165,"2,74","1155,11"
2720,"2,60","1046,15",2197,"1,81","1213,81",1664,"4,37","380,78",3062,"3,28","933,54",3473,"3,20","1085,31"
2053,"2,09","982,30",2665,"2,24","1189,73",1673,"4,15","403,13",1597,"1,71","933,92",2817,"2,55","1104,71"
2220,"2,31","961,04",3579,"3,13","1143,45",1755,"4,52","388,27",1299,"1,38","941,30",2675,"2,32","1153,02"
2685,"2,57","1044,75",3074,"2,61","1177,78",1483,"3,76","394,41",1456,"1,55","939,35",3826,"3,46","1105,78"
1730,"1,71","1011,70",3034,"2,48","1223,39",1491,"3,79","393,40",3107,"3,49","890,26",1765,"1,50","1176,67"
3280,"3,14","1044,59",3168,"2,62","1209,16",1487,"3,79","392,35",2654,"3,01","881,73",1600,"1,47","1088,44"
2998,"2,93","1023,21",4156,"3,48","1194,25",1306,"3,38","386,39",2379,"2,66","894,36",3224,"2,92","1104,11"
2993,"2,93","1021,50",2591,"2,15","1205,12",1901,"4,79","396,87",3002,"3,25","923,69",2946,"2,60","1133,08"
3129,"3,14","996,50",1425,"1,15","1239,13",2106,"5,20","405,00",2856,"3,22","886,96",3156,"2,86","1103,50"
2025,"1,97","1027,92",3699,"3,16","1170,57",997,"2,61","381,99",1227,"1,33","922,56",2788,"2,48","1124,19"
3500,"3,43","1020,41",3110,"2,56","1214,84",1843,"4,61","399,78",2896,"3,10","934,19",2741,"2,41","1137,34"
2458,"2,33","1054,94",2743,"2,24","1224,55",1632,"4,05","402,96",3475,"3,90","891,03",1827,"1,59","1149,06"
2476,"2,43","1018,93",2509,"2,02","1242,08",1128,"2,81","401,42",1594,"1,72","926,74",3723,"3,42","1088,60"
1776,"1,69","1050,89",3416,"2,94","1161,90",1930,"5,32","362,78",2817,"3,13","900,00",2026,"1,82","1113,19"
2312,"2,31","1000,87",2298,"1,94","1184,54",1472,"3,62","406,63",2606,"2,98","874,50",2118,"1,90","1114,74"
2611,"2,54","1027,95",3937,"3,30","1193,03",1360,"3,41","398,83",1030,"1,21","851,24",2562,"2,32","1104,31"
3367,"3,27","1029,66",4075,"3,68","1107,34",2149,"5,35","401,68",2806,"2,99","938,46",4142,"3,67","1128,61"
2048,"1,97","1039,59",2343,"1,99","1177,39",1918,"4,76","402,94",2754,"3,03","908,91",3118,"2,82","1105,67"
2029,"1,95","1040,51",2076,"1,83","1134,43",1497,"3,96","378,03",2114,"2,37","891,98",2525,"2,26","1117,26"
3656,"3,47","1053,60",1743,"1,50","1162,00",1749,"4,67","374,52",1455,"1,60","909,38",3546,"3,10","1143,87"
1662,"1,63","1019,63",2921,"2,55","1145,49",2017,"5,08","397,05",2049,"2,25","910,67",2124,"1,94","1094,85"
2639,"2,52","1047,22",3562,"2,98","1195,30",1517,"4,09","370,90",1643,"1,86","883,33",3254,"2,84","1145,77"
3866,"3,71","1042,05",2703,"2,32","1165,09",928,"2,33","398,28",2779,"3,09","899,35",2954,"2,55","1158,43"
2012,"1,94","1037,11",1959,"1,64","1194,51",1979,"5,18","382,05",2389,"2,70","884,81",2348,"2,06","1139,81"
2645,"2,52","1049,60",3449,"3,04","1134,54",1554,"4,22","368,25",2117,"2,26","936,73",3039,"2,69","1129,74"
2090,"2,02","1034,65",2666,"2,33","1144,21",1058,"2,67","396,25",2947,"3,25","906,77",3774,"3,30","1143,64"
3178,"3,03","1048,84",3067,"2,66","1153,01",1542,"4,13","373,37",2149,"2,44","880,74",3175,"2,85","1114,04"
1983,"1,92","1032,81",3943,"3,40","1159,71",1806,"4,50","401,33",2519,"2,86","880,77",3426,"3,12","1098,08"
3080,"3,02","1019,87",2385,"2,06","1157,77",1242,"3,11","399,36",1382,"1,47","940,14",2370,"2,09","1133,97"
2377,"2,31","1029,00",3149,"2,77","1136,82",1849,"5,27","350,85",3774,"4,14","911,59",3090,"2,78","1111,51"
944,"0,92","1026,09",2869,"2,48","1156,85",1753,"4,61","380,26",2744,"3,11","882,32",3568,"3,12","1143,59"
