ed25519 - P-256;ed25519 - X25519;ed25519 - p256_mlkem512;ed25519 - x25519_mlkem512;ed25519 - mlkem512
2766;3231;846;2472;3337
2459;2223;1209;2394;2755
2496;2565;1758;2947;1841
2154;3192;1665;1636;3165
2720;2197;1664;3062;3473
2053;2665;1673;1597;2817
2220;3579;1755;1299;2675
2685;3074;1483;1456;3826
1730;3034;1491;3107;1765
3280;3168;1487;2654;1600
2998;4156;1306;2379;3224
2993;2591;1901;3002;2946
3129;1425;2106;2856;3156
2025;3699;997;1227;2788
3500;3110;1843;2896;2741
2458;2743;1632;3475;1827
2476;2509;1128;1594;3723
1776;3416;1930;2817;2026
2312;2298;1472;2606;2118
2611;3937;1360;1030;2562
3367;4075;2149;2806;4142
2048;2343;1918;2754;3118
2029;2076;1497;2114;2525
3656;1743;1749;1455;3546
1662;2921;2017;2049;2124
2639;3562;1517;1643;3254
3866;2703;928;2779;2954
2012;1959;1979;2389;2348
2645;3449;1554;2117;3039
2090;2666;1058;2947;3774
3178;3067;1542;2149;3175
1983;3943;1806;2519;3426
3080;2385;1242;1382;2370
2377;3149;1849;3774;3090
944;2869;1753;2744;3568
3342;2639;1014;1360;2368
3727;3073;1136;2503;3138
1994;2657;1724;1542;1798
1780;3066;1535;2369;4590
2290;2570;1952;2000;2638
1531;3022;1508;3282;3249
3204;3084;1466;2482;3379
3289;2205;1418;2581;4112
1617;2832;1888;2381;2304
2949;2774;1662;2273;3702
3868;2502;1024;2465;2538
2458;3372;1704;2528;3024
2557;2143;2008;1932;1754
4488;2996;1323;1887;2144
1406;3490;1984;3521;2741
