secp521r1 - P-521;secp521r1 - p521_mlkem1024;secp521r1 - mlkem1024
242;296;1014
484;280;854
429;389;747
301;326;1144
480;357;1036
437;356;992
368;301;1126
421;364;895
419;299;990
451;345;997
428;316;884
482;268;894
396;356;902
330;386;1077
486;355;580
429;348;985
324;315;994
408;287;788
421;354;1047
314;373;923
469;344;737
417;274;977
332;364;1237
378;398;779
457;378;964
407;333;971
435;396;977
427;378;1196
446;306;696
373;353;683
416;332;779
371;387;920
332;396;849
488;359;623
487;353;991
313;394;989
421;375;598
414;259;829
333;345;1041
466;317;694
479;286;922
375;358;1107
461;308;862
427;343;998
475;327;852
424;332;1098
471;223;1075
376;319;1089
443;369;744
403;179;840
